"","grp","keyword"
"1",1,"nitrogen"
"2",1,"carbon"
"3",1,"soil"
"4",1,"dynamics"
"5",1,"peat"
"6",1,"growth"
"7",1,"land-use"
"8",1,"phosphorus"
"9",1,"organic-matter"
"10",1,"decomposition"
"11",1,"dissolved organic-carbon"
"12",1,"matter"
"13",1,"quality"
"14",1,"climate-change"
"15",1,"oxidation"
"16",1,"yield"
"17",1,"export"
"18",1,"organic-carbon"
"19",1,"nutrient"
"20",1,"peatland"
"21",1,"photosynthesis"
"22",1,"variability"
"23",1,"deposition"
"24",1,"fertilization"
"25",1,"plants"
"26",1,"drought"
"27",1,"ecosystems"
"28",1,"enzyme-activities"
"29",1,"litter decomposition"
"30",1,"methane emission"
"31",1,"atmospheric co2"
"32",1,"components"
"33",1,"degradation"
"34",1,"fluorescence spectroscopy"
"35",1,"lake"
"36",1,"leaves"
"37",1,"media"
"38",1,"mobilization"
"39",1,"nitrogen-fertilization"
"40",1,"patterns"
"41",1,"table"
"42",1,"colonization"
"43",1,"cultivation"
"44",1,"fungi"
"45",1,"indicators"
"46",1,"long-term"
"47",1,"microbial biomass"
"48",1,"molecular-weight"
"49",1,"nitrogen deposition"
"50",1,"nitrogen mineralization"
"51",1,"ombrotrophic bogs"
"52",1,"phenol oxidase activity"
"53",1,"precipitation"
"54",1,"soil carbon"
"55",1,"stomatal conductance"
"56",1,"stress"
"57",1,"topsoil removal"
"58",1,"transformation"
"59",1,"acids"
"60",1,"ammonia"
"61",1,"antioxidant"
"62",1,"bacterial"
"63",1,"biodegradation"
"64",1,"budgets"
"65",1,"compost"
"66",1,"drinking-water"
"67",1,"enrichment"
"68",1,"everglades agricultural area"
"69",1,"fertility"
"70",1,"gradient"
"71",1,"land"
"72",1,"lignin"
"73",1,"litter quality"
"74",1,"mechanisms"
"75",1,"microorganisms"
"76",1,"mycorrhizal infection"
"77",1,"profiles"
"78",1,"root"
"79",1,"roots"
"80",1,"soil organic-matter"
"81",1,"stocks"
"82",1,"stream"
"83",1,"substrate"
"84",1,"trends"
"85",1,"turnover"
"86",1,"abundance"
"87",1,"analytical pyrolysis"
"88",1,"aquatic ecosystems"
"89",1,"atmospheric nitrogen deposition"
"90",1,"bacterial-growth"
"91",1,"baltic sea"
"92",1,"bioavailability"
"93",1,"black carbon"
"94",1,"carrot"
"95",1,"catchments"
"96",1,"co2 evolution"
"97",1,"cs-137"
"98",1,"disinfection by-products"
"99",1,"extraction method"
"100",1,"gas-exchange"
"101",1,"groundwater table"
"102",1,"input"
"103",1,"irrigation"
"104",1,"lolium-perenne"
"105",1,"microbial community"
"106",1,"microbiome"
"107",1,"mire"
"108",1,"n deposition"
"109",1,"n2o production"
"110",1,"nutrient-uptake"
"111",1,"ornamental plants"
"112",1,"paddy soil"
"113",1,"phosphorus concentrations"
"114",1,"phragmites"
"115",1,"root-growth"
"116",1,"stoichiometry"
"117",1,"terrestrial ecosystems"
"118",1,"tomato"
"119",1,"vermicompost"
"120",1,"wheat"
"121",1,"wheat-straw"
"122",1,"abscisic-acid"
"123",1,"absorbency"
"124",1,"acid-rain"
"125",1,"active methanotrophic community"
"126",1,"active rhizosphere microorganisms"
"127",1,"aerosol optical-properties"
"128",1,"agent"
"129",1,"aggregation"
"130",1,"agricultural landscapes"
"131",1,"air-temperature reconstruction"
"132",1,"antioxidant activity"
"133",1,"aquatic environments"
"134",1,"arbuscular mycorrhizal fungi"
"135",1,"atmospheric nitrogen"
"136",1,"atmospheric transport"
"137",1,"bacteria"
"138",2,"peatlands"
"139",2,"fluxes"
"140",2,"carbon-dioxide"
"141",2,"co2"
"142",2,"water-table"
"143",2,"organic soils"
"144",2,"peat soils"
"145",2,"greenhouse-gas emissions"
"146",2,"temperature"
"147",2,"emissions"
"148",2,"n2o"
"149",2,"nitrous-oxide"
"150",2,"ch4"
"151",2,"methane emissions"
"152",2,"methane"
"153",2,"co2 exchange"
"154",2,"grassland"
"155",2,"nitrous-oxide emissions"
"156",2,"respiration"
"157",2,"soils"
"158",2,"balance"
"159",2,"finland"
"160",2,"net ecosystem exchange"
"161",2,"exchange"
"162",2,"agricultural soils"
"163",2,"methane fluxes"
"164",2,"northern peatlands"
"165",2,"carbon-dioxide exchange"
"166",2,"climate"
"167",2,"ecosystem respiration"
"168",2,"soil respiration"
"169",2,"carbon loss"
"170",2,"interannual variability"
"171",2,"agriculture"
"172",2,"ch4 fluxes"
"173",2,"dioxide"
"174",2,"nitrous-oxide fluxes"
"175",2,"rates"
"176",2,"area"
"177",2,"boreal"
"178",2,"carbon balance"
"179",2,"eddy covariance"
"180",2,"extraction"
"181",2,"gas emissions"
"182",2,"grasslands"
"183",2,"laboratory columns"
"184",2,"land-use change"
"185",2,"n2o emissions"
"186",2,"organic soil"
"187",2,"subsidence"
"188",2,"water-vapor"
"189",2,"boreal peatlands"
"190",2,"ecosystem"
"191",2,"flux"
"192",2,"forest drainage"
"193",2,"n2o fluxes"
"194",2,"new-zealand"
"195",2,"nitrification"
"196",2,"tillage"
"197",2,"consumption"
"198",2,"cut-away peatland"
"199",2,"greenhouse-gas balance"
"200",2,"impacts"
"201",2,"methane dynamics"
"202",2,"northern"
"203",2,"norway spruce"
"204",2,"spatial variability"
"205",2,"strategies"
"206",2,"subsidence rates"
"207",2,"uk"
"208",2,"accumulation rates"
"209",2,"agricultural peatlands"
"210",2,"anemometer (co)sine response"
"211",2,"atmosphere"
"212",2,"co2 fluxes"
