"","grp","keyword"
"1",1,"methane emissions"
"2",1,"bog"
"3",1,"water-table"
"4",1,"co2 exchange"
"5",1,"carbon balance"
"6",1,"balance"
"7",1,"northern peatlands"
"8",1,"sphagnum"
"9",1,"northern peatland"
"10",1,"boreal peatlands"
"11",1,"soil respiration"
"12",1,"vascular plants"
"13",1,"restoration"
"14",1,"interannual variability"
"15",1,"arctic tundra"
"16",1,"dioxide exchange"
"17",1,"fen"
"18",1,"carbon-dioxide exchange"
"19",1,"northern"
"20",1,"wetland"
"21",1,"litter decomposition"
"22",1,"greenhouse-gas emissions"
"23",1,"water-level drawdown"
"24",1,"methane emission"
"25",1,"net ecosystem exchange"
"26",1,"nitrous-oxide"
"27",1,"elevated co2"
"28",1,"net primary production"
"29",1,"boreal forest"
"30",1,"cut-away peatland"
"31",1,"ecosystem co2 exchange"
"32",1,"nitrogen deposition"
"33",1,"litter quality"
"34",1,"accumulation rates"
"35",1,"scots pine"
"36",1,"ch4 emissions"
"37",1,"organic soils"
"38",1,"southern finland"
"39",1,"ecosystem respiration"
"40",1,"climatic-change"
"41",1,"co2 fluxes"
"42",1,"continental western canada"
"43",1,"western canada"
"44",1,"eddy covariance"
"45",1,"methane flux"
"46",1,"methane fluxes"
"47",1,"raised bog"
"48",1,"sphagnum mosses"
"49",1,"boreal peatland"
"50",1,"discontinuous permafrost"
"51",1,"greenhouse-gas fluxes"
"52",1,"hudson-bay lowlands"
"53",1,"long-term"
"54",1,"pine mires"
"55",1,"plant biomass"
"56",1,"co2 flux"
"57",1,"eriophorum-vaginatum"
"58",1,"flux measurements"
"59",1,"norway spruce"
"60",1,"ombrotrophic bog"
"61",1,"seasonal dynamics"
"62",1,"short-term"
"63",1,"temperate"
"64",1,"water chemistry"
"65",1,"ch4 emission"
"66",1,"energy"
"67",1,"n deposition"
"68",1,"nutrient"
"69",1,"phragmites-australis"
"70",1,"soil-moisture"
"71",1,"table"
"72",1,"water-level"
"73",1,"seasonal-variation"
"74",1,"water-vapor"
"75",1,"atmospheric nitrogen deposition"
"76",1,"co2 efflux"
"77",1,"greenhouse-gas balances"
"78",1,"land-use change"
"79",1,"n2o fluxes"
"80",1,"northern wetlands"
"81",1,"nutrient addition"
"82",1,"nutritional constraints"
"83",1,"spatial variability"
"84",1,"sphagnum-fuscum"
"85",1,"black spruce forest"
"86",1,"eddy covariance technique"
"87",1,"greenhouse-gas balance"
"88",1,"leaf-area index"
"89",1,"microbial community structure"
"90",1,"nitrous-oxide emissions"
"91",1,"ombrotrophic bogs"
"92",1,"plant-communities"
"93",1,"reed canary grass"
"94",1,"temporal variability"
"95",1,"carbon dynamics"
"96",1,"ch4 fluxes"
"97",1,"ecosystem productivity"
"98",1,"evapotranspiration"
"99",1,"growing-season"
"100",1,"level drawdown"
"101",1,"moisture controls"
"102",1,"net primary productivity"
"103",1,"north-america north"
"104",1,"rich fen gradient"
"105",1,"spatial variation"
"106",1,"trace gas-exchange"
"107",1,"water-table depth"
"108",1,"aboveground biomass"
"109",1,"actinobacterial communities"
"110",1,"carbon loss"
"111",1,"components"
"112",1,"ecosystem-atmosphere exchange"
"113",1,"eddy covariance measurements"
"114",1,"environmental controls"
"115",1,"evaporation"
"116",1,"forest drainage"
"117",1,"gross primary production"
"118",1,"laboratory columns"
"119",1,"microbial respiration"
"120",1,"peat swamp forest"
"121",1,"reflectance"
"122",1,"sphagnum growth"
"123",1,"term"
"124",1,"vegetation composition"
"125",1,"water-table levels"
"126",1,"atmospheric carbon-dioxide"
"127",1,"biomass equations"
"128",1,"boreal bog"
"129",1,"carbon-dioxide fluxes"
"130",1,"community characteristics"
"131",1,"deciduous forest"
"132",1,"emission factors"
"133",1,"extreme precipitation"
"134",1,"fungal"
"135",1,"landscape"
"136",1,"oligotrophic pine fen"
"137",1,"stomatal conductance"
"138",1,"tundra ecosystems"
"139",1,"vegetation change"
"140",1,"annual co2 balance"
"141",1,"area index"
"142",1,"assimilation"
"143",1,"biomass production"
"144",1,"carex-rostrata"
"145",1,"central alberta"
"146",1,"climate extremes"
"147",1,"cutover bog"
"148",1,"cutover peatlands"
"149",1,"decay"
"150",1,"digital repeat photography"
"151",1,"dioxide emissions"
"152",1,"drained pine mires"
"153",1,"ecosystem services"
"154",1,"energy fluxes"
"155",1,"forest soil"
"156",1,"gas emissions"
"157",1,"heat"
"158",1,"interspecific competition"
"159",1,"jack pine"
"160",1,"methane exchange"
"161",1,"mined peatlands"
"162",1,"minnesota peatland"
"163",1,"n2o emissions"
"164",1,"qinghai-tibetan plateau"
"165",1,"root production"
"166",1,"seasonal-changes"
"167",1,"spectral reflectance"
"168",1,"sphagnum-magellanicum"
"169",1,"spontaneous revegetation"
"170",1,"sub-arctic fen"
"171",1,"sub-arctic mire"
"172",1,"trace gas emissions"
"173",1,"use efficiency"
"174",1,"water-table drawdown"
"175",1,"alaskan tundra"
"176",1,"arctic fen"
"177",1,"atlantic blanket bog"
"178",1,"biogeochemistry model"
"179",1,"boreal mire"
"180",1,"boreal mires"
"181",1,"british-columbia"
"182",1,"cover change"
"183",1,"cutaway peatlands"
"184",1,"cycle feedbacks"
"185",1,"drained peatlands"
"186",1,"earth system models"
"187",1,"eastern canada"
"188",1,"ecosystem exchange"
"189",1,"eddy-correlation"
"190",1,"eddy-covariance"
"191",1,"elevated-temperature"
"192",1,"energy crops"
"193",1,"fen peatland"
"194",1,"fine-root production"
"195",1,"hudson-bay lowland"
"196",1,"increased n"
"197",1,"landforms"
"198",1,"leaf-area"
"199",1,"lena river delta"
"200",1,"light-use efficiency"
"201",1,"logging residue"
"202",1,"methane yield"
"203",1,"microfungi"
"204",1,"mycorrhizal status"
"205",1,"net carbon"
"206",1,"net ecosystem productivity"
"207",1,"northern europe"
