"","grp","keyword"
"1",1,"dissolved organic-carbon"
"2",1,"water"
"3",1,"climate-change"
"4",1,"matter"
"5",1,"export"
"6",1,"soils"
"7",1,"humic substances"
"8",1,"organic-carbon"
"9",1,"chemistry"
"10",1,"peatland"
"11",1,"blanket peat"
"12",1,"catchment"
"13",1,"climate"
"14",1,"land-use"
"15",1,"transport"
"16",1,"deposition"
"17",1,"release"
"18",1,"quality"
"19",1,"lakes"
"20",1,"catchments"
"21",1,"river"
"22",1,"surface waters"
"23",1,"doc"
"24",1,"runoff"
"25",1,"stream"
"26",1,"water-quality"
"27",1,"acidification"
"28",1,"water chemistry"
"29",1,"variability"
"30",1,"uk"
"31",1,"chemical-composition"
"32",1,"trends"
"33",1,"waters"
"34",1,"streams"
"35",1,"biogeochemistry"
"36",1,"degradation"
"37",1,"drain-blocking"
"38",1,"lake"
"39",1,"stream water"
"40",1,"erosion"
"41",1,"drought"
"42",1,"trace-elements"
"43",1,"inorganic carbon"
"44",1,"sediment"
"45",1,"drinking-water"
"46",1,"phytoplankton"
"47",1,"atmospheric deposition"
"48",1,"aluminum"
"49",1,"natural-waters"
"50",1,"precambrian shield"
"51",1,"soil-water"
"52",1,"acid"
"53",1,"molecular-weight"
"54",1,"rivers"
"55",1,"runoff generation"
"56",1,"upland peat"
"57",1,"bacteria"
"58",1,"northern sweden"
"59",1,"recovery"
"60",1,"induced acidification"
"61",1,"precipitation"
"62",1,"surface-water"
"63",1,"fluorescence spectroscopy"
"64",1,"heavy-metals"
"65",1,"metabolism"
"66",1,"river water"
"67",1,"surface-water chemistry"
"68",1,"ombrotrophic peat"
"69",1,"bioavailability"
"70",1,"doc flux"
"71",1,"land management"
"72",1,"sensitivity"
"73",1,"terrestrial ecosystems"
"74",1,"boreal catchments"
"75",1,"budgets"
"76",1,"soil carbon"
"77",1,"stable-isotopes"
"78",1,"terrestrial"
"79",1,"c-14"
"80",1,"great-britain"
"81",1,"northern england"
"82",1,"peat bog"
"83",1,"water color"
"84",1,"arctic-ocean"
"85",1,"classification"
"86",1,"england"
"87",1,"time-series"
"88",1,"acid deposition"
"89",1,"aquatic carbon"
"90",1,"dissolved inorganic carbon"
"91",1,"fluorescence"
"92",1,"generation"
"93",1,"headwater streams"
"94",1,"lake-sediments"
"95",1,"matter fluorescence"
"96",1,"methyl mercury"
"97",1,"methylmercury"
"98",1,"mid-wales"
"99",1,"new-york"
"100",1,"nutrient limitation"
"101",1,"reactivity"
"102",1,"temporal variability"
"103",1,"ultraviolet absorbency"
"104",1,"absorbency"
"105",1,"bacterial-growth"
"106",1,"biodegradability"
"107",1,"budget"
"108",1,"increases"
"109",1,"optical-properties"
"110",1,"scotland"
"111",1,"thermokarst lakes"
"112",1,"bacterial production"
"113",1,"discharge"
"114",1,"disinfection by-products"
"115",1,"forest floor"
"116",1,"forested catchment"
"117",1,"fresh-waters"
"118",1,"national-park"
"119",1,"rainfall"
"120",1,"southern pennines"
"121",1,"spectroscopic properties"
"122",1,"terrestrial carbon"
"123",1,"terrestrial export"
"124",1,"black carbon"
"125",1,"fish"
"126",1,"forested catchments"
"127",1,"headwater stream"
"128",1,"north-america"
"129",1,"ocean"
"130",1,"seasonal-variations"
"131",1,"spatial variation"
"132",1,"spectroscopy"
"133",1,"upland catchment"
"134",1,"boreal lakes"
"135",1,"central ontario"
"136",1,"chemical characteristics"
"137",1,"dom"
"138",1,"environmental-change"
"139",1,"enzyme-activity"
"140",1,"episodic acidification"
"141",1,"exports"
"142",1,"forest lakes"
"143",1,"forested watersheds"
"144",1,"inland waters"
"145",1,"ion-binding"
"146",1,"isotope fractionation"
"147",1,"lignin"
"148",1,"major elements"
"149",1,"massachusetts"
"150",1,"nova-scotia"
"151",1,"records"
"152",1,"samples"
"153",1,"snowmelt"
"154",1,"soil solution"
"155",1,"suspended-solids"
"156",1,"upland"
"157",1,"acidity"
"158",1,"color"
"159",1,"doc concentration"
"160",1,"doc production"
"161",1,"enchytraeid worms oligochaeta"
"162",1,"indicator"
"163",1,"ireland"
"164",1,"long-term changes"
"165",1,"matter fractions"
"166",1,"molecular-size distribution"
"167",1,"neutralizing capacity"
"168",1,"peat catchments"
"169",1,"watersheds"
"170",1,"aqueous aluminum"
"171",1,"british rivers"
"172",1,"carbon doc"
"173",1,"chlorination"
"174",1,"coastal waters"
"175",1,"cyanobacteria"
"176",1,"different spatial scales"
"177",1,"disturbed catchments"
"178",1,"estuaries"
"179",1,"future"
"180",1,"gaseous carbon"
"181",1,"growth-rate"
"182",1,"humic lake"
"183",1,"long-term records"
"184",1,"monitoring network"
"185",1,"oxygen"
"186",1,"parameters"
"187",1,"particulate"
"188",1,"peat catchment"
"189",1,"photochemical transformation"
"190",1,"population-dynamics"
"191",1,"size-exclusion chromatography"
"192",1,"soil-erosion"
"193",1,"south pennines"
"194",1,"spatial-distribution"
"195",1,"storm events"
"196",1,"stream-water"
"197",1,"thm precursor"
"198",1,"trihalomethane precursors"
"199",1,"upland peat catchments"
"200",1,"welsh peatland"
"201",1,"acid-rain"
"202",1,"acid neutralizing capacity"
"203",1,"active-layer"
"204",1,"alkalinity"
"205",1,"aquatic environments"
"206",1,"aquatic humic substances"
"207",1,"aquatic systems"
"208",1,"bacterial-growth efficiency"
"209",1,"bacterioplankton growth"
"210",1,"coagulation"
"211",1,"conceptualization"
"212",1,"critical loads"
"213",1,"delta"
"214",1,"doc release"
"215",1,"elemental composition"
"216",1,"fate"
"217",1,"food webs"
"218",1,"gas-chromatography"
"219",1,"growth efficiency"
"220",1,"headwater"
"221",1,"headwater catchment"
"222",1,"hot moments"
"223",1,"inorganic nitrogen"
"224",1,"lake ecosystems"
"225",1,"land-cover"
"226",1,"leaf-litter decomposition"
"227",1,"loads"
"228",1,"long-term trends"
"229",1,"mass-balance"
"230",1,"mercury"
"231",1,"methylmercury production"
"232",1,"national-nature-reserve"
"233",1,"nitrate concentrations"
"234",1,"nitrogen export"
"235",1,"north-temperate"
"236",1,"northern wisconsin"
"237",1,"parallel factor-analysis"
"238",1,"photodegradation"
"239",1,"pore-water chemistry"
"240",1,"resolution mass data"
"241",1,"russian rivers"
"242",1,"soil frost"
"243",1,"spring flood"
"244",1,"stable-isotope"
"245",1,"storage dynamics"
"246",1,"summer"
"247",1,"temperature-dependence"
"248",1,"tool"
"249",1,"tracer"
"250",1,"united-kingdom"
"251",1,"upland peat catchment"
"252",1,"upland streams"
"253",1,"yukon river"
"254",1,"zn"
"255",1,"absorption"
"256",1,"acid soil"
"257",1,"acidic deposition"
"258",1,"adirondack lakes"
"259",1,"agricultural land-use"
"260",1,"alpine wetlands"
"261",1,"aquatic conduit"
"262",1,"atmospheric carbon"
"263",1,"bacterioplankton production"
"264",1,"benthic algae"
"265",1,"bioaccumulation"
"266",1,"biogeochemical impacts"
"267",1,"carbon concentrations"
"268",1,"carbon export"
"269",1,"carbon fluxes"
"270",1,"central england"
"271",1,"chlorine"
"272",1,"chlorophyll"
"273",1,"complexing ligands"
"274",1,"concord"
"275",1,"deciduous forest"
"276",1,"delivery"
"277",1,"dissolved-oxygen"
"278",1,"doc export"
"279",1,"doc productivity"
"280",1,"drainage-basin"
"281",1,"drift"
"282",1,"dystrophic lake"
"283",1,"environmental-factors"
"284",1,"foliar litter"
"285",1,"fresh"
"286",1,"great-lakes"
"287",1,"hudson-bay lowland"
"288",1,"humic lake ortrasket"
"289",1,"hydrograph separation"
"290",1,"hyporheic zone"
"291",1,"ionic-strength"
"292",1,"landscape controls"
"293",1,"leucine incorporation"
"294",1,"losses"
"295",1,"macroinvertebrate communities"
"296",1,"manipulation"
"297",1,"matrix"
"298",1,"mississippi river"
"299",1,"molecular-size"
"300",1,"moor-house"
"301",1,"northeast scotland"
"302",1,"northeastern united-states"
"303",1,"northwestern ontario"
"304",1,"peatland catchments"
"305",1,"peatland stream"
"306",1,"plynlimon"
"307",1,"preparative isolation"
"308",1,"preservation"
"309",1,"rain"
"310",1,"riparian"
"311",1,"riparian zone"
"312",1,"river-basin"
"313",1,"root decomposition"
"314",1,"salmon salmo-salar"
"315",1,"scales"
"316",1,"scots pine forest"
"317",1,"soil solution chemistry"
"318",1,"soilwater end-members"
"319",1,"southeastern united-states"
"320",1,"substrate availability"
"321",1,"sulfate release"
"322",1,"sulfate stimulation"
"323",1,"sunlight"
"324",1,"surface-water interactions"
"325",1,"temperate forests"
"326",1,"temporal variation"
"327",1,"terrestrial sources"
"328",1,"topography"
"329",1,"trophic state"
"330",1,"upland catchments"
"331",1,"upper-teesdale"
"332",1,"water-table manipulations"
"333",1,"wildfire"
"334",1,"winter climate"
"335",1,"wisconsin"
"336",1,"1st-order stream"
"337",1,"acetylene-reduction"
"338",1,"acrotelm-catotelm model"
"339",1,"alpine catchment"
"340",1,"antioxidant activity"
"341",1,"arctic lakes"
"342",1,"arsenic speciation"
"343",1,"athabasca river"
"344",1,"birkenes"
"345",1,"blanket-peatland streams"
