"","grp","keyword"
"1",1,"vegetation"
"2",1,"southern finland"
"3",1,"pine mires"
"4",1,"patterns"
"5",1,"sphagnum"
"6",1,"raised bog"
"7",1,"sediments"
"8",1,"ecosystems"
"9",1,"fen"
"10",1,"history"
"11",1,"gradients"
"12",1,"spatial variability"
"13",1,"succession"
"14",1,"wetland"
"15",1,"record"
"16",1,"subfossil pine"
"17",1,"environment"
"18",1,"establishment"
"19",1,"mire development"
"20",1,"north"
"21",1,"picea-abies"
"22",1,"plant-communities"
"23",1,"recovery"
"24",1,"sweden"
"25",1,"trace-metals"
"26",1,"afforestation"
"27",1,"availability"
"28",1,"boreal forests"
"29",1,"calibration"
"30",1,"great-britain"
"31",1,"lodgepole pine"
"32",1,"new-york"
"33",1,"paleoenvironmental changes"
"34",1,"paludification"
"35",1,"pollen"
"36",1,"population-dynamics"
"37",1,"precipitation"
"38",1,"quebec"
"39",1,"reconstruction"
"40",1,"scotland"
"41",1,"tree growth"
"42",1,"acid sulfate soils"
"43",1,"age structure"
"44",1,"bryophytes"
"45",1,"carbon-dioxide flux"
"46",1,"carbon sequestration"
"47",1,"ce europe"
"48",1,"deposits"
"49",1,"document climate"
"50",1,"eastern"
"51",1,"ecological gradients"
"52",1,"ecological restoration"
"53",1,"human impact"
"54",1,"image classification"
"55",1,"inner-mongolia"
"56",1,"interior"
"57",1,"litter quality"
"58",1,"long-term drainage"
"59",1,"lost river peatland"
"60",1,"marine"
"61",1,"michigan"
"62",1,"moisture"
"63",1,"mosses"
"64",1,"netherlands"
"65",1,"northern minnesota"
"66",1,"radarsat-1"
"67",1,"radiocarbon age calibration"
"68",1,"rainfall"
"69",1,"sequestration"
"70",1,"soil-phosphorus"
"71",1,"sp nov."
"72",1,"spectroscopy"
"73",1,"term"
"74",1,"testate-amebas"
"75",1,"tree-ring chronology"
"76",1,"west european mires"
"77",1,"accretion"
"78",1,"acidic peat"
"79",1,"acidiphilic methanogen"
"80",1,"activity budgets"
"81",1,"age calibration"
"82",1,"albedo"
"83",2,"nitrogen"
"84",2,"soil"
"85",2,"water"
"86",2,"dissolved organic-carbon"
"87",2,"phosphorus"
"88",2,"impact"
"89",2,"restoration"
"90",2,"management"
"91",2,"water-quality"
"92",2,"organic-carbon"
"93",2,"quality"
"94",2,"chemistry"
"95",2,"forestry"
"96",2,"catchments"
"97",2,"nutrient"
"98",2,"export"
"99",2,"ditch network maintenance"
"100",2,"erosion"
"101",2,"transport"
"102",2,"drained peatlands"
"103",2,"phosphorus export"
"104",2,"site preparation"
"105",2,"stream"
"106",2,"water chemistry"
"107",2,"sediment transport"
"108",2,"catchment"
"109",2,"deposition"
"110",2,"flow"
"111",2,"runoff"
"112",2,"trends"
"113",2,"acidification"
"114",2,"network maintenance"
"115",2,"release"
"116",2,"retention"
"117",2,"river"
"118",2,"suspended-solids"
"119",2,"wood"
"120",2,"areas"
"121",2,"buffer zones"
"122",2,"deep peat"
"123",2,"nitrate"
"124",2,"nutrient dynamics"
"125",2,"nutrients"
"126",2,"ph"
"127",2,"phosphate"
"128",2,"pollution"
"129",2,"removal"
"130",2,"upland peatlands"
"131",2,"ammonium"
"132",2,"assemblages"
"133",2,"biogeochemistry"
"134",2,"delivery"
"135",2,"england"
"136",2,"forested catchment"
"137",2,"iron"
"138",2,"logging residues"
"139",2,"low-cost"
"140",2,"mid-wales"
"141",2,"mobilization"
"142",2,"northern finland"
"143",2,"paired catchment"
"144",2,"scots pine stands"
"145",2,"uncertainty"
"146",2,"budgets"
"147",2,"central ontario"
"148",2,"cropping systems"
"149",2,"detention"
"150",2,"diffuse load abatement"
"151",2,"discharge"
"152",2,"ecosystem services"
"153",2,"fine sediment"
"154",2,"frequency"
"155",2,"headwater streams"
"156",2,"macroinvertebrates"
"157",2,"morphology"
"158",2,"nutrient release"
"159",2,"paired-catchment"
"160",2,"parameterization"
"161",2,"phosphorus retention"
"162",2,"plynlimon"
"163",2,"riparian buffer zones"
"164",2,"sediment"
"165",2,"seedling establishment"
"166",2,"simulation"
"167",2,"sorption"
"168",2,"streamflow"
"169",2,"sulfate soils"
"170",2,"surface-water"
"171",2,"surface waters"
"172",2,"table depth"
"173",2,"temporal variation"
"174",2,"timber production"
"175",2,"upland blanket peat"
"176",2,"vegetation model"
"177",2,"zones"
"178",2,"acidity"
"179",2,"activated carbon"
"180",2,"adsorbent"
"181",2,"afforested catchment"
"182",3,"growth"
"183",3,"dynamics"
"184",3,"forest"
"185",3,"biomass"
"186",3,"black spruce"
"187",3,"soils"
"188",3,"accumulation"
"189",3,"tree"
"190",3,"productivity"
"191",3,"stands"
"192",3,"variability"
"193",3,"nutrient status"
"194",3,"picea-mariana"
"195",3,"drought"
"196",3,"peatland"
"197",3,"seedlings"
"198",3,"wood-ash"
"199",3,"adsorption"
"200",3,"ectomycorrhizal fungi"
"201",3,"evapotranspiration"
"202",3,"population"
"203",3,"regeneration"
"204",3,"alberta"
"205",3,"biomass production"
"206",3,"black carbon"
"207",3,"competition"
"208",3,"mire"
"209",3,"potassium"
"210",3,"rates"
"211",3,"sylvestris"
"212",3,"chronosequence"
"213",3,"coniferous stands"
"214",3,"dissolution"
"215",3,"forest stands"
"216",3,"heavy-metal"
"217",3,"pinus-sylvestris"
"218",3,"stand structure"
"219",3,"wood ash"
"220",3,"yield"
"221",3,"chemical-properties"
"222",3,"complex"
"223",3,"drained mires"
"224",3,"element concentrations"
"225",3,"fertilizers"
"226",3,"fly-ash"
"227",3,"ground vegetation"
"228",3,"infection"
"229",3,"light"
"230",3,"microbial activity"
"231",3,"optimization"
"232",3,"sitka spruce"
"233",3,"size structure"
"234",3,"soil-solution chemistry"
"235",3,"systems"
"236",3,"timber"
"237",3,"transpiration"
"238",3,"tree seedlings"
"239",3,"xylem"
"240",3,"abscisic-acid"
"241",3,"aerosol optical-properties"
"242",4,"peatlands"
"243",4,"water-table"
"244",4,"boreal peatlands"
"245",4,"co2"
"246",4,"fluxes"
"247",4,"emissions"
"248",4,"ch4"
"249",4,"nitrous-oxide"
"250",4,"carbon-dioxide"
"251",4,"methane"
"252",4,"n2o fluxes"
"253",4,"methane emissions"
"254",4,"denitrification"
"255",4,"exchange"
"256",4,"spruce"
"257",4,"land-use"
"258",4,"n2o"
"259",4,"greenhouse-gas emissions"
"260",4,"nitrification"
"261",4,"agricultural soils"
"262",4,"peat soils"
"263",4,"nitrous-oxide fluxes"
"264",4,"organic soils"
"265",4,"sink"
"266",4,"table"
"267",4,"annual co2 balance"
"268",4,"ecosystem"
"269",4,"forest soils"
"270",4,"gas emissions"
"271",4,"n2o emissions"
"272",4,"nitric-oxide"
"273",4,"oxidation"
"274",4,"prediction"
"275",4,"size"
"276",4,"vascular plants"
"277",4,"croplands"
"278",4,"denitrification rates"
"279",4,"emission factors"
"280",4,"grassland"
"281",4,"ground-penetrating radar"
"282",4,"infiltration"
"283",4,"land-use change"
"284",4,"n deposition"
"285",4,"nitrous-oxide production"
"286",4,"nutrient retention"
"287",4,"organic-soil"
"288",4,"size distribution"
"289",4,"water-table level"
"290",5,"diversity"
"291",5,"ecology"
"292",5,"biodiversity"
"293",5,"conservation"
"294",5,"impacts"
"295",5,"communities"
"296",5,"trees"
"297",5,"indicators"
"298",5,"models"
"299",5,"plant"
"300",5,"waters"
"301",5,"fire"
"302",5,"habitat"
"303",5,"peat-swamp forest"
"304",5,"species richness"
"305",5,"area"
"306",5,"density"
"307",5,"habitat selection"
"308",5,"landscape"
"309",5,"rain-forest"
"310",5,"species distribution"
"311",5,"amphibians"
"312",5,"central kalimantan"
"313",5,"dispersal"
"314",5,"environmental-change"
"315",5,"europe"
"316",5,"index"
"317",5,"land"
"318",5,"rhizopoda"
"319",5,"testate amebas"
"320",5,"artificial-drainage"
"321",5,"bioenergy"
"322",5,"biogeography"
"323",5,"bryophyte"
"324",5,"consequences"
"325",5,"epiphytic lichens"
"326",5,"fossil record"
"327",5,"habitat fragmentation"
"328",5,"microorganisms"
"329",5,"moose"
"330",5,"national-park"
"331",5,"new-zealand streams"
"332",5,"populations"
"333",5,"progress"
"334",5,"survival"
"335",5,"trout"
"336",5,"abundance"
"337",5,"acari"
"338",6,"boreal forest"
"339",6,"fertilization"
"340",6,"canada"
"341",6,"responses"
"342",6,"depth"
"343",6,"tundra"
"344",6,"fresh-water"
