"","grp","keyword"
"1",1,"co2"
"2",1,"emissions"
"3",1,"ch4"
"4",1,"temperature"
"5",1,"peatlands"
"6",1,"carbon"
"7",1,"soil"
"8",1,"dynamics"
"9",1,"exchange"
"10",1,"wetlands"
"11",1,"peat"
"12",1,"oxidation"
"13",1,"flux"
"14",1,"vegetation"
"15",1,"water"
"16",1,"soils"
"17",1,"emission"
"18",1,"bog"
"19",1,"peatland"
"20",1,"fen"
"21",1,"tundra"
"22",1,"dioxide"
"23",1,"ecosystem"
"24",1,"climate"
"25",1,"natural wetlands"
"26",1,"wetland"
"27",1,"atmospheric methane"
"28",1,"northern"
"29",1,"atmosphere"
"30",1,"ch4 emission"
"31",1,"consumption"
"32",1,"cycle"
"33",1,"variability"
"34",1,"model"
"35",1,"nitrogen"
"36",1,"reduction"
"37",1,"temperate"
"38",1,"methanogenesis"
"39",1,"sediments"
"40",1,"rates"
"41",1,"transport"
"42",1,"fresh-water"
"43",1,"northern wetlands"
"44",1,"permafrost"
"45",1,"ch4 production"
"46",1,"deposition"
"47",1,"minnesota"
"48",1,"polygonal tundra"
"49",1,"greenhouse gases"
"50",1,"rhizosphere"
"51",1,"dissolved organic-matter"
"52",1,"lake"
"53",1,"lakes"
"54",1,"methane flux"
"55",1,"northern minnesota"
"56",1,"plants"
"57",1,"canada"
"58",1,"carbon accumulation"
"59",1,"gases"
"60",1,"mire"
"61",1,"thaw"
"62",1,"winter fluxes"
"63",1,"gas"
"64",1,"sequestration"
"65",1,"stable carbon"
"66",1,"surface"
"67",1,"swamp"
"68",1,"biogeochemistry"
"69",1,"gradients"
"70",1,"grasslands"
"71",1,"landscape"
"72",1,"methanogenic bacteria"
"73",1,"minnesota peatlands"
"74",1,"nitrogen mineralization"
"75",1,"release"
"76",1,"depth"
"77",1,"global distribution"
"78",1,"hydrogen"
"79",1,"ontario"
"80",1,"pathways"
"81",1,"potentials"
"82",1,"rice paddies"
"83",1,"sulfate"
"84",1,"water chemistry"
"85",1,"acetate"
"86",1,"bubbles"
"87",1,"ebullition"
"88",1,"eddy-covariance"
"89",1,"gas-transport"
"90",1,"kinetics"
"91",1,"sanjiang plain"
"92",1,"scale"
"93",1,"sphagnum-derived peat"
"94",1,"acid peat"
"95",1,"anemometer (co)sine response"
"96",1,"blanket bog"
"97",1,"carbon mineralization"
"98",1,"ch4 oxidation"
"99",1,"diurnal-variation"
"100",1,"europe"
"101",1,"evasion"
"102",1,"feedback"
"103",1,"ground-penetrating radar"
"104",1,"isotope fractionation"
"105",1,"minnesota peatland"
"106",1,"removal"
"107",1,"rice plants"
"108",1,"tierra-del-fuego"
"109",1,"acidification"
"110",1,"biogenic gas"
"111",1,"ch4 flux"
"112",1,"classification"
"113",1,"co2 reduction"
"114",1,"cover"
"115",1,"diffusion"
"116",1,"export"
"117",1,"flow"
"118",1,"gas analyzers"
"119",1,"groundwater"
"120",1,"open-path"
"121",1,"profiles"
"122",1,"region"
"123",1,"rice field"
"124",1,"sphagnum-dominated peatland"
"125",1,"sulfate deposition"
"126",1,"ultraviolet-radiation"
"127",1,"wet grasslands"
"128",1,"zone"
"129",1,"air"
"130",1,"c-14"
"131",1,"cores"
"132",1,"cover soil"
"133",1,"derive methane emissions"
"134",1,"emergent aquatic macrophytes"
"135",1,"exchanges"
"136",1,"fields"
"137",1,"footprint model"
"138",1,"fresh-water sediments"
"139",1,"gradient"
"140",1,"imagery"
"141",1,"lena river delta"
"142",1,"macrophytes"
"143",1,"meadow"
"144",1,"microsites"
"145",1,"n-fertilization"
"146",1,"neural-networks"
"147",1,"oligotrophic pine fen"
"148",1,"oxidizing bacteria"
"149",1,"ozone"
"150",1,"paddy fields"
"151",1,"parameterization"
"152",1,"pressure"
"153",1,"river"
"154",1,"riverine wetlands"
"155",1,"seasonal-changes"
"156",1,"sites"
"157",1,"spectroscopy"
"158",1,"stable-isotope distribution"
"159",1,"sulfate reducers"
"160",1,"suppression"
"161",1,"validation"
"162",1,"wind-speed"
"163",1,"active layer"
"164",1,"atmospheric-pressure"
"165",1,"australia"
"166",1,"beaver"
"167",1,"biogenic methane"
"168",1,"boreal bog"
"169",1,"boreal forest soils"
"170",1,"calibration"
"171",1,"carbon isotopic composition"
"172",1,"ch4 efflux"
"173",1,"ch4 exchange"
"174",1,"compact"
"175",1,"concord"
"176",1,"dasuopu ice core"
"177",1,"deformation"
"178",1,"digital repeat photography"
"179",1,"diode-laser"
"180",1,"draw-down"
"181",1,"eastern alps"
"182",1,"ecosystem model"
"183",1,"eddy-correlation"
"184",1,"everglades"
"185",1,"field measurement"
"186",1,"floodplain"
"187",1,"flux measurement"
"188",1,"fuel"
"189",1,"functional-characteristics"
"190",1,"global carbon-cycle"
"191",1,"greenhouse-gas emission"
"192",1,"incubations"
"193",1,"inlet mass-spectrometry"
"194",1,"interior alaska"
"195",1,"layer"
"196",1,"lena delta"
"197",1,"marine"
"198",1,"massachusetts"
"199",1,"models"
"200",1,"mycorrhizal fungi"
"201",1,"northern ontario"
"202",1,"organic-acids"
"203",1,"patterned mires"
"204",1,"performance"
"205",1,"photodegradation"
"206",1,"photosynthates"
"207",1,"plant-roots"
"208",1,"reducing bacteria"
"209",1,"sea"
"210",1,"seasonal-variations"
"211",1,"sensible heat"
"212",1,"simulation-model"
"213",1,"soil-moisture"
"214",1,"solubility"
"215",1,"solute transport"
"216",1,"southern rocky-mountains"
"217",1,"stabilization"
"218",1,"streams"
"219",1,"terrestrial plants"
"220",1,"time"
"221",1,"treatment-plant"
"222",1,"ultraviolet-b radiation"
"223",1,"water lilies"
"224",1,"wisconsin"
"225",1,"absorption-spectroscopy"
"226",1,"accelerated carbonation"
"227",1,"aeration"
"228",1,"air-pressure"
"229",1,"amendments"
"230",1,"amino-acids"
"231",1,"ancient permafrost carbon"
"232",1,"angustifolia l"
"233",1,"aquatic plants"
"234",1,"arctic sedges"
"235",1,"arctic tundra ecosystems"
"236",1,"art. no. gb1003"
"237",1,"assimilation"
"238",1,"atmospheric co2 enrichment"
"239",1,"atmospheric surface-layer"
"240",1,"automated-determination"
"241",1,"bacteriogenic methane"
"242",1,"bay"
"243",1,"beech"
"244",1,"biogeochemical gradients"
"245",1,"blocking"
"246",1,"boreal wetlands"
"247",1,"bulk-density"
"248",1,"c fluxes"
"249",1,"carbon-isotope fractionation"
"250",1,"carex"
"251",1,"cattle"
"252",1,"changing climate conditions"
"253",1,"chemical characteristics"
"254",1,"churchill"
"255",1,"coastal tundra"
"256",1,"convective throughflow"
"257",1,"data set"
"258",1,"database"
"259",1,"destruction"
"260",1,"diatoms"
"261",1,"diffusion-coefficients"
"262",1,"dinitrogen"
"263",1,"discoloration"
"264",1,"dissolved-gases"
"265",1,"dissolved inorganic carbon"
"266",1,"ditches"
"267",1,"diurnal oscillations"
"268",1,"doc flux"
"269",1,"ecosystem components"
"270",1,"ecosystem methane"
"271",1,"ecosystem responses"
"272",1,"empodisma-minus"
"273",1,"environment"
"274",1,"eriophorum"
"275",1,"errors"
"276",1,"eutrophication"
"277",1,"fire severity"
"278",1,"florida everglades"
"279",1,"fluidized-bed combustion"
"280",1,"forest-fire"
"281",2,"carbon-dioxide"
"282",2,"fluxes"
"283",2,"water-table"
"284",2,"nitrous-oxide"
"285",2,"n2o"
"286",2,"methane"
"287",2,"northern peatlands"
"288",2,"greenhouse-gas emissions"
"289",2,"boreal peatlands"
"290",2,"organic soils"
"291",2,"n2o emissions"
"292",2,"nitrous-oxide fluxes"
"293",2,"finland"
"294",2,"methane fluxes"
"295",2,"table"
"296",2,"n2o fluxes"
"297",2,"agricultural soils"
"298",2,"methane dynamics"
"299",2,"laboratory columns"
"300",2,"water-level drawdown"
"301",2,"ch4 fluxes"
"302",2,"climatic-change"
"303",2,"phragmites-australis"
"304",2,"mires"
"305",2,"constructed wetlands"
"306",2,"reed canary grass"
"307",2,"microbial biomass"
"308",2,"pine mires"
"309",2,"scots pine"
"310",2,"southern finland"
"311",2,"energy crops"
"312",2,"organic soil"
"313",2,"bioenergy"
"314",2,"level"
"315",2,"canadian peatlands"
"316",2,"hydroelectric reservoirs"
"317",2,"carbon storage"
"318",2,"grass"
"319",2,"marsh"
"320",2,"norway spruce"
"321",2,"qinghai-tibetan plateau"
"322",2,"wood ash application"
"323",2,"alpine wetland"
"324",2,"croplands"
"325",2,"extraction"
"326",2,"fertilizer application"
"327",2,"forestry"
"328",2,"fresh-water marshes"
