"","grp","keyword"
"1",1,"carbon"
"2",1,"organic-matter"
"3",1,"rates"
"4",1,"reduction"
"5",1,"forest soils"
"6",1,"biomass"
"7",1,"marsh"
"8",1,"mineralization"
"9",1,"oxygen"
"10",1,"pine"
"11",1,"global distribution"
"12",1,"litter"
"13",1,"microbial biomass"
"14",1,"region"
"15",1,"systems"
"16",1,"bacteria"
"17",1,"methanogenesis"
"18",1,"sulfate reduction"
"19",1,"swamp"
"20",1,"area"
"21",1,"tibetan plateau"
"22",1,"biodegradation"
"23",1,"cores"
"24",1,"hydrogen"
"25",1,"microorganisms"
"26",1,"summer drought"
"27",1,"transformation"
"28",1,"fertilization"
"29",1,"future"
"30",1,"mass-loss"
"31",1,"methane oxidation"
"32",1,"methylmercury"
"33",1,"rice paddies"
"34",1,"spectrophotometric determination"
"35",1,"acetate"
"36",1,"bog growth"
"37",1,"dissolved-gases"
"38",1,"energy-requirements"
"39",1,"extraction method"
"40",1,"fires"
"41",1,"fresh-water sediments"
"42",1,"growth-responses"
"43",1,"lignocellulose"
"44",1,"long-term drainage"
"45",1,"mass-independent fractionation"
"46",1,"methane-oxidizing bacteria"
"47",1,"microbial community composition"
"48",1,"northern sweden"
"49",1,"nutrient addition"
"50",1,"nutrient release"
"51",1,"seawater"
"52",1,"simulations"
"53",1,"soil denitrification"
"54",1,"solubility"
"55",1,"surface sediment"
"56",1,"trace-gas fluxes"
"57",1,"water repellency"
"58",1,"acetylene"
"59",1,"acidiphilic methanogen"
"60",1,"acidiphilium-cryptum"
"61",1,"alpine wetlands"
"62",1,"anaerobic ammonium"
"63",1,"analog model"
"64",1,"archaea"
"65",1,"archaeal community"
"66",1,"arecaceae"
"67",1,"atmospheric deposition levels"
"68",1,"atmospheric trace gases"
"69",1,"beaver castor-canadensis"
"70",1,"beta-glucosaminidase activity"
"71",1,"biogeochemical gradients"
"72",1,"candidate division"
"73",1,"carbon fluxes"
"74",1,"central part"
"75",1,"coal deposits"
"76",2,"dynamics"
"77",2,"water"
"78",2,"peat"
"79",2,"hydrology"
"80",2,"hydraulic conductivity"
"81",2,"wetlands"
"82",2,"flow"
"83",2,"wetland"
"84",2,"model"
"85",2,"soils"
"86",2,"catchment"
"87",2,"groundwater-flow"
"88",2,"transport"
"89",2,"blanket peat"
"90",2,"impact"
"91",2,"drainage"
"92",2,"runoff"
"93",2,"release"
"94",2,"runoff generation"
"95",2,"quality"
"96",2,"simulation"
"97",2,"solute transport"
"98",2,"basin"
"99",2,"surface"
"100",2,"surface-water"
"101",2,"organic-carbon"
"102",2,"physical-properties"
"103",2,"field"
"104",2,"infiltration"
"105",2,"retention"
"106",2,"stream"
"107",2,"impacts"
"108",2,"scale"
"109",2,"water-flow"
"110",2,"storage"
"111",2,"catchments"
"112",2,"removal"
"113",2,"sediment"
"114",2,"water-balance"
"115",2,"acidification"
"116",2,"groundwater discharge"
"117",2,"uk"
"118",2,"conductivity"
"119",2,"northwest-territories"
"120",2,"behavior"
"121",2,"biogeochemistry"
"122",2,"alaska"
"123",2,"cutover bog"
"124",2,"erosion"
"125",2,"hydraulic-properties"
"126",2,"models"
"127",2,"movement"
"128",2,"rainfall"
"129",2,"water-quality"
"130",2,"water storage"
"131",2,"constructed wetlands"
"132",2,"discoloration"
"133",2,"generation"
"134",2,"land"
"135",2,"nitrate removal"
"136",2,"pore-size"
"137",2,"rivers"
"138",2,"time-series"
"139",2,"complex"
"140",2,"discharge"
"141",2,"ground-penetrating radar"
"142",2,"ground-water"
"143",2,"phosphate"
"144",2,"soil-water"
"145",2,"stress"
"146",2,"time-domain reflectometry"
"147",2,"anisotropy"
"148",2,"aquifer"
"149",2,"coastal-plain"
"150",2,"connectivity"
"151",2,"floodplain"
"152",2,"nutrient retention"
"153",2,"peatland restoration"
"154",2,"recharge"
"155",2,"streamflow"
"156",2,"streams"
"157",2,"unsaturated hydraulic conductivity"
"158",2,"capacity"
"159",2,"carbon loss"
"160",2,"macropores"
"161",2,"recovery"
"162",2,"abandoned cutover bog"
"163",2,"blocking"
"164",2,"depth-related heterogeneity"
"165",2,"groundwater recharge"
"166",2,"hillslope"
"167",2,"isotopes"
"168",2,"porous-media"
"169",2,"preferential flow"
"170",2,"subsidence"
"171",2,"transmission"
"172",2,"active layer"
"173",2,"aqueous aluminum"
"174",2,"areas"
"175",2,"bog peat"
"176",2,"buffer zones"
"177",2,"bulk-density"
"178",2,"conceptualization"
"179",2,"cutover peatlands"
"180",2,"forested catchment"
"181",2,"headwater catchment"
"182",2,"identification"
"183",2,"initiation"
"184",2,"organic-carbon loss"
"185",2,"pollution"
"186",2,"resistance"
"187",2,"shallow groundwater"
"188",2,"southern quebec"
"189",2,"surface-water interactions"
"190",2,"sweden"
"191",2,"thickness"
"192",2,"transformations"
"193",2,"zone"
"194",2,"zones"
"195",2,"acid deposition"
"196",2,"active-layer"
"197",2,"aluminum"
"198",2,"deformation"
"199",2,"design"
"200",2,"doc flux"
"201",2,"dual-porosity"
"202",2,"everglades"
"203",2,"fate"
"204",2,"fen peat"
"205",2,"floodplain wetland"
"206",2,"germany"
"207",2,"heterogeneity"
"208",2,"hydrograph separation"
"209",2,"hyporheic zone"
"210",2,"image-analysis"
"211",2,"irrigation"
"212",2,"limits"
"213",2,"mid-wales"
"214",2,"moorland"
"215",2,"narborough-bog"
"216",2,"parameter-estimation"
"217",2,"pattern"
"218",2,"permeability"
"219",2,"prediction"
"220",2,"pressure"
"221",2,"quantification"
"222",2,"resources"
"223",2,"saturated hydraulic conductivity"
"224",2,"sea-level"
"225",2,"simple consistent models"
"226",2,"snow"
"227",2,"soilwater end-members"
"228",2,"sphagnum moss"
"229",2,"state"
"230",2,"stream-water"
"231",2,"summer"
"232",2,"tracer"
"233",2,"tree"
"234",2,"upland peatlands"
"235",2,"west-virginia"
"236",2,"wetland hydrology"
"237",2,"arctic canadian shield"
"238",2,"british"
"239",2,"conductance"
"240",2,"constructed wetland buffer"
"241",2,"delta-o-18"
"242",2,"ecosystem services"
"243",2,"equation"
"244",2,"evaporation method"
"245",2,"forestry"
"246",2,"great-britain"
"247",2,"growing media"
"248",2,"hillslopes"
"249",2,"hydrological connectivity"
"250",2,"hydrological model"
"251",2,"hydrological pathways"
"252",2,"hydrological processes"
"253",2,"index"
"254",2,"leachate"
"255",2,"maine"
"256",2,"national-nature-reserve"
"257",2,"north-dakota"
"258",2,"peat soil"
"259",2,"pipeflow"
"260",2,"river-basin"
"261",2,"snowmelt runoff"
"262",2,"south florida"
"263",2,"southern ontario"
"264",2,"storage dynamics"
"265",2,"strips"
"266",2,"summer runoff"
"267",2,"temperatures"
"268",2,"tillage"
"269",2,"tortuosity"
"270",2,"vegetative filter strips"
"271",2,"waste-water"
"272",2,"water-retention"
"273",2,"yield"
"274",2,"acid soil"
"275",2,"acidification models"
"276",2,"artificial-drainage"
"277",2,"attenuation"
"278",2,"basins"
"279",2,"big run bog"
"280",2,"biofilm growth"
"281",2,"biogenic gas-bubbles"
"282",2,"biotransformation"
"283",2,"bog-fen complex"
"284",2,"bog pools"
"285",2,"boundary-layer"
"286",2,"bromide"
"287",2,"canadian shield"
"288",2,"capillary-pressure"
"289",2,"channelization"
"290",2,"cold regions"
"291",2,"computed-tomography"
"292",2,"conceptual-model"
"293",2,"consequences"
"294",2,"constraints"
"295",2,"cottonwood lake area"
"296",2,"creek"
"297",2,"cylindrical piezometers"
"298",2,"different spatial scales"
"299",2,"dispersion"
"300",2,"ditch blocking"
"301",2,"ditch network"
"302",2,"drainage ditches"
"303",2,"dual-porosity model"
"304",2,"ecological responses"
"305",2,"ellesmere-island"
"306",2,"enrichment"
"307",2,"equations"
"308",2,"estimating evapotranspiration"
"309",2,"estuary"
"310",2,"flow dynamics"
"311",2,"flow model"
"312",2,"flow paths"
"313",2,"france"
"314",2,"grass eriophorum-vaginatum"
"315",2,"groundwater dynamics"
"316",2,"groundwater lysimeter"
"317",2,"groundwater nitrate"
"318",2,"gully erosion"
"319",2,"heavy-metal"
"320",2,"hydrodynamics"
"321",2,"hydropedological units"
"322",2,"indexes"
"323",2,"land-cover change"
"324",2,"landscape controls"
"325",2,"loads"
"326",2,"loess plateau"
"327",2,"losses"
"328",2,"macroporosity"
"329",2,"maputaland"
"330",2,"mass-transfer"
"331",2,"massachusetts"
"332",2,"mesoscale catchment"
"333",2,"micro-topography"
"334",2,"mitigation"
"335",2,"mixture"
"336",2,"model calibration"
"337",2,"modeling streamwater chemistry"
"338",2,"moor-house"
"339",2,"morphology"
"340",2,"networks"
"341",2,"newfoundland blanket bog"
"342",2,"nonequilibrium"
"343",2,"northeast germany"
"344",2,"nutrient gradients"
"345",2,"o-18"
"346",2,"organic-carbon export"
"347",2,"organic-chemicals"
"348",2,"peat swamps"
"349",2,"perspective"
"350",2,"predict"
"351",2,"ray computed-tomography"
"352",2,"reference evapotranspiration"
"353",2,"regions"
"354",2,"remote-sensing approach"
"355",2,"repellency"
"356",2,"residence times"
"357",2,"runoff production"
"358",2,"saturation"
"359",2,"separation"
"360",2,"shrinkage"
"361",2,"site"
"362",2,"slug tests"
"363",2,"snowpack"
"364",2,"southern pennines"
"365",2,"spruce"
"366",2,"strategies"
"367",2,"tension infiltrometer"
"368",2,"topmodel"
"369",2,"transit-time"
"370",2,"tree roots"
"371",2,"upland peat catchments"
"372",2,"upper-teesdale"
"373",2,"volume-change"
"374",2,"vydra"
"375",2,"water-movement"
"376",2,"water management"
"377",2,"wetting patterns"
"378",2,"wisconsin"
"379",2,"yukon"
"380",2,"87 strontium 86"
"381",2,"ablation"
"382",2,"acidic brownwater streams"
"383",2,"acrotelm-catotelm model"
"384",2,"active-role"
"385",2,"adsorbing solutes"
"386",2,"agricultural catchments"
"387",2,"agricultural field"
"388",2,"agricultural nitrogen"
"389",2,"agricultural watersheds"
"390",2,"alabama"
"391",2,"amended soils"
"392",2,"amendment"
"393",2,"anaerobiosis"
"394",2,"animal manure applications"
"395",2,"apsim"
"396",2,"aquatic carbon"
"397",2,"artificial neural-networks"
"398",2,"attribution"
"399",2,"barrington-tops"
"400",2,"beaver dams"
"401",2,"bedrock groundwater"
"402",2,"bermudagrass"
"403",2,"biosolids"
"404",2,"birds"
"405",2,"birkenes"
"406",2,"birkenes catchment"
"407",2,"black shales"
"408",2,"blanket peatland"
"409",2,"blanket peatlands"
"410",2,"blue-mountains"
"411",2,"blue mountains"
"412",2,"bog-flow"
"413",2,"boundary-condition"
"414",2,"bowen-ratio"
"415",2,"breeding phenology"
"416",2,"brilliant blue fcf"
"417",2,"brook"
"418",2,"buffer strips"
"419",2,"capillary-fringe"
"420",2,"carbon concentrations"
"421",2,"cation-exchange"
"422",2,"central spain"
"423",2,"chalk"
"424",2,"chateauguay river aquifers"
"425",2,"climate-change impacts"
"426",2,"coagulation"
"427",2,"cold conditions"
"428",2,"colloidal particles"
"429",2,"connectivity distribution"
"430",2,"contact-angle"
"431",2,"continuity"
"432",3,"substrate"
"433",3,"fungal"
"434",3,"bacterial"
"435",3,"beech nothofagus forest"
"436",4,"temperature"
"437",4,"fluxes"
"438",4,"water-table"
"439",4,"carbon-dioxide"
"440",4,"co2 exchange"
"441",4,"balance"
"442",4,"decomposition"
"443",4,"exchange"
"444",4,"methane emissions"
"445",4,"co2"
"446",4,"accumulation"
"447",4,"responses"
"448",4,"vascular plants"
"449",4,"emissions"
"450",4,"interannual variability"
"451",4,"boreal"
"452",4,"methane"
"453",4,"northern peatlands"
"454",4,"photosynthesis"
"455",4,"ecosystem"
"456",4,"flux"
"457",4,"carbon-dioxide exchange"
"458",4,"northern peatland"
"459",4,"ch4"
"460",4,"boreal peatlands"
"461",4,"carbon balance"
"462",4,"northern"
"463",4,"sensitivity"
"464",4,"tundra"
"465",4,"oxidation"
"466",4,"respiration"
"467",4,"productivity"
"468",4,"water-vapor"
"469",4,"atmosphere"
"470",4,"soil respiration"
"471",4,"natural wetlands"
"472",4,"nitrous-oxide"
"473",4,"net primary production"
"474",4,"table"
"475",4,"net ecosystem exchange"
"476",4,"dioxide"
"477",4,"methane production"
"478",4,"ecosystem respiration"
"479",4,"methane emission"
"480",4,"arctic tundra"
"481",4,"ch4 emission"
"482",4,"carbon-dioxide fluxes"
"483",4,"consumption"
"484",4,"cycle"
"485",4,"discontinuous permafrost"
"486",4,"eddy covariance"
"487",4,"flux measurements"
"488",4,"n2o"
"489",4,"scots pine"
"490",4,"ch4 emissions"
"491",4,"moisture controls"
"492",4,"northern wetlands"
"493",4,"organic soils"
"494",4,"water-level drawdown"
"495",4,"boreal peatland"
"496",4,"climatic-change"
"497",4,"greenhouse-gas emissions"
"498",4,"nitrogen deposition"
"499",4,"nitrous-oxide emissions"
"500",4,"spatial variability"
"501",4,"litter decomposition"
"502",4,"spatial variation"
"503",4,"agricultural soils"
"504",4,"carbon dynamics"
"505",4,"ecosystem co2 exchange"
"506",4,"environmental controls"
"507",4,"forests"
"508",4,"greenhouse-gas fluxes"
