"","grp","keyword"
"1",1,"vegetation"
"2",1,"dynamics"
"3",1,"restoration"
"4",1,"bog"
"5",1,"sphagnum"
"6",1,"climate-change"
"7",1,"growth"
"8",1,"diversity"
"9",1,"drainage"
"10",1,"impact"
"11",1,"management"
"12",1,"wetlands"
"13",1,"communities"
"14",1,"conservation"
"15",1,"forest"
"16",1,"hydrology"
"17",1,"biodiversity"
"18",1,"patterns"
"19",1,"blanket peat"
"20",1,"responses"
"21",1,"bogs"
"22",1,"erosion"
"23",1,"ecology"
"24",1,"plant"
"25",1,"regeneration"
"26",1,"fen"
"27",1,"fire"
"28",1,"mined peatlands"
"29",1,"moisture"
"30",1,"species richness"
"31",1,"raised bog"
"32",1,"spontaneous revegetation"
"33",1,"community"
"34",1,"sediment"
"35",1,"surface"
"36",1,"alberta"
"37",1,"field"
"38",1,"runoff"
"39",1,"succession"
"40",1,"basin"
"41",1,"cutover peatlands"
"42",1,"discontinuous permafrost"
"43",1,"continental western canada"
"44",1,"fens"
"45",1,"microtopography"
"46",1,"raised bogs"
"47",1,"assemblages"
"48",1,"drain-blocking"
"49",1,"ecosystem services"
"50",1,"gradients"
"51",1,"history"
"52",1,"netherlands"
"53",1,"northwest-territories"
"54",1,"river"
"55",1,"subsidence"
"56",1,"thaw"
"57",1,"uk"
"58",1,"canada"
"59",1,"evaporation"
"60",1,"moorland"
"61",1,"recovery"
"62",1,"revegetation"
"63",1,"size"
"64",1,"southern quebec"
"65",1,"water chemistry"
"66",1,"wetland restoration"
"67",1,"depth"
"68",1,"establishment"
"69",1,"germination"
"70",1,"meadows"
"71",1,"moss"
"72",1,"mosses"
"73",1,"nutrients"
"74",1,"plant-communities"
"75",1,"quebec"
"76",1,"soil-moisture"
"77",1,"cutover bog"
"78",1,"ecological restoration"
"79",1,"england"
"80",1,"europe"
"81",1,"gradient"
"82",1,"lakes"
"83",1,"mountains"
"84",1,"usa"
"85",1,"water-level"
"86",1,"abundance"
"87",1,"areas"
"88",1,"calluna-vulgaris"
"89",1,"disequilibrium"
"90",1,"dispersal"
"91",1,"disturbance"
"92",1,"fauna"
"93",1,"future"
"94",1,"habitat"
"95",1,"interior alaska"
"96",1,"level"
"97",1,"mire"
"98",1,"peatland restoration"
"99",1,"productivity"
"100",1,"runoff generation"
"101",1,"services"
"102",1,"tundra"
"103",1,"western canada"
"104",1,"wildfire"
"105",1,"ammonium"
"106",1,"blanket bog"
"107",1,"blocking"
"108",1,"classification"
"109",1,"colonization"
"110",1,"colorado"
"111",1,"discoloration"
"112",1,"drought"
"113",1,"forests"
"114",1,"grasslands"
"115",1,"gully erosion"
"116",1,"north-america"
"117",1,"peat accumulation"
"118",1,"photosynthesis"
"119",1,"pine"
"120",1,"populations"
"121",1,"severity"
"122",1,"sphagnum recolonization"
"123",1,"surface-water chemistry"
"124",1,"testate amebas"
"125",1,"topsoil removal"
"126",1,"united-states"
"127",1,"valuation"
"128",1,"vegetation patterns"
"129",1,"wales"
"130",1,"calcareous fens"
"131",1,"catchments"
"132",1,"central-europe"
"133",1,"competition"
"134",1,"consequences"
"135",1,"deformation"
"136",1,"ecosystem co2 exchange"
"137",1,"eutrophication"
"138",1,"florida"
"139",1,"l."
"140",1,"microorganisms"
"141",1,"natural revegetation"
"142",1,"north"
"143",1,"nutrient limitation"
"144",1,"paleoecology"
"145",1,"policy"
"146",1,"polytrichum-strictum"
"147",1,"pools"
"148",1,"rich fens"
"149",1,"salinity"
"150",1,"therapy"
"151",1,"thermokarst"
"152",1,"tolerance"
"153",1,"upland peatlands"
"154",1,"alaska"
"155",1,"amphibians"
"156",1,"bare peat"
"157",1,"bare peat surface"
"158",1,"biology"
"159",1,"blanket mire"
"160",1,"butterflies"
"161",1,"coastal-plain"
"162",1,"ecological gradients"
"163",1,"encroachment"
"164",1,"erodibility"
"165",1,"evapotranspiration"
"166",1,"expansion"
"167",1,"extinction"
"168",1,"facilitation"
"169",1,"fragmentation"
"170",1,"habitats"
"171",1,"harvested peatlands"
"172",1,"human impact"
"173",1,"interspecific competition"
"174",1,"knowledge"
"175",1,"lepidoptera"
"176",1,"macroinvertebrates"
"177",1,"milled peatlands"
"178",1,"new-brunswick"
"179",1,"northern quebec"
"180",1,"nutrient availability"
"181",1,"organic-carbon loss"
"182",1,"palsa"
"183",1,"participation"
"184",1,"pattern"
"185",1,"phosphate release"
"186",1,"physiology"
"187",1,"plant colonization"
"188",1,"plantations"
"189",1,"predation"
"190",1,"protozoa rhizopoda"
"191",1,"reintroduction"
"192",1,"relevance"
"193",1,"reservoirs"
"194",1,"richness"
"195",1,"salt-marsh"
"196",1,"scotland"
"197",1,"shallow lakes"
"198",1,"species-diversity"
