"","grp","keyword"
"1",1,"vegetation"
"2",1,"peatlands"
"3",1,"dynamics"
"4",1,"growth"
"5",1,"bog"
"6",1,"carbon"
"7",1,"sphagnum"
"8",1,"decomposition"
"9",1,"nitrogen"
"10",1,"water"
"11",1,"accumulation"
"12",1,"patterns"
"13",1,"responses"
"14",1,"restoration"
"15",1,"wetlands"
"16",1,"phosphorus"
"17",1,"biomass"
"18",1,"canada"
"19",1,"ecosystems"
"20",1,"gradients"
"21",1,"plants"
"22",1,"rates"
"23",1,"mires"
"24",1,"wetland"
"25",1,"water chemistry"
"26",1,"impact"
"27",1,"litter decomposition"
"28",1,"bogs"
"29",1,"hydrology"
"30",1,"mineralization"
"31",1,"productivity"
"32",1,"classification"
"33",1,"chemistry"
"34",1,"mire"
"35",1,"alberta"
"36",1,"drainage"
"37",1,"finland"
"38",1,"community"
"39",1,"mosses"
"40",1,"groundwater"
"41",1,"fens"
"42",1,"gradient"
"43",1,"ecological gradients"
"44",1,"availability"
"45",1,"landscape"
"46",1,"nitrogen mineralization"
"47",1,"competition"
"48",1,"fertilization"
"49",1,"forest soils"
"50",1,"litter"
"51",1,"litter quality"
"52",1,"northern minnesota"
"53",1,"western canada"
"54",1,"scale"
"55",1,"minnesota"
"56",1,"nutrient"
"57",1,"groundwater-flow"
"58",1,"microbial biomass"
"59",1,"denitrification"
"60",1,"north"
"61",1,"north-america north"
"62",1,"surface-water chemistry"
"63",1,"black spruce"
"64",1,"bryophytes"
"65",1,"level"
"66",1,"quebec"
"67",1,"nutrient dynamics"
"68",1,"ph"
"69",1,"ombrotrophic bogs"
"70",1,"retention"
"71",1,"environmental gradients"
"72",1,"extraction method"
"73",1,"nutrients"
"74",1,"southern quebec"
"75",1,"turnover"
"76",1,"n deposition"
"77",1,"acidification"
"78",1,"atmospheric nitrogen deposition"
"79",1,"lost river peatland"
"80",1,"peat chemistry"
"81",1,"rich fens"
"82",1,"enzyme-activities"
"83",1,"leaf-litter"
"84",1,"microtopography"
"85",1,"nitrification"
"86",1,"biogeochemistry"
"87",1,"ammonium"
"88",1,"mined peatlands"
"89",1,"decay"
"90",1,"plant community"
"91",1,"west european mires"
"92",1,"carbon storage"
"93",1,"central alberta"
"94",1,"hummocks"
"95",1,"limitation"
"96",1,"mire vegetation"
"97",1,"ordination"
"98",1,"sites"
"99",1,"leaves"
"100",1,"nutrient addition"
"101",1,"spontaneous revegetation"
"102",1,"eutrophication"
"103",1,"forestry"
"104",1,"future"
"105",1,"initiation"
"106",1,"mass-loss"
"107",1,"terminology"
"108",1,"tree"
"109",1,"cutover peatlands"
"110",1,"decomposition rates"
"111",1,"nutritional constraints"
"112",1,"use efficiency"
"113",1,"water-table depth"
"114",1,"cover"
"115",1,"marsh"
"116",1,"nutrient release"
"117",1,"bryophyte"
"118",1,"colorado"
"119",1,"european mires"
"120",1,"feedback"
"121",1,"meadow"
"122",1,"nitrogen-fixation"
"123",1,"picea-mariana"
"124",1,"potassium"
"125",1,"reclamation"
"126",1,"stands"
"127",1,"atmospheric nitrogen"
"128",1,"complex"
"129",1,"cultivated land"
"130",1,"functional traits"
"131",1,"interspecific competition"
"132",1,"leaf-litter decomposition"
"133",1,"nutrition"
"134",1,"phosphorus mineralization"
"135",1,"physical gradients"
"136",1,"southern alps"
"137",1,"traits"
"138",1,"boreal alberta"
"139",1,"canonical correspondence-analysis"
"140",1,"checklist"
"141",1,"drained pine mires"
"142",1,"leaf"
"143",1,"manitoba"
"144",1,"molinia-caerulea"
"145",1,"patterned mires"
"146",1,"rich fen"
"147",1,"sphagnum bogs"
"148",1,"surface-water"
"149",1,"water-chemistry"
"150",1,"allocation"
"151",1,"expansion"
"152",1,"fuscum"
"153",1,"increased nitrogen deposition"
"154",1,"inhibition"
"155",1,"mineral-nutrition"
"156",1,"natural revegetation"
"157",1,"peatland restoration"
"158",1,"plant litter"
"159",1,"ratio"
"160",1,"revegetation"
"161",1,"swedish raised bog"
"162",1,"vertical-distribution"
"163",1,"alps"
"164",1,"bare peat"
"165",1,"biomass production"
"166",1,"chlorophyll"
"167",1,"desiccation"
"168",1,"environmental-conditions"
"169",1,"forest soil"
"170",1,"limiting nutrients"
"171",1,"limits"
"172",1,"microbial community structure"
"173",1,"nitrogen-fertilization"
"174",1,"nutrient status"
"175",1,"plant-mediated controls"
"176",1,"precipitation chemistry"
