"","Short_name","Authors","Abstract","Title","Source","DocumentType","PubDate","PubYear","DoI","WoSCat","WoSID"
"1","LEIFELD J, 2018, NAT COMMUN","LEIFELD J;MENICHETTI L","SOIL CARBON SEQUESTRATION AND AVOIDABLE EMISSIONS THROUGH PEATLAND RESTORATION ARE BOTH STRATEGIES TO TACKLE CLIMATE CHANGE. HERE WE COMPARE THEIR POTENTIAL AND ENVIRONMENTAL COSTS REGARDING NITROGEN AND LAND DEMAND. IN THE EVENT THAT NO FURTHER AREAS ARE EXPLOITED, DRAINED PEATLANDS WILL CUMULATIVELY RELEASE 80.8 GT CARBON AND 2.3 GT NITROGEN. THIS CORRESPONDS TO A CONTEMPORARY ANNUAL GREENHOUSE GAS EMISSION OF 1.91 (0.31-3.38) GT CO2-EQ. THAT COULD BE SAVED WITH PEATLAND RESTORATION. SOIL CARBON SEQUESTRATION ON ALL AGRICULTURAL LAND HAS COMPARABLE MITIGATION POTENTIAL. HOWEVER, ADDITIONAL NITROGEN IS NEEDED TO BUILD UP A SIMILAR CARBON POOL IN ORGANIC MATTER OF MINERAL SOILS, EQUIVALENT TO 30-80% OF THE GLOBAL FERTILIZER NITROGEN APPLICATION ANNUALLY. RESTORING PEATLANDS IS 3.4 TIMES LESS NITROGEN COSTLY AND INVOLVES A MUCH SMALLER LAND AREA DEMAND THAN MINERAL SOIL CARBON SEQUESTRATION, CALLING FOR A STRONGER CONSIDERATION OF PEATLAND REHABILITATION AS A MITIGATION MEASURE.","THE UNDERAPPRECIATED POTENTIAL OF PEATLANDS IN GLOBAL CLIMATE CHANGE MITIGATION STRATEGIES","NATURE COMMUNICATIONS","ARTICLE","MAR 14",2018,"10.1038/s41467-018-03406-6","MULTIDISCIPLINARY SCIENCES","WOS:000427377100001"
"2","VOIGT C, 2017, GLOBAL CHANGE BIOL","VOIGT C;LAMPRECHT RE;MARUSHCHAK ME;LIND SE;NOVAKOVSKIY A;AURELA M;MARTIKAINEN PJ;BIASI C","RAPIDLY RISING TEMPERATURES IN THE ARCTIC MIGHT CAUSE A GREATER RELEASE OF GREENHOUSE GASES (GHGS) TO THE ATMOSPHERE. TO STUDY THE EFFECT OF WARMING ON GHG DYNAMICS, WE DEPLOYED OPEN-TOP CHAMBERS IN A SUBARCTIC TUNDRA SITE IN NORTHEAST EUROPEAN RUSSIA. WE DETERMINED CARBON DIOXIDE (CO2), METHANE (CH4), AND NITROUS OXIDE (N2O) FLUXES AS WELL AS THE CONCENTRATION OF THOSE GASES, INORGANIC NITROGEN (N) AND DISSOLVED ORGANIC CARBON (DOC) ALONG THE SOIL PROFILE. STUDIED TUNDRA SURFACES RANGED FROM MINERAL TO ORGANIC SOILS AND FROM VEGETATED TO UNVEGETATED AREAS. AS A RESULT OF AIR WARMING, THE SEASONAL GHG BUDGET OF THE VEGETATED TUNDRA SURFACES SHIFTED FROM A GHG SINK OF -300 TO -198 G CO2 -EQ M(-2) TO A SOURCE OF 105 TO 144 G CO2 -EQ M(-2). AT BARE PEAT SURFACES, WE OBSERVED INCREASED RELEASE OF ALL THREE GHGS. WHILE THE POSITIVE WARMING RESPONSE WAS DOMINATED BY CO2, WE PROVIDE HERE THE FIRST IN SITU EVIDENCE OF INCREASING N2O EMISSIONS FROM TUNDRA SOILS WITH WARMING. WARMING PROMOTED N2O RELEASE NOT ONLY FROM BARE PEAT, PREVIOUSLY IDENTIFIED AS A STRONG N2O SOURCE, BUT ALSO FROM THE ABUNDANT, VEGETATED PEAT SURFACES THAT DO NOT EMIT N2O UNDER PRESENT CLIMATE. AT THESE SURFACES, ELEVATED TEMPERATURES HAD AN ADVERSE EFFECT ON PLANT GROWTH, RESULTING IN LOWER PLANT N UPTAKE AND, CONSEQUENTLY, BETTER N AVAILABILITY FOR SOIL MICROBES. ALTHOUGH THE WARMING WAS LIMITED TO THE SOIL SURFACE AND DID NOT ALTER THAW DEPTH, IT INCREASED CONCENTRATIONS OF DOC, CO2, AND CH4 IN THE SOIL DOWN TO THE PERMAFROST TABLE. THIS CAN BE ATTRIBUTED TO DOWNWARD DOC LEACHING, FUELING MICROBIAL ACTIVITY AT DEPTH. TAKEN TOGETHER, OUR RESULTS EMPHASIZE THE TIGHT LINKAGES BETWEEN PLANT AND SOIL PROCESSES, AND DIFFERENT SOIL LAYERS, WHICH NEED TO BE TAKEN INTO ACCOUNT WHEN PREDICTING THE CLIMATE CHANGE FEEDBACK OF THE ARCTIC.","WARMING OF SUBARCTIC TUNDRA INCREASES EMISSIONS OF ALL THREE IMPORTANT GREENHOUSE GASES - CARBON DIOXIDE, METHANE, AND NITROUS OXIDE","GLOBAL CHANGE BIOLOGY","ARTICLE","AUG",2017,"10.1111/gcb.13563","BIODIVERSITY CONSERVATION; ECOLOGY; ENVIRONMENTAL SCIENCES","WOS:000404863300015"
"3","TIEMEYER B, 2016, GLOBAL CHANGE BIOL","TIEMEYER B;BORRAZ EA;AUGUSTIN J;BECHTOLD M;BEETZ S;BEYER C;DROSLER M;EBLI M;EICKENSCHEIDT T;FIEDLER S;FORSTER C;FREIBAUER A;GIEBELS M;GLATZEL S;HEINICHEN J;HOFFMANN M;HOPER H;JURASINSKI G;LEIBER-SAUHEITL K;PEICHL-BRAK M;ROSSKOPF N;SOMMER M;ZEITZ J","DRAINAGE HAS TURNED PEATLANDS FROM A CARBON SINK INTO ONE OF THE WORLD'S LARGEST GREENHOUSE GAS (GHG) SOURCES FROM CULTIVATED SOILS. WE ANALYZED A UNIQUE DATA SET (12 PEATLANDS, 48 SITES AND 122 ANNUAL BUDGETS) OF MAINLY UNPUBLISHED GHG EMISSIONS FROM GRASSLANDS ON BOG AND FEN PEAT AS WELL AS OTHER SOILS RICH IN SOIL ORGANIC CARBON (SOC) IN GERMANY. EMISSIONS AND ENVIRONMENTAL VARIABLES WERE MEASURED WITH IDENTICAL METHODS. SITE-AVERAGED GHG BUDGETS WERE SURPRISINGLY VARIABLE (29.2 +/- 17.4 T CO2-EQ. HA(-1)YR(-1)) AND PARTIALLY HIGHER THAN ALL PUBLISHED DATA AND THE IPCC DEFAULT EMISSION FACTORS FOR GHG INVENTORIES. GENERALLY, CO2 (27.7 +/- 17.3 T CO(2)HA(-1)YR(-1)) DOMINATED THE GHG BUDGET. NITROUS OXIDE (2.3 +/- 2.4KG N2O-N HA(-1)YR(-1)) AND METHANE EMISSIONS (30.8 +/- 69.8KG CH4-C HA(-1)YR(-1)) WERE LOWER THAN EXPECTED EXCEPT FOR CH4 EMISSIONS FROM NUTRIENT-POOR ACIDIC SITES. AT SINGLE PEATLANDS, CO2 EMISSIONS CLEARLY INCREASED WITH DEEPER MEAN WATER TABLE DEPTH (WTD), BUT THERE WAS NO GENERAL DEPENDENCY OF CO2 ON WTD FOR THE COMPLETE DATA SET. THUS, REGIONALIZATION OF CO2 EMISSIONS BY WTD ONLY WILL REMAIN UNCERTAIN. WTD DYNAMICS EXPLAINED SOME OF THE DIFFERENCES BETWEEN PEATLANDS AS SITES WHICH BECAME VERY DRY DURING SUMMER SHOWED LOWER EMISSIONS. WE INTRODUCED THE AERATED NITROGEN STOCK (N-AIR) AS A VARIABLE COMBINING SOIL NITROGEN STOCKS WITH WTD. CO2 INCREASED WITH N-AIR ACROSS PEATLANDS. SOILS WITH COMPARATIVELY LOW SOC CONCENTRATIONS SHOWED AS HIGH CO2 EMISSIONS AS TRUE PEAT SOILS BECAUSE N-AIR WAS SIMILAR. N2O EMISSIONS WERE CONTROLLED BY THE WTD DYNAMICS AND THE NITROGEN CONTENT OF THE TOPSOIL. CH4 EMISSIONS CAN BE WELL DESCRIBED BY WTD AND PONDING DURATION DURING SUMMER. OUR RESULTS CAN HELP BOTH TO IMPROVE GHG EMISSION REPORTING AND TO PRIORITIZE AND PLAN EMISSION REDUCTION MEASURES FOR PEAT AND SIMILAR SOILS AT DIFFERENT SCALES.","HIGH EMISSIONS OF GREENHOUSE GASES FROM GRASSLANDS ON PEAT AND OTHER ORGANIC SOILS","GLOBAL CHANGE BIOLOGY","ARTICLE","DEC",2016,"10.1111/gcb.13303","BIODIVERSITY CONSERVATION; ECOLOGY; ENVIRONMENTAL SCIENCES","WOS:000387813300025"
"4","WILSON RM, 2016, NAT COMMUN","WILSON RM;HOPPLE AM;TFAILY MM;SEBESTYEN SD;SCHADT CW;PFEIFER-MEISTER L;MEDVEDEFF C;MCFARLANE KJ;KOSTKA JE;KOLTON M;KOLKA RK;KLUBER LA;KELLER JK;GUILDERSON TP;GRIFFITHS NA;CHANTON JP;BRIDGHAM SD;HANSON PJ","PEATLANDS CONTAIN ONE-THIRD OF SOIL CARBON (C), MOSTLY BURIED IN DEEP, SATURATED ANOXIC ZONES (CATOTELM). THE RESPONSE OF CATOTELM C TO CLIMATE FORCING IS UNCERTAIN, BECAUSE PRIOR EXPERIMENTS HAVE FOCUSED ON SURFACE WARMING. WE SHOW THAT DEEP PEAT HEATING OF A 2 M-THICK PEAT COLUMN RESULTS IN AN EXPONENTIAL INCREASE IN CH4 EMISSIONS. HOWEVER, THIS RESPONSE IS DUE SOLELY TO SURFACE PROCESSES AND NOT DEGRADATION OF CATOTELM PEAT. INCUBATIONS SHOW THAT ONLY THE TOP 20-30 CM OF PEAT FROM EXPERIMENTAL PLOTS HAVE HIGHER CH4 PRODUCTION RATES AT ELEVATED TEMPERATURES. RADIOCARBON ANALYSES DEMONSTRATE THAT CH4 AND CO2 ARE PRODUCED PRIMARILY FROM DECOMPOSITION OF SURFACE-DERIVED MODERN PHOTOSYNTHATE, NOT CATOTELM C. THERE ARE NO DIFFERENCES IN MICROBIAL ABUNDANCES, DISSOLVED ORGANIC MATTER CONCENTRATIONS OR DEGRADATIVE ENZYME ACTIVITIES AMONG TREATMENTS. THESE RESULTS SUGGEST THAT ALTHOUGH SURFACE PEAT WILL RESPOND TO INCREASING TEMPERATURE, THE LARGE RESERVOIR OF CATOTELM C IS STABLE UNDER CURRENT ANOXIC CONDITIONS.","STABILITY OF PEATLAND CARBON TO RISING TEMPERATURES","NATURE COMMUNICATIONS","ARTICLE","DEC 13",2016,"10.1038/ncomms13723","MULTIDISCIPLINARY SCIENCES","WOS:000389626800001"
"5","EGENE CE, 2018, SCI TOTAL ENVIRON","EGENE CE;VAN POUCKE R;OK YS;MEERS E;TACK FMG","TO DETERMINE THE LONG-TERM IMPACT OF ORGANIC AMENDMENTS ON METAL (CD AND ZN) IMMOBILIZATION, SOIL FROM THE CAMPINE REGION WAS AMENDED WITH HOLM OAK-DERIVED BIOCHAR, COMPOST, AND PEAT, AND MONITORED OVER A 3-YEAR PERIOD. POT EXPERIMENTS WERE CONDUCTED BY MIXING THE AMENDMENTS INDEPENDENTLY AT 2% AND 4% (G/G) WITH THE SOIL. THE MOBILITY AND SOLUBILITY OF METALS IN THE TREATMENTS WERE ASSESSED BY MEANS OF RHIZON SOIL MOISTURE SAMPLERS, SEQUENTIAL BCR EXTRACTIONS, AND DIFFUSIVE GRADIENT IN THIN FILMS (DGT). OVER THE THREE-YEAR PERIOD, THE 2% BIOCHAR ADDITION RESULTED IN AN AVERAGE DECREASE IN PORE WATER CONCENTRATION OF 40% FOR CD AND 48% FOR ZN WHEREAS THE 4% ADDITION LED TO AN AVERAGE DECREASE OF 66% FOR CD AND 77% FOR ZN. THE IMMOBILIZATION EFFECT IN THE BIOCHAR TREATMENTS WAS ATTRIBUTED TO THE CONSISTENTLY HIGHER PH AND LOWER CONCENTRATIONS OF DISSOLVED ORGANIC CARBON (DOC) IN THE SOIL. THE LATTER MAY HAVE BEEN CAUSED BY SORPTION OF DOC ONTO THE SURFACE OF BIOCHAR THEREBY INCREASING ITS NEGATIVELY CHARGED FUNCTIONAL GROUPS THAT ARE ABLE TO SORB CATIONS. ON THE OTHER HAND, COMPOST AND PEAT HAD THE UNWANTED EFFECT OF SIGNIFICANTLY INCREASING THE CONCENTRATIONS OF CD AND ZN IN THE SOIL PORE WATER. THIS WAS PARTLY DUE TO THE FORMATION OF SOLUBLE ORGANO-METALLIC COMPLEXES AS SIGNIFICANTLY HIGHER DOC CONCENTRATIONS WERE FOUND IN THE COMPOST AND PEAT TREATMENTS. RESULTS FROM THE DGT MEASUREMENTS, AFTER A 24 H DEPLOYMENT TIME, REVEALED A LOW RESUPPLY (R <= 0.4) OF CD AND ZN FROM THE SOLID PHASE TO THE SOIL SOLUTION IN BOTH AMENDED AND UNAMENDED SOIL. THIS SUGGESTS A CASE OF SLOW METAL DESORPTION KINETICS IN THE SOIL THAT WAS RELATIVELY UNCHANGED BY THE PRESENCE OF ORGANIC AMENDMENTS. (C) 2018 ELSEVIER B.V. ALL RIGHTS RESERVED.","IMPACT OF ORGANIC AMENDMENTS (BIOCHAR, COMPOST AND PEAT) ON CD AND ZN MOBILITY AND SOLUBILITY IN CONTAMINATED SOIL OF THE CAMPINE REGION AFTER THREE YEARS","SCIENCE OF THE TOTAL ENVIRONMENT","ARTICLE","JUN 1",2018,"10.1016/j.scitotenv.2018.01.054","ENVIRONMENTAL SCIENCES","WOS:000428194000020"
"6","D'ARCY J, 2016, GEOCHIM COSMOCHIM AC","D'ARCY J;BABECHUK MG;DOSSING LN;GAUCHER C;FREI R","WE REPORT CHROMIUM (CR) ISOTOPE COMPOSITIONS AND CONCENTRATIONS (AND ADDITIONAL GEOCHEMICAL AND PHYSICOCHEMICAL DATA) OF BEDROCK, SOILS AND RIVER WATERS FROM TWO GEOGRAPHICALLY DISTINCT BASALTIC RIVER CATCHMENTS, THE URUGUAY RIVER CATCHMENT (URUGUAY) AND THE GLENARIFF RIVER CATCHMENT (NORTHERN IRELAND, UNITED KINGDOM), TO INVESTIGATE THE PROCESSES THAT CONTROL CR MOBILISATION AND FRACTIONATION DURING WEATHERING AND RIVERINE TRANSPORT TO THE SEA. OUR RESULTS SHOW THAT THE CR ISOTOPE COMPOSITIONS OF SOILS ARE A FUNCTION OF THE MODAL ABUNDANCE AND WEATHERING RATES OF CR-BEARING MINERALS. THE ACCUMULATION OF WEATHERING RESISTANT CR-SPINELS IN THE SOILS OF NORTHERN IRELAND RESULTS IN SOILS WHICH ARE ENRICHED IN CR AND HAVE DELTA CR-53 VALUES WITHIN THE RANGE OF LOCAL BEDROCK (DELTA CR-53 VALUE OF -0.21 +/- 0.12%, 2 SIGMA, N = 4). BY CONTRAST, THE MORE EASILY WEATHERED CR-SILICATES IN THE BEDROCK OF URUGUAY RESULTS IN GREATER CR LOSS FROM THE SOIL AND A DEPLETION IN THE HEAVY ISOTOPES OF CR (WITH AVERAGE DELTA CR-53 VALUE OF -0.32 +/- 0.04%, 2 SIGMA, N = 4) RELATIVE TO THE LOCAL BEDROCK (DELTA CR-53 VALUE OF -0.22 +/- 0.08%, 2 SIGMA, N = 4). THE RIVER WATERS IN BOTH CATCHMENTS ARE PREDOMINANTLY ENRICHED IN THE HEAVY CR-53 ISOTOPE RELATIVE TO BEDROCK, ALTHOUGH THE RANGE AND AVERAGE RIVER WATER DELTA CR-53 VALUES DIFFER SIGNIFICANTLY BETWEEN EACH. THE URUGUAY RIVERS EXHIBIT A RESTRICTED RANGE IN DELTA CR-53 VALUES, WITH A MEAN OF +0.08 +/- 0.06% (2 SIGMA, N = 5) THAT REPRESENTS A POSITIVE FRACTIONATION OF +0.2% RELATIVE TO BEDROCK, AND IS BEST EXPLAINED BY THE UNIDIRECTIONAL FORMATION OF CR(VI) DURING WEATHERING THAT HAS NOT BEEN SIGNIFICANTLY MODIFIED BY BACK-REDUCTION TO CR(III). BY CONTRAST, THE GLENARIFF STREAM AND RIVER WATERS (NORTHERN IRELAND) EXHIBIT A WIDE RANGE IN DELTA CR-53 VALUES FROM -0.17 +/- 0.3% (2 SIGMA, N = 4) TO +1.68 +/- 0.3% (N = 1) THAT APPEARS TO REFLECT THE VARIABLE REDOX CONDITIONS OF THE CATCHMENT. IN GENERAL, THE VALUES WITH THE LOWEST CR-53 ENRICHMENT HAVE HIGHER CR CONCENTRATIONS, THE LOWEST PH, HIGHEST DISSOLVED ORGANIC CARBON (DOC), AND EXHIBIT MINIMAL CE ANOMALIES THAT IS CONSISTENT WITH A GREATER PROPORTION OF CR(III) RELEASED FROM MORE REDUCING (BOG INFLUENCED) STREAM WATERS. THE REMAINING WATERS HAVE LOWER CR CONCENTRATIONS, LOWER DOC, AND MORE PRONOUNCED CE ANOMALIES, INDICATING THAT A GREATER PROPORTION OF CR(VI) UNDERWENT PARTIAL BACK-REDUCTION TO CR(III) EITHER DURING WEATHERING, OR DURING RIVERINE TRANSPORT. OVERALL, THE DOC APPEARS TO EXERT A CONTROL ON THE DISSOLVED CR SPECIATION AND MAGNITUDE OF ISOTOPE FRACTIONATION IN THESE RIVER WATERS. THE BROADER IMPLICATIONS OF THESE OBSERVATIONS ARE THAT THE PREVAILING REDOX CONDITIONS IN A RIVER CATCHMENT STRONGLY INFLUENCE THE DELTA CR-53 VALUE OF THE RIVER WATER FLUX EMPTYING INTO SEAWATER. OBSERVATIONS FOR THIS STUDY NEED TO BE CONSIDERED WHEN DEVELOPING A FRAMEWORK FOR INTERPRETING PALAEO-CLIMATES FROM THE DELTA CR-53 VALUES OF ANCIENT AUTHIGENIC MARINE SEDIMENTS. (C) 2016 ELSEVIER LTD. ALL RIGHTS RESERVED.","PROCESSES CONTROLLING THE CHROMIUM ISOTOPIC COMPOSITION OF RIVER WATER: CONSTRAINTS FROM BASALTIC RIVER CATCHMENTS","GEOCHIMICA ET COSMOCHIMICA ACTA","ARTICLE","AUG 1",2016,"10.1016/j.gca.2016.04.027","GEOCHEMISTRY & GEOPHYSICS","WOS:000378836600017"
"7","EVANS CD, 2016, AQUAT SCI","EVANS CD;THOMAS DN",NA,"CONTROLS ON THE PROCESSING AND FATE OF TERRESTRIALLY-DERIVED ORGANIC CARBON IN AQUATIC ECOSYSTEMS: SYNTHESIS OF SPECIAL ISSUE INTRODUCTION","AQUATIC SCIENCES","EDITORIAL MATERIAL","JUL",2016,"10.1007/s00027-016-0470-7","ENVIRONMENTAL SCIENCES; LIMNOLOGY; MARINE & FRESHWATER BIOLOGY","WOS:000377360200001"
"8","SPRENGER M, 2017, WATER RESOUR RES","SPRENGER M;TETZLAFF D;TUNALEY C;DICK J;SOULSBY C","THERE IS INCREASING INTEREST IN IMPROVING UNDERSTANDING OF EVAPORATION WITHIN A CATCHMENT FOR AN ENHANCED REPRESENTATION OF DOMINANT PROCESSES IN HYDROLOGICAL MODELS. WE USED A DUAL-ISOTOPE APPROACH WITHIN A NESTED EXPERIMENTAL DESIGN IN A BOREAL CATCHMENT IN THE SCOTTISH HIGHLANDS (BRUNTLAND BURN) TO QUANTIFY THE SPATIOTEMPORAL DYNAMICS OF EVAPORATION FRACTIONATION IN A PEATLAND DRAINAGE NETWORK AND ITS EFFECT ON STREAM WATER ISOTOPES. WE CONDUCTED SPATIALLY DISTRIBUTED WATER SAMPLING WITHIN THE SATURATED PEATLAND UNDER DIFFERENT WETNESS CONDITIONS. WE USED THE LC-EXCESSWHICH DESCRIBES THE OFFSET OF A WATER SAMPLE FROM THE LOCAL METEORIC WATER LINE IN THE DUAL-ISOTOPE SPACETO UNDERSTAND THE DEVELOPMENT OF KINETIC FRACTIONATION DURING RUNOFF IN A PEATLAND NETWORK. THE EVAPORATION FRACTIONATION SIGNAL CORRELATED POSITIVELY WITH THE POTENTIAL EVAPOTRANSPIRATION AND NEGATIVELY WITH THE DISCHARGE. THE VARIABILITY OF THE ISOTOPIC ENRICHMENT WITHIN THE PEATLAND DRAINAGE NETWORK WAS HIGHER WITH HIGHER POTENTIAL EVAPOTRANSPIRATION AND LOWER WITH HIGHER DISCHARGE. WE FOUND AN INCREASED EVAPORATION FRACTIONATION TOWARD THE CENTER OF THE PEATLAND, WHILE GROUNDWATER SEEPAGE FROM MINEROGENIC SOILS INFLUENCED THE ISOTOPIC SIGNAL AT THE EDGE OF THE PEATLAND. THE EVAPORATION SIGNAL WAS IMPRINTED ON THE STREAM WATER, AS THE DISCHARGE FROM A PEATLAND DOMINATED SUBCATCHMENT SHOWED A MORE INTENSE DEVIATION FROM THE LOCAL METEORIC WATER LINE THAN THE DISCHARGE FROM THE BRUNTLAND BURN. THE FINDINGS UNDERLINE THAT EVAPORATION FRACTIONATION WITHIN PEATLAND DRAINAGE NETWORKS AFFECTS THE ISOTOPIC SIGNAL OF HEADWATER CATCHMENTS, WHICH QUESTIONS THE COMMON ASSUMPTION IN HYDROLOGICAL MODELING THAT THE ISOTOPIC COMPOSITION OF STREAM WATERS DID NOT UNDERGO FRACTIONATION PROCESSES.","EVAPORATION FRACTIONATION IN A PEATLAND DRAINAGE NETWORK AFFECTS STREAM WATER ISOTOPE COMPOSITION","WATER RESOURCES RESEARCH","ARTICLE","JAN",2017,"10.1002/2016WR019258","ENVIRONMENTAL SCIENCES; LIMNOLOGY; WATER RESOURCES","WOS:000394911200050"
"9","CHEN KL, 2017, ENVIRON POLLUT","CHEN KL;LIU LC;CHEN WR","MANY ANTIBIOTICS, INCLUDING SULFONAMIDES, ARE BEING FREQUENTLY DETECTED IN SOIL AND GROUNDWATER. LIVESTOCK WASTE IS AN IMPORTANT SOURCE OF ANTIBIOTIC POLLUTION, AND SULFONAMIDES MAY BE PRESENT ALONG WITH ORGANIC-RICH SUBSTANCES. THIS STUDY AIMS TO INVESTIGATE THE SORPTION REACTION OF TWO SULFONAMIDES, SULFAMETHOXAZOLE (SMZ) AND SULFAPYRIDINE (SPY) IN TWO ORGANIC-RICH SORBENTS: A COMMERCIAL PEAT SOIL (38.41% CARBON CONTENT) AND A COMPOSTED MANURE (24.33% CARBON CONTENT). BATCH REACTIONS WERE CONDUCTED TO EVALUATE THE IMPACTS OF PH (4.5-9.5) AND BACKGROUND IONS (0.001 M-0.1 M CACL2) ON THEIR SORPTION. BOTH LINEAR PARTITIONING AND FREUNDLICH SORPTION ISOTHERMS FIT THE REACTION WELL. THE N VALUES OF FREUNDLICH ISOTHERM WERE CLOSE TO 1 IN MOST CONDITIONS SUGGESTING THAT THE HYDROPHOBIC PARTITION IS THE MAJOR ADSORPTION MECHANISM. IN TERMS OF SMZ, K-D DECLINED WITH INCREASES IN THE PH. SPY HAS A PYRIDINE GROUP THAT IS RESPONSIBLE FOR ADSORPTION AT HIGH PH VALUES, AND THUS, NO SIGNIFICANT TREND BETWEEN KD AND PH WAS OBSERVED. AT HIGH PH RANGES, SPY SORPTION DEVIATED SIGNIFICANTLY FROM LINEAR PARTITIONING. THE RESULTS SUGGESTED THE SORPTION MECHANISM OF THESE TWO SULFONAMIDE ANTIBIOTICS TENDED TO BE HYDROPHOBIC PARTITIONING UNDER MOST OF THE EXPERIMENTAL CONDITIONS, ESPECIALLY AT PH VALUES LOWER THAN THEIR CORRESPONDING PK(A2), THE FLUORESCENCE EXCITATION EMISSION MATRIX AND DISSOLVED ORGANIC CARBON LEACHING TEST SUGGESTED COMPOSTED MANURE HAS HIGHER FULVIC ACID ORGANICS AND THAT PEAT SOIL HAS HIGHER HUMUS LIKE ORGANICS. SMALL ORGANIC MOLECULES SHOWED STRONGER AFFINITY TOWARD SULFONAMIDE ANTIBIOTICS AND CAUSE THE COMPOSTED MANURE TO EXHIBIT HIGHER SORPTION CAPACITY. OVERALL, THIS STUDY SUGGESTS THAT THE CHEMICAL STRUCTURE AND PROPERTIES OF SULFONAMIDES ANTIBIOTICS AND THE TYPE OF ORGANIC MATTER IN SOILS WILL GREATLY INFLUENCE THE FATE AND TRANSPORT OF THESE CONTAMINANTS INTO THE ENVIRONMENT. (C) 2017 ELSEVIER LTD. ALL RIGHTS RESERVED.","ADSORPTION OF SULFAMETHOXAZOLE AND SULFAPYRIDINE ANTIBIOTICS IN HIGH ORGANIC CONTENT SOILS","ENVIRONMENTAL POLLUTION","ARTICLE","DEC",2017,"10.1016/j.envpol.2017.08.011","ENVIRONMENTAL SCIENCES","WOS:000414881000118"
"10","CHAMBERS LG, 2016, WETLANDS","CHAMBERS LG;GUEVARA R;BOYER JN;TROXLER TG;DAVIS SE","SHIFTS IN MICROBIAL COMMUNITY FUNCTION AND STRUCTURE CAN BE INDICATORS OF ENVIRONMENTAL STRESS AND ECOSYSTEM CHANGE IN WETLAND SOILS. THIS STUDY EVALUATED THE EFFECTS OF INCREASED SALINITY, INCREASED INUNDATION, AND THEIR COMBINATION, ON SOIL MICROBIAL FUNCTION (ENZYME ACTIVITY) AND STRUCTURE (PHOSPHOLIPID FATTY ACID (PLFA) SIGNATURES AND TERMINAL RESTRICTION FRAGMENT LENGTH POLYMORPHISMS (T-RFLP) PROFILES) IN A BRACKISH MANGROVE PEAT SOIL USING TIDAL MESOCOSMS (EVERGLADES, FLORIDA, USA). INCREASED TIDAL INUNDATION RESULTED IN REDUCED SOIL ENZYME ACTIVITY, ESPECIALLY ALKALINE PHOSPHATASE, AN INCREASE IN THE ABUNDANCE AND DIVERSITY OF PROKARYOTES, AND A DECLINE IN NUMBER OF EUKARYOTES. THE COMMUNITY COMPOSITION OF LESS ABUNDANT BACTERIA (T-RFLPS COMPRISING 0.3-1 % OF TOTAL FLUORESCENCE) ALSO SHIFTED AS A RESULT OF INCREASED INUNDATION UNDER AMBIENT SALINITY. SEVERAL KEY BIOGEOCHEMICAL INDICATORS (OXIDATION-REDUCTION POTENTIAL, CO2 FLUX, POREWATER NH4 (+), AND DISSOLVED ORGANIC CARBON) CORRELATED WITH MEASURED MICROBIAL PARAMETERS AND DIFFERED WITH INUNDATION LEVEL. THIS STUDY INDICATES MICROBIAL FUNCTION AND COMPOSITION IN BRACKISH SOIL IS MORE STRONGLY IMPACTED BY INCREASED INUNDATION THAN INCREASED SALINITY. THE OBSERVED DIVERGENCE OF MICROBIAL INDICATORS WITHIN A SHORT TIME SPAN (10-WEEKS) DEMONSTRATES THEIR USEFULNESS AS AN EARLY WARNING SIGNAL FOR SHIFTS IN COASTAL WETLAND ECOSYSTEMS DUE TO SEA LEVEL RISE STRESSORS.","EFFECTS OF SALINITY AND INUNDATION ON MICROBIAL COMMUNITY STRUCTURE AND FUNCTION IN A MANGROVE PEAT SOIL","WETLANDS","ARTICLE","APR",2016,"10.1007/s13157-016-0745-8","ECOLOGY; ENVIRONMENTAL SCIENCES","WOS:000373643900014"
