"","Short_name","Authors","Abstract","Title","Source","DocumentType","PubDate","PubYear","DoI","WoSCat","WoSID"
"1","FREIBAUER A, 2004, GEODERMA","FREIBAUER A;ROUNSEVELL MDA;SMITH P;VERHAGEN J","IN THIS REVIEW, TECHNICAL AND ECONOMICALLY VIABLE POTENTIALS FOR CARBON SEQUESTRATION IN THE AGRICULTURAL SOILS OF EUROPE BY 2008-2012 ARE ANALYSED AGAINST A BUSINESS-AS-USUAL SCENARIO. WE PROVIDE A QUANTITATIVE ESTIMATION OF THE CARBON ABSORPTION POTENTIAL PER HECTARE AND THE SURFACE OF AGRICULTURAL LAND THAT IS AVAILABLE AND SUITABLE FOR THE IMPLEMENTATION OF THOSE MEASURES, THEIR ENVIRONMENTAL EFFECTS AS WELL AS THE EFFECTS ON FARM INCOME. REALISTICALLY, AGRICULTURAL SOILS IN EU-15 CAN SEQUESTER UP TO 16-19 MT C YEAR(-1) DURING THE FIRST KYOTO COMMITMENT PERIOD (2008-2012), WHICH IS LESS THAN ONE FIFTH OF THE THEORETICAL POTENTIAL AND EQUIVALENT TO 2% OF EUROPEAN ANTHROPOGENIC EMISSIONS. WE IDENTIFIED AS MOST PROMISING MEASURES: THE PROMOTION OF ORGANIC INPUTS ON ARABLE LAND INSTEAD OF GRASSLAND, THE INTRODUCTION OF PERENNIALS (GRASSES, TREES) ON ARABLE SET-ASIDE LAND FOR CONSERVATION OR BIOFUEL PURPOSES, TO PROMOTE ORGANIC FARMING, TO RAISE THE WATER TABLE IN FANNED PEATLAND, AND-WITH RESTRICTIONS-ZERO TILLAGE OR CONSERVATION TILLAGE. MANY OPTIONS HAVE ENVIRONMENTAL BENEFITS BUT SOME RISK OF INCREASING N2O EMISSIONS. FOR MOST MEASURES IT IS IMPOSSIBLE TO DETERMINE THE OVERALL IMPACT ON FARM PROFITABILITY. EFFICIENT CARBON SEQUESTRATION IN AGRICULTURAL SOILS DEMANDS A PERMANENT MANAGEMENT CHANGE AND IMPLEMENTATION CONCEPTS ADJUSTED TO LOCAL SOIL, CLIMATE AND MANAGEMENT FEATURES IN ORDER TO ALLOW SELECTION OF AREAS WITH HIGH CARBON SEQUESTERING POTENTIAL. SOME OF THE PRESENT AGRICULTURAL POLICY SCHEMES HAVE PROBABLY HELPED TO MAINTAIN CARBON STOCKS IN AGRICULTURAL SOILS. (C) 2004 ELSEVIER B.V. ALL RIGHTS RESERVED.","CARBON SEQUESTRATION IN THE AGRICULTURAL SOILS OF EUROPE","GEODERMA","REVIEW","SEP",2004,"10.1016/j.geoderma.2004.01.021","SOIL SCIENCE","WOS:000223108100001"
"2","LIMPENS J, 2008, BIOGEOSCIENCES","LIMPENS J;BERENDSE F;BLODAU C;CANADELL JG;FREEMAN C;HOLDEN J;ROULET N;RYDIN H;SCHAEPMAN-STRUB G","PEATLANDS COVER ONLY 3% OF THE EARTH'S LAND SURFACE BUT BOREAL AND SUBARCTIC PEATLANDS STORE ABOUT 15-30% OF THE WORLD'S SOIL CARBON ( C) AS PEAT. DESPITE THEIR POTENTIAL FOR LARGE POSITIVE FEEDBACKS TO THE CLIMATE SYSTEM THROUGH SEQUESTRATION AND EMISSION OF GREENHOUSE GASES, PEATLANDS ARE NOT EXPLICITLY INCLUDED IN GLOBAL CLIMATE MODELS AND THEREFORE IN PREDICTIONS OF FUTURE CLIMATE CHANGE. IN APRIL 2007 A SYMPOSIUM WAS HELD IN WAGENINGEN, THE NETHERLANDS, TO ADVANCE OUR UNDERSTANDING OF PEATLAND C CYCLING. THIS PAPER SYNTHESIZES THE MAIN FINDINGS OF THE SYMPOSIUM, FOCUSING ON (I) SMALL-SCALE PROCESSES, (II) C FLUXES AT THE LANDSCAPE SCALE, AND (III) PEATLANDS IN THE CONTEXT OF CLIMATE CHANGE. THE MAIN DRIVERS CONTROLLING MOST ARE RELATED TO SOME ASPECTS OF HYDROLOGY. DESPITE HIGH SPATIAL AND ANNUAL VARIABILITY IN NET ECOSYSTEM EXCHANGE ( NEE), THE DIFFERENCES IN CUMULATIVE ANNUAL NEE ARE MORE A FUNCTION OF BROAD SCALE GEOGRAPHIC LOCATION AND PHYSICAL SETTING THAN INTERNAL FACTORS, SUGGESTING THE EXISTENCE OF STRONG FEEDBACKS. IN CONTRAST, TRACE GAS EMISSIONS SEEM MAINLY CONTROLLED BY LOCAL FACTORS. KEY UNCERTAINTIES REMAIN CONCERNING THE EXISTENCE OF PERTURBATION THRESHOLDS, THE RELATIVE STRENGTHS OF THE CO2 AND CH4 FEEDBACK, THE LINKS AMONG PEATLAND SURFACE CLIMATE, HYDROLOGY, ECOSYSTEM STRUCTURE AND FUNCTION, AND TRACE GAS BIOGEOCHEMISTRY AS WELL AS THE SIMILARITY OF PROCESS RATES ACROSS PEATLAND TYPES AND CLIMATIC ZONES. PROGRESS ON THESE RESEARCH AREAS CAN ONLY BE REALIZED BY STRONGER CO-OPERATION BETWEEN DISCIPLINES THAT ADDRESS DIFFERENT SPATIAL AND TEMPORAL SCALES.","PEATLANDS AND THE CARBON CYCLE: FROM LOCAL PROCESSES TO GLOBAL IMPLICATIONS - A SYNTHESIS","BIOGEOSCIENCES","REVIEW",NA,2008,"10.5194/bg-5-1475-2008","ECOLOGY; GEOSCIENCES, MULTIDISCIPLINARY","WOS:000260557000005"
"3","FREY KE, 2009, HYDROL PROCESS","FREY KE;MCCLELLAND JW","OVER THE NEXT CENTURY, NEAR-SURFACE PERMAFROST ACROSS THE CIRCUMPOLAR ARCTIC IS EXPECTED TO DEGRADE SIGNIFICANTLY. PARTICULARLY FOR LAND AREAS SOUTH OF 70 DEGREES N. THIS IS LIKELY TO CAUSE WIDESPREAD IMPACTS ON ARCTIC HYDROLOGY, ECOLOGY, AND TRACE GAS EMISSIONS. HERE. WE PRESENT A REVIEW OF RECENT STUDIES INVESTIGATING LINKAGES BETWEEN PERMAFROST DYNAMICS AND RIVER BIOGEOCHEMISTRY IN THE ARCTIC, INCLUDING CONSIDERATION OF LIKELY IMPACTS THAT WARMING-INDUCED CHANGES IN PERMAFROST MAY BE HAVING (OR WILL HAVE IN THE FUTURE) OIL THE DELIVERY OF ORGANIC MATTER, INORGANIC NUTRIENTS, AND MAJOR IONS TO THE ARCTIC OCEAN. THESE INTERACTING PROCESSES CAN BE HIGHLY COMPLEX AND UNDOUBTEDLY EXHIBIT SPATIAL AND TEMPORAL VARIABILITIES ASSOCIATED WITH CURRENT PERMAFROST CONDITIONS, SENSITIVITY TO PERMAFROST THAW, MODE OF PERMAFROST DEGRADATION (OVERALL PERMAFROST THAW, ACTIVE LAYER DEEPENING, AND/OR THERMOKARST PROCESSES), AND ENVIRONMENTAL CHARACTERISTICS OF WATERSHEDS (E.G. LAND COVER, SOIL TYPE, AND TOPOGRAPHY). ONE OF THE MOST PROFOUND CONSEQUENCES OF PERMAFROST THAW PROJECTED FOR THE FUTURE IS THAT THE ARCTIC TERRESTRIAL FRESHWATER SYSTEM IS LIKELY TO EXPERIENCE A TRANSITION FROM A SURFACE WATER-DOMINATED SYSTEM TO A GROUNDWATER-DOMINATED SYSTEM. ALONG WITH MANY OTHER CASCADING IMPACTS FROM THIS TRANSITION, MINERAL-RICH GROUNDWATER MAY BECOME AN IMPORTANT CONTRIBUTOR TO STREAMFLOW, IN ADDITION TO THE CURRENTLY DOMINANT CONTRIBUTION FROM MINERAL-POOR SURFACE WATER. MOST STUDIES OBSERVE OR PREDICT AN INCREASE IN MAJOR ION, PHOSPHATE, AND SILICATE EXPORT WITH THIS SHIFT TOWARDS GREATER GROUNDWATER CONTRIBUTIONS. HOWEVER, WE SEE CONFLICTING ACCOUNTS OF WHETHER THE DELIVERY OF INORGANIC NITROGEN AND ORGANIC MATTER WILL INCREASE OR DECREASE WITH WARMING AND PERMAFROST THAW. IT IS IMPORTANT TO NOTE THAT UNCERTAINTIES IN THE PREDICTIONS OF THE TOTAL FLUX OF BIOGEOCHEMICAL CONSTITUENTS ARE TIGHTLY LINKED TO FUTURE UNCERTAINTIES IN DISCHARGE OF RIVERS. NONETHELESS, IT IS CLEAR THAT OVER THE NEXT CENTURY THERE WILL BE IMPORTANT SHIFTS IN THE RIVER TRANSPORT OF ORGANIC MATTER, INORGANIC NUTRIENTS, AND MAJOR IONS. WHICH MAY IN TURN HAVE CRITICAL IMPLICATIONS FOR PRIMARY PRODUCTION AND CARBON CYCLING OIL ARCTIC SHELVES AND IN THE ARCTIC OCEAN BASIN INTERIOR. COPYRIGHT (C) 2008 JOHN WILEY & SONS, LTD.","IMPACTS OF PERMAFROST DEGRADATION ON ARCTIC RIVER BIOGEOCHEMISTRY","HYDROLOGICAL PROCESSES","REVIEW","JAN 1",2009,"10.1002/hyp.7196","WATER RESOURCES","WOS:000262397100012"
"4","HOLDEN J, 2004, PROG PHYS GEOG","HOLDEN J;CHAPMAN PJ;LABADZ JC","PEATLANDS HAVE BEEN SUBJECT TO ARTIFICIAL DRAINAGE FOR CENTURIES. THIS DRAINAGE HAS BEEN IN RESPONSE TO AGRICULTURAL DEMAND, FORESTRY, HORTICULTURAL AND ENERGY PROPERTIES OF PEAT AND ALLEVIATION OF FLOOD RISK. HOWEVER, THERE ARE SEVERAL ENVIRONMENTAL PROBLEMS ASSOCIATED WITH DRAINAGE OF PEATLANDS. THIS PAPER DESCRIBES THE NATURE OF THESE PROBLEMS AND EXAMINES THE EVIDENCE FOR CHANGES IN HYDROLOGICAL AND HYDROCHEMICAL PROCESSES ASSOCIATED WITH THESE CHANGES. TRADITIONAL BLACK-BOX WATER BALANCE APPROACHES DEMONSTRATE LITTLE ABOUT WETLAND DYNAMICS AND THEREFORE THE SCIENCE OF CATCHMENT RESPONSE TO PEAT DRAINAGE IS POORLY UNDERSTOOD. IT IS CRUCIAL THAT A MORE PROCESS-BASED APPROACH BE ADOPTED WITHIN PEATLAND ECOSYSTEMS. THE ENVIRONMENTAL PROBLEMS ASSOCIATED WITH PEAT DRAINAGE HAVE LED, IN PART, TO A RECENT REVERSAL IN ATTITUDES TO PEATLANDS AND WE HAVE SEEN A MOVE TOWARDS WETLAND RESTORATION. HOWEVER, A DETAILED UNDERSTANDING OF HYDROLOGICAL, HYDROCHEMICAL AND ECOLOGICAL PROCESS-INTERACTIONS WILL BE FUNDAMENTAL IF WE ARE TO ADEQUATELY RESTORE DEGRADED PEATLANDS, PRESERVE THOSE THAT ARE STILL INTACT AND UNDERSTAND THE IMPACTS OF SUCH MANAGEMENT ACTIONS AT THE CATCHMENT SCALE.","ARTIFICIAL DRAINAGE OF PEATLANDS: HYDROLOGICAL AND HYDROCHEMICAL PROCESS AND WETLAND RESTORATION","PROGRESS IN PHYSICAL GEOGRAPHY-EARTH AND ENVIRONMENT","REVIEW","MAR",2004,"10.1191/0309133304pp403ra","GEOGRAPHY, PHYSICAL; GEOSCIENCES, MULTIDISCIPLINARY","WOS:000189265500004"
"5","AITKENHEAD JA, 2000, GLOBAL BIOGEOCHEM CY","AITKENHEAD JA;MCDOWELL WH","DISSOLVED ORGANIC CARBON (DOC) IS IMPORTANT IN A WIDE VARIETY OF CHEMICAL, PHYSICAL, AND BIOLOGICAL PROCESSES IN SURFACE WATERS. WE EXAMINED THE RELATIONSHIP BETWEEN DOC FLUX AND SOIL C:N RATIO ON A BIOME BASIS. DOC FLUXES FOR 164 RIVERS WERE SUBDIVIDED INTO 15 BIOME TYPES INCLUDING TROPICAL RAIN FOREST, CONIFEROUS FORESTS, PEATLAND, DECIDUOUS FORESTS, MIXED FORESTS, AND GRASSLANDS. A DATABASE OF SOIL C:N RATIOS WAS CONSTRUCTED AND SUBDIVIDED INTO BIOME TYPES. AT A GLOBAL SCALE, MEAN SOIL C:N RATIO OF A BIOME ACCOUNTS FOR 99.2% OF THE VARIANCE IN ANNUAL RIVERINE DOC FLUX AMONG BIOMES, THE RELATIONSHIP BETWEEN SOIL C:N RATIO AND DOC FLUX AT THE BIOME SCALE WAS USED TO PREDICT ANNUAL RIVERINE DOC FLUX AT THE WATERSHED SCALE FOR THREE TEST WATERSHEDS NOT INCLUDED IN THE ORIGINAL MODEL. PREDICTED FLUX OF EACH WATERSHED WAS WITHIN 4.5% OF THE ACTUAL DOC FLUX. USING THE C:N MODEL, WE ESTIMATED THE TOTAL EXPORT OF CARBON FROM LAND TO THE OCEANS TO BE 3.6 X 10(14) G YR(-1). THIS EMPIRICAL MODEL SHOULD BE USEFUL IN PREDICTING CHANGES IN DOC FLUX UNDER CHANGING CLIMATIC CONDITIONS.","SOIL C : N RATIO AS A PREDICTOR OF ANNUAL RIVERINE DOC FLUX AT LOCAL AND GLOBAL SCALES","GLOBAL BIOGEOCHEMICAL CYCLES","REVIEW","MAR",2000,"10.1029/1999GB900083","ENVIRONMENTAL SCIENCES; GEOSCIENCES, MULTIDISCIPLINARY; METEOROLOGY & ATMOSPHERIC SCIENCES","WOS:000085808900011"
"6","KAYRANLI B, 2010, WETLANDS","KAYRANLI B;SCHOLZ M;MUSTAFA A;HEDMARK A","WE CRITICALLY REVIEW RECENT LITERATURE ON CARBON STORAGE AND FLUXES WITHIN NATURAL AND CONSTRUCTED FRESHWATER WETLANDS, AND SPECIFICALLY ADDRESS CONCERNS OF READERS WORKING IN APPLIED SCIENCE AND ENGINEERING. OUR PURPOSE IS TO REVIEW AND ASSESS THE DISTRIBUTION AND CONVERSION OF CARBON IN THE WATER ENVIRONMENT, PARTICULARLY WITHIN WETLAND SYSTEMS. A KEY AIM IS TO ASSESS IF WETLANDS ARE CARBON SINKS OR SOURCES. CARBON SEQUESTRATION AND FLUXES IN NATURAL AND CONSTRUCTED WETLANDS LOCATED AROUND THE WORLD HAS BEEN ASSESSED. ALL FACETS OF CARBON (SOLID AND GASEOUS FORMS) HAVE BEEN COVERED. WE DRAW CONCLUSIONS BASED ON THESE STUDIES. FINDINGS INDICATE THAT WETLANDS CAN BE BOTH SOURCES AND SINKS OF CARBON, DEPENDING ON THEIR AGE, OPERATION, AND THE ENVIRONMENTAL BOUNDARY CONDITIONS SUCH AS LOCATION AND CLIMATE. SUGGESTIONS FOR FURTHER RESEARCH NEEDS IN THE AREA OF CARBON STORAGE IN WETLAND SEDIMENTS ARE OUTLINED TO FACILITATE THE UNDERSTANDING OF THE PROCESSES OF CARBON STORAGE AND REMOVAL AND ALSO THE FACTORS THAT INFLUENCE THEM.","CARBON STORAGE AND FLUXES WITHIN FRESHWATER WETLANDS: A CRITICAL REVIEW","WETLANDS","REVIEW","FEB",2010,"10.1007/s13157-009-0003-4","ECOLOGY; ENVIRONMENTAL SCIENCES","WOS:000275642500010"
"7","BELYEA LR, 2006, ECOL MONOGR","BELYEA LR;BAIRD AJ","THE POSTGLACIAL DEVELOPMENT OF PEATLAND SYSTEMS HAS HAD A STRONG INFLUENCE ON THE GLOBAL CARBON CYCLE. PEATLAND EFFECTS ON CARBON CYCLING INVOLVE CHANGES IN BOTH LARGE-SCALE STRUCTURE AND COMMUNITY COMPOSITION. THE RATE OF C SEQUESTRATION DECLINES AS A PEAT DEPOSIT GROWS, AND METHANE EMISSION INCREASES AS WET MICROHABITATS EXPAND IN AREA. WE EXAMINE THE THEORETICAL BASIS, UNDERLYING ASSUMPTIONS, AND EMPIRICAL EVIDENCE FOR TWO HIGHLY INFLUENTIAL MODELS OF PEATLAND FORM AND DEVELOPMENT: CLYMO'S BOG GROWTH MODEL (BGM) AND INGRAM'S GROUNDWATER MOUND HYPOTHESIS (GMH). OUR DETAILED THEORETICAL ANALYSIS REVEALS PREVIOUSLY UNRECOGNIZED CONSEQUENCES OF THE MODELS AND, FOR THE BGM, UNREALISTICALLY STRINGENT CONDITIONS FOR APPLICATION. OUR REVIEW OF MODEL ASSUMPTIONS AND EMPIRICAL EVIDENCE IDENTIFIES THE PRINCIPAL LIMITATIONS OF THESE MODELS: THEY IGNORE SPATIAL HETEROGENEITY IN PEATLAND STRUCTURE AND FUNCTION, FAST PROCESSES OCCURRING NEAR THE PEATLAND SURFACE, AND INTERACTIONS BETWEEN PEAT ACCUMULATION AND HYDROLOGICAL CONDITIONS. AS A RESULT, THESE MODELS ARE UNABLE TO PREDICT THE EFFECTS OF BOG GROWTH ON HYDROLOGICAL CONDITIONS OR PEAT-FORMING PROCESSES. WE INTRODUCE FIVE CONCEPTUAL MODELS OF PEATLAND DEVELOPMENT THAT DIFFER IN HOW BOG SIZE AND SHAPE CHANGE OVER TIME, AND WE EXAMINE THE CONSEQUENCES OF EACH MODEL FOR HYDROLOGICAL CONDITIONS. THIS EXERCISE SHOWS HOW BOG HEIGHT GROWTH AND LATERAL EXPANSION CHANGE THE BOUNDARY CONDITIONS CONSTRAINING PEATLAND DYNAMICS, AND SO DETERMINE THE DIRECTION OF ECOSYSTEM DEVELOPMENT. WE LINK PEATLAND PROPERTIES TO THE FOUR GENERAL PROPERTIES OF ''COMPLEX ADAPTIVE SYSTEMS'' (CAS): SPATIAL HETEROGENEITY, LOCALIZED FLOWS, SELF-ORGANIZING STRUCTURE AND NONLINEARITY. WE ALSO PRESENT A FRAMEWORK FOR MODELING PEATLANDS AS CAS. IN THIS FRAMEWORK, THE SYSTEM IS DISAGGREGATED, BOTH VERTICALLY AND HORIZONTALLY, INTO A SET OF COMPONENTS THAT INTERACT LOCALLY THROUGH FLOWS OF ENERGY AND RESOURCES. BOTH INTERNAL DYNAMICS AND EXTERNAL FORCING DRIVE CHANGES IN HYDROLOGICAL CONDITIONS AND MICROHABITAT PATTERN, AND THESE AUTOGENIC AND ALLOGENIC CHANGES IN PEATLAND STRUCTURE AFFECT HYDROLOGICAL PROCESSES, WHICH, IN TURN, CONSTRAIN PEATLAND DEVELOPMENT AND CARBON CYCLING. WE CONCLUDE BY OUTLINING FOUR AREAS IN WHICH FURTHER EMPIRICAL RESEARCH IS URGENTLY NEEDED.","BEYOND ""THE LIMITS TO PEAT BOG GROWTH'': CROSS-SCALE FEEDBACK IN PEATLAND DEVELOPMENT","ECOLOGICAL MONOGRAPHS","REVIEW","AUG",2006,"10.1890/0012-9615(2006)076[0299:BTLTPB]2.0.CO;2","ECOLOGY","WOS:000239845400001"
"8","FROLKING S, 2011, ENVIRON REV","FROLKING S;TALBOT J;JONES MC;TREAT CC;KAUFFMAN JB;TUITTILA ES;ROULET N","PEATLANDS OCCUPY A RELATIVELY SMALL FRACTION OF THE EARTH'S LAND AREA, BUT THEY ARE A GLOBALLY IMPORTANT CARBON STORE BECAUSE OF THEIR HIGH CARBON DENSITY. UNDISTURBED PEATLANDS ARE CURRENTLY A WEAK CARBON SINK (SIMILAR TO 0.1 PG C Y(-1)), A MODERATE SOURCE OF METHANE (CH4; SIMILAR TO 0.03 PG CH4 Y(-1)), AND A VERY WEAK SOURCE OF NITROUS OXIDE (N2O; SIMILAR TO 0.00002 PG N2O-N Y(-1)). ANTHROPOGENIC DISTURBANCE, PRIMARILY AGRICULTURE AND FORESTRY DRAINAGE (10%-20% OF GLOBAL PEATLANDS), RESULTS IN NET CO2 EMISSIONS, REDUCED CH4 EMISSIONS, AND INCREASED N2O EMISSIONS. THIS LIKELY CHANGES THE GLOBAL PEATLAND GREENHOUSE GAS BALANCE TO A C SOURCE (SIMILAR TO 0.1 PG C Y(-1)), A 10% SMALLER CH4 SOURCE, AND A LARGER (BUT STILL SMALL) N2O SOURCE (SIMILAR TO 0.0004 PG N2O-N Y(-1)). THERE IS NO STRONG EVIDENCE THAT PEATLANDS SIGNIFICANTLY CONTRIBUTED TO 20TH CENTURY CHANGES IN THE ATMOSPHERIC BURDEN OF CO2, CH4, OR N2O; WILL THIS PICTURE CHANGE IN THE 21ST CENTURY? A REVIEW OF EXPERIMENTAL AND OBSERVATIONAL STUDIES OF PEATLAND DYNAMICS INDICATES THAT THE MAIN GLOBAL CHANGE IMPACTS ON PEATLANDS THAT MAY HAVE SIGNIFICANT CLIMATE IMPACTS ARE (1) DRAINAGE, ESPECIALLY IN THE TROPICS; (2) WIDESPREAD PERMAFROST THAW; AND (3) INCREASED FIRE INTENSITY AND FREQUENCY AS A RESULT OF DRIER CLIMATIC CONDITIONS AND (OR) DRAINAGE. QUANTITATIVE ESTIMATES OF GLOBAL CHANGE IMPACTS ARE LIMITED BY THE SPARSE FIELD DATA (PARTICULARLY IN THE TROPICS), THE LARGE VARIABILITY PRESENT IN EXISTING DATA, UNCERTAINTIES IN THE FUTURE TRAJECTORY OF PEATLAND USE, INTERACTIVE EFFECTS OF INDIVIDUAL IMPACTS, AND THE UNPRECEDENTED RATES OF CLIMATE CHANGE EXPECTED IN THE 21ST CENTURY.","PEATLANDS IN THE EARTH'S 21ST CENTURY CLIMATE SYSTEM","ENVIRONMENTAL REVIEWS","REVIEW",NA,2011,"10.1139/A11-014","ENVIRONMENTAL SCIENCES","WOS:000297028000018"
"9","HOLDEN J, 2007, EARTH-SCI REV","HOLDEN J;SHOTBOLT L;BONN A;BURT TP;CHAPMAN PJ;DOUGILL AJ;FRASER EDG;HUBACEK K;IRVINE B;KIRKBY MJ;REED MS;PRELL C;STAGL S;STRINGER LC;TURNER A;WORRALL F","MOORLANDS ARE UNIQUE ENVIRONMENTS FOUND IN UPLANDS OF THE TEMPERATE ZONE INCLUDING IN THE UK, NEW ZEALAND AND IRELAND, AND IN SORNE HIGH ALTITUDE TROPICAL ZONES SUCH AS THE ANDEAN PARAMOS. MANY HAVE BEEN MANAGED THROUGH GRAZING, BURNING OR DRAINAGE PRACTICES. HOWEVER, THERE ARE A NUMBER OF OTHER ENVIRONMENTAL AND SOCIAL FACTORS THAT ARE LIKELY TO DRIVE CHANGES IN MANAGEMENT PRACTICE OVER THE NEXT FEW DECADES. SOME MOORLANDS HAVE BEEN SEVERELY DEGRADED AND IN SOME COUNTRIES CONSERVATION AND RESTORATION SCHEMES ARE BEING ATTEMPTED, PARTICULARLY TO REVEGETATE BARE SOILS. NATIVE OR NON-NATIVE WOODLAND PLANTING MAY INCREASE IN SOME MOORLAND ENVIRONMENTS WHILE ATMOSPHERIC DEPOSITION OF MANY POLLUTANTS MAY ALSO VARY. MOORLAND ENVIRONMENTS ARE VERY SENSITIVE TO CHANGES IN MANAGEMENT, CLIMATE OR POLLUTION. THIS PAPER REVIEWS HOW ENVIRONMENTAL MANAGEMENT CHANGE, SUCH AS CHANGES IN GRAZING OR BURNING PRACTICES, MAY IMPACT UPON MOORLAND PROCESSES BASED ON EXISTING SCIENTIFIC UNDERSTANDING. IT ALSO REVIEWS THE IMPACTS OF CHANGES IN CLIMATE AND ATMOSPHERIC DEPOSITION CHEMISTRY. THE PAPER FOCUSES ON THE UK MOORLANDS AS A CASE STUDY OF MOORLAND LANDSCAPES THAT ARE IN DIFFERENT STATES OF DEGRADATION. FUTURE RESEARCH THAT IS REQUIRED TO IMPROVE OUR UNDERSTANDING OF MOORLAND PROCESSES IS OUTLINED. THE PAPER SHOWS THAT THERE IS A NEED FOR MORE HOLISTIC AND SPATIAL APPROACHES TO UNDERSTANDING MOORLAND PROCESSES AND MANAGEMENT. THERE IS ALSO A NEED TO DEVELOP APPROACHES THAT COMBINE UNDERSTANDING OF INTERLINKED SOCIAL AND NATURAL PROCESSES. (C) 2007 ELSEVIER B.V. ALL RIGHTS RESERVED.","ENVIRONMENTAL CHANGE IN MOORLAND LANDSCAPES","EARTH-SCIENCE REVIEWS","REVIEW","MAY",2007,"10.1016/j.earscirev.2007.01.003","GEOSCIENCES, MULTIDISCIPLINARY","WOS:000246748800003"
"10","KALBITZ K, 2008, J PLANT NUTR SOIL SC","KALBITZ K;KAISER K","DISSOLVED ORGANIC MATTER (DOM) IS OFTEN CONSIDERED THE MOST LABILE PORTION OF ORGANIC MATTER IN SOIL AND TO BE NEGLIGIBLE WITH RESPECT TO THE ACCUMULATION OF SOIL C. IN THIS SHORT REVIEW, WE PRESENT RECENT EVIDENCE THAT THIS VIEW IS INVALID. THE STABILITY OF DOM FROM FOREST FLOOR HORIZONS, PEATS, AND TOPSOILS AGAINST MICROBIAL DEGRADATION INCREASES WITH ADVANCED DECOMPOSITION OF THE PARENT ORGANIC MATTER (OM). AROMATIC COMPOUNDS, DERIVING FROM LIGNIN, LIKELY ARE THE MOST STABLE COMPONENTS OF DOM WHILE PLANT-DERIVED CARBOHYDRATES SEEM EASILY DEGRADABLE. CARBOHYDRATES AND N-RICH COMPOUNDS OF MICROBIAL ORIGIN PRODUCED DURING THE DEGRADATION OF DOM CAN BE RELATIVELY STABLE. SUCH COMPONENTS CONTRIBUTE MUCH TO DOM IN THE MINERAL SUBSOIL. SORPTION OF DOM TO SOIL MINERALS AND (CO-)PRECIPITATION WITH AL (AND PROBABLY ALSO WITH FE), ESPECIALLY OF THE INHERENTLY STABLE AROMATIC MOIETIES, RESULT IN DISTINCT STABILIZATION. IN LABORATORY INCUBATION EXPERIMENTS, THE MEAN RESIDENCE TIME OF DOM FROM THE OA HORIZON OF A HAPLIC PODZOL INCREASED FROM <30 Y IN SOLUTION TO >90 Y AFTER SORPTION TO A SUBSOIL. WE COMBINED DOM FLUXES AND MINERALIZATION RATE CONSTANTS FOR DOM SORBED TO MINERALS AND A SUBSOIL HORIZON, AND (CO-) PRECIPITATED WITH AL TO ESTIMATE THE POTENTIAL CONTRIBUTION OF DOM TO TOTAL C IN THE MINERAL SOIL OF A HAPLIC PODZOL IN GERMANY. THE CONTRIBUTION OF ROOTS TO DOM WAS NOT CONSIDERED BECAUSE OF LACK OF DATA. THE DOM-DERIVED SOIL C RANGES FROM 20 TO 55 MG HA(-1) IN THE MINERAL SOIL, WHICH REPRESENTS 19%-50% OF THE TOTAL SOIL C. THE VARIATION OF THE ESTIMATE REFLECTS THE VARIATION IN MINERALIZATION RATE CONSTANTS OBTAINED FOR SORBED AND (CO-) PRECIPITATED DOM. NEVERTHELESS, THE ESTIMATES INDICATE THAT DOM CONTRIBUTES SIGNIFICANTLY TO THE ACCUMULATION OF STABLE OM IN SOIL. A MORE PRECISE ESTIMATION OF DOM-DERIVED C IN SOILS REQUIRES MINERALIZATION RATE CONSTANTS FOR DOM SORBED TO ALL RELEVANT MINERALS OR (CO-)PRECIPITATED WITH FE. ADDITIONALLY, WE NEED INFORMATION ON THE CONTRIBUTION OF SORPTION TO DISTINCT MINERALS AS WELL AS OF (CO-)PRECIPITATION WITH AL AND FE TO DOM RETENTION.","CONTRIBUTION OF DISSOLVED ORGANIC MATTER TO CARBON STORAGE IN FOREST MINERAL SOILS","JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE","REVIEW","FEB",2008,"10.1002/jpln.200700043","AGRONOMY; PLANT SCIENCES; SOIL SCIENCE","WOS:000253431000005"
