"","Short_name","Authors","Abstract","Title","Source","DocumentType","PubDate","PubYear","DoI","WoSCat","WoSID"
"1","WILSON RM, 2016, NAT COMMUN","WILSON RM;HOPPLE AM;TFAILY MM;SEBESTYEN SD;SCHADT CW;PFEIFER-MEISTER L;MEDVEDEFF C;MCFARLANE KJ;KOSTKA JE;KOLTON M;KOLKA RK;KLUBER LA;KELLER JK;GUILDERSON TP;GRIFFITHS NA;CHANTON JP;BRIDGHAM SD;HANSON PJ","PEATLANDS CONTAIN ONE-THIRD OF SOIL CARBON (C), MOSTLY BURIED IN DEEP, SATURATED ANOXIC ZONES (CATOTELM). THE RESPONSE OF CATOTELM C TO CLIMATE FORCING IS UNCERTAIN, BECAUSE PRIOR EXPERIMENTS HAVE FOCUSED ON SURFACE WARMING. WE SHOW THAT DEEP PEAT HEATING OF A 2 M-THICK PEAT COLUMN RESULTS IN AN EXPONENTIAL INCREASE IN CH4 EMISSIONS. HOWEVER, THIS RESPONSE IS DUE SOLELY TO SURFACE PROCESSES AND NOT DEGRADATION OF CATOTELM PEAT. INCUBATIONS SHOW THAT ONLY THE TOP 20-30 CM OF PEAT FROM EXPERIMENTAL PLOTS HAVE HIGHER CH4 PRODUCTION RATES AT ELEVATED TEMPERATURES. RADIOCARBON ANALYSES DEMONSTRATE THAT CH4 AND CO2 ARE PRODUCED PRIMARILY FROM DECOMPOSITION OF SURFACE-DERIVED MODERN PHOTOSYNTHATE, NOT CATOTELM C. THERE ARE NO DIFFERENCES IN MICROBIAL ABUNDANCES, DISSOLVED ORGANIC MATTER CONCENTRATIONS OR DEGRADATIVE ENZYME ACTIVITIES AMONG TREATMENTS. THESE RESULTS SUGGEST THAT ALTHOUGH SURFACE PEAT WILL RESPOND TO INCREASING TEMPERATURE, THE LARGE RESERVOIR OF CATOTELM C IS STABLE UNDER CURRENT ANOXIC CONDITIONS.","STABILITY OF PEATLAND CARBON TO RISING TEMPERATURES","NATURE COMMUNICATIONS","ARTICLE","DEC 13",2016,"10.1038/ncomms13723","MULTIDISCIPLINARY SCIENCES","WOS:000389626800001"
"2","HAUSMANN B, 2016, ISME J","HAUSMANN B;KNORR KH;SCHRECK K;TRINGE SG;DEL RIO TG;LOY A;PESTER M","DISSIMILATORY SULFATE REDUCTION IN PEATLANDS IS SUSTAINED BY A CRYPTIC SULFUR CYCLE AND EFFECTIVELY COMPETES WITH METHANOGENIC DEGRADATION PATHWAYS. IN A SERIES OF PEAT SOIL MICROCOSMS INCUBATED OVER 50 DAYS, WE IDENTIFIED BACTERIAL CONSORTIA THAT RESPONDED TO SMALL, PERIODIC ADDITIONS OF INDIVIDUAL FERMENTATION PRODUCTS (FORMATE, ACETATE, PROPIONATE, LACTATE OR BUTYRATE) IN THE PRESENCE OR ABSENCE OF SULFATE. UNDER SULFATE SUPPLEMENTATION, NET SULFATE TURNOVER (ST) STEADILY INCREASED TO 16-174 NMOL CM(-3) PER DAY AND ALMOST COMPLETELY BLOCKED METHANOGENESIS. 16S RRNA GENE AND CDNA AMPLICON SEQUENCING IDENTIFIED MICROORGANISMS WHOSE INCREASES IN RIBOSOME NUMBERS STRONGLY CORRELATED TO ST. NATIVELY ABUNDANT (>= 0.1% ESTIMATED GENOME ABUNDANCE) SPECIES-LEVEL OPERATIONAL TAXONOMIC UNITS (OTUS) SHOWED NO SIGNIFICANT RESPONSE TO SULFATE. IN CONTRAST, LOW-ABUNDANCE OTUS RESPONDED SIGNIFICANTLY TO SULFATE IN INCUBATIONS WITH PROPIONATE, LACTATE AND BUTYRATE. THESE OTUS INCLUDED MEMBERS OF RECOGNIZED SULFATE-REDUCING TAXA (DESULFOSPOROSINUS, DESULFOPILA, DESULFOMONILE, DESULFOVIBRIO) AND ALSO MEMBERS OF TAXA THAT ARE EITHER YET UNKNOWN SULFATE REDUCERS OR METABOLIC INTERACTION PARTNERS THEREOF. MOST RESPONSIVE OTUS MARKEDLY INCREASED THEIR RIBOSOME CONTENT BUT ONLY WEAKLY INCREASED IN ABUNDANCE. RESPONSIVE DESULFOSPOROSINUS OTUS EVEN MAINTAINED A CONSTANTLY LOW POPULATION SIZE THROUGHOUT 50 DAYS, WHICH SUGGESTS A NOVEL STRATEGY OF RARE BIOSPHERE MEMBERS TO DISPLAY ACTIVITY. INTERESTINGLY, TWO OTUS OF THE NON-SULFATE-REDUCING GENUS TELMATOSPIRILLUM (ALPHAPRO-TEOBACTERIA) SHOWED STRONGLY CONTRASTING PREFERENCES TOWARDS SULFATE IN BUTYRATE-AMENDED MICROCOSMS, CORROBORATING THAT CLOSELY RELATED MICROORGANISMS ARE NOT NECESSARILY ECOLOGICALLY COHERENT. WE SHOW THAT DIVERSE CONSORTIA OF LOW-ABUNDANCE MICROORGANISMS CAN PERFORM PEAT SOIL SULFATE REDUCTION, A PROCESS THAT EXERTS CONTROL ON METHANE PRODUCTION IN THESE CLIMATE-RELEVANT ECOSYSTEMS.","CONSORTIA OF LOW-ABUNDANCE BACTERIA DRIVE SULFATE REDUCTION-DEPENDENT DEGRADATION OF FERMENTATION PRODUCTS IN PEAT SOIL MICROCOSMS","ISME JOURNAL","ARTICLE","OCT",2016,"10.1038/ismej.2016.42","ECOLOGY; MICROBIOLOGY","WOS:000387035400003"
"3","YANG JL, 2016, J ANAL APPL PYROL","YANG JL;CHEN HX;ZHAO WT;ZHOU JJ","THERMAL CHARACTERISTICS AND GAS COMPOSITIONS DURING PEAT PYROLYSIS UNDER HELIUM ATMOSPHERE WERE INVESTIGATED USING THE TG-FTIR-MS COUPLING TECHNIQUE. THE MAJORITY OF GAS PRODUCTS WERE RELEASED DURING THE DECOMPOSITION TEMPERATURE OF 150-550 DEGREES C, RESULTING IN ABOUT 60% MASS LOSS OF PEAT. THE MAIN GAS SPECIES DETECTED DURING 150-400 DEGREES C WERE CO2, CO, CH4, C2H6, HCOOH, CH3CH2COOH, C4H8 AND CH2CHCHO. FROM 400 DEGREES C TO 550 DEGREES C, SOME AROMATIC HYDROCARBONS WERE IDENTIFIED, INCLUDING BENZALDEHYDE, PHENOL, BENZOIC ACID AND TOLUENE. THE RELEASE OF CO2, CO, CH4 AND SOME AROMATIC HYDROCARBONS OVER 550 DEGREES C PROVIDED THE EVIDENCE OF CHAR PYROLYSIS. A FIVE-STEP PYROLYSIS SCHEME INCLUDING WATER EVAPORATION, HEMICELLULOSE, CELLULOSE AND LIGNIN DEGRADATION, AND CHAR PYROLYSIS WAS USED TO SIMULATE PEAT DECOMPOSITION PROCESS IN INERT ATMOSPHERE. THE WELL AGREEMENT BETWEEN THE CALCULATED AND EXPERIMENTAL CURVES INDICATED THAT MAJOR ALIPHATIC GASES WERE DERIVED FROM HEMICELLULOSE AND CELLULOSE PYROLYSIS, WHILE AROMATIC HYDROCARBONS WERE MAINLY FROM LIGNIN AND CHAR PYROLYSIS. THIS WORK PROVIDES A DEEP INSIGHT INTO THE UTILIZATION OF PEAT FOR GASEOUS BIOFUELS. (C) 2015 ELSEVIER B.V. ALL RIGHTS RESERVED.","TG-FTIR-MS STUDY OF PYROLYSIS PRODUCTS EVOLVING FROM PEAT","JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS","ARTICLE","JAN",2016,"10.1016/j.jaap.2015.11.002","CHEMISTRY, ANALYTICAL; ENERGY & FUELS; ENGINEERING, CHEMICAL","WOS:000370105000034"
"4","DUNBAR E, 2016, RADIOCARBON","DUNBAR E;COOK GT;NAYSMITH P;TRIPNEY BG;XU S","THIS PAPER DESCRIBES ALL THE MAJOR PROCEDURES ADOPTED BY THE SCOTTISH UNIVERSITIES ENVIRONMENTAL RESEARCH CENTRE (SUERC) RADIOCARBON DATING LABORATORY. THIS INCLUDES SAMPLE PRETREATMENT, GRAPHITE PRODUCTION, ACCELERATOR MASS SPECTROMETRY (AMS) MEASUREMENT, ASSOCIATED STABLE ISOTOPE MEASUREMENTS, DATA HANDLING, AND AGE CALCULATIONS, BUT WITH THE MAIN EMPHASIS BEING ON THE CHEMICAL PRETREATMENT METHODS. ALL OF THE ABOVE ENABLE THE LABORATORY TO PROVIDE A COMPLETE ANALYTICAL SERVICE COMPRISING ADVICE ON SAMPLE SELECTION, PREPARATION AND ANALYSIS OF SAMPLES, AND BAYESIAN ANALYSIS OF RESULTING C-14 (AND OTHER) DATA. THIS APPLIES TO BOTH OUR RESEARCH AND COMMERCIAL ACTIVITIES. THE PRETREATMENT METHODS THAT WE MAINLY FOCUS ON ARE USED TO REMOVE CONTAMINANT CARBON FROM A RANGE OF SAMPLE TYPES OR TO ISOLATE A PARTICULAR CHEMICAL FRACTION FROM A SAMPLE PRIOR TO COMBUSTION/HYDROLYSIS, GRAPHITIZATION, AND SUBSEQUENT AMS C-14 MEASUREMENT. THE METHODS DESCRIBED ARE FOR BONE (COLLAGEN EXTRACTION, WITH AND WITHOUT ULTRAFILTRATION), CREMATED BONE, TOOTH ENAMEL, CHARCOAL, GRAIN, CARBON RESIDUES, SHELL, WOOD (INCLUDING ALPHA-CELLULOSE ISOLATION), PEAT, SEDIMENTS, TEXTILES, FUEL/BIOFUEL, AND FORENSIC SAMPLES.","AMS C-14 DATING AT THE SCOTTISH UNIVERSITIES ENVIRONMENTAL RESEARCH CENTRE (SUERC) RADIOCARBON DATING LABORATORY","RADIOCARBON","ARTICLE","MAR",2016,"10.1017/RDC.2015.2","GEOCHEMISTRY & GEOPHYSICS","WOS:000372829700004"
"5","LAW A, 2017, SCI TOTAL ENVIRON","LAW A;GAYWOOD MJ;JONES KC;RAMSAY P;WILLBY NJ","POTENTIAL FOR HABITAT RESTORATION IS INCREASINGLY USED AS AN ARGUMENT FOR REINTRODUCING ECOSYSTEM ENGINEERS. BEAVER HAVE WELL KNOWN EFFECTS ON HYDROMORPHOLOGY THROUGH DAM CONSTRUCTION, BUT THEIR SCOPE TO RESTORE WETLAND BIODIVERSITY IN AREAS DEGRADED BY AGRICULTURE IS LARGELY INFERRED. OUR STUDY PRESENTS THE FIRST FORMAL MONITORING OF A PLANNED BEAVER-ASSISTED RESTORATION, FOCUSSING ON CHANGES IN VEGETATION OVER 12 YEARS WITHIN AN AGRICULTURALLY-DEGRADED FEN FOLLOWING BEAVER RELEASE, BASED ON REPEATED SAMPLING OF FIXED PLOTS. EFFECTS ARE COMPARED TO UNGRAZED EXCLOSURES WHICH ALLOWED THE WIDER INFLUENCE OF WATERLOGGING TO BE SEPARATED FROM DISTURBANCE THROUGH TREE FELLING AND HERBIVORY. AFTER 12 YEARS OF BEAVER PRESENCE MEAN PLANT SPECIES RICHNESS HAD INCREASED ON AVERAGE BY 46% PER PLOT, WHILST THE CUMULATIVE NUMBER OF SPECIES RECORDED INCREASED ON AVERAGE BY 148%. HETEROGENEITY, MEASURED BY DISSIMILARITY OF PLOT COMPOSITION, INCREASED ON AVERAGE BY 71%. PLANTS ASSOCIATED WITH HIGH MOISTURE AND LIGHT CONDITIONS INCREASED SIGNIFICANTLY IN COVERAGE, WHEREAS SPECIES INDICATIVE OF HIGH NITROGEN DECREASED. AREAS EXPOSED TO BOTH GRAZING AND WATERLOGGING GENERALLY SHOWED THE MOST PRONOUNCED CHANGE IN COMPOSITION, WITH EFFECTS OF GRAZING SEEMINGLY ADDITIVE, BUT SECONDARY, TO THOSE OF WATERLOGGING. OUR STUDY ILLUSTRATES THAT A WELL-KNOWN ECOSYSTEM ENGINEER, THE BEAVER, CAN WITH TIME TRANSFORM AGRICULTURAL LAND INTO A COMPARATIVELY SPECIES-RICH AND HETEROGENEOUS WETLAND ENVIRONMENT, THUS MEETING COMMON RESTORATION OBJECTIVES. THIS OFFERS A PASSIVE BUT INNOVATIVE SOLUTION TO THE PROBLEMS OF WETLAND HABITAT LOSS THAT COMPLEMENTS THE VALUE OF BEAVERS FOR WATER OR SEDIMENT STORAGE AND FLOW ATTENUATION. THE ROLE OF LARGER HERBIVORES HAS BEEN SIGNIFICANTLY OVERLOOKED IN OUR UNDERSTANDING OF FRESHWATER ECOSYSTEM FUNCTION; THE USE OF SUCH SPECIES MAY YET EMERGE AS THE MISSING INGREDIENT IN SUCCESSFUL RESTORATION. (C) 2017 THE AUTHORS. PUBLISHED BY ELSEVIER B.V.","USING ECOSYSTEM ENGINEERS AS TOOLS IN HABITAT RESTORATION AND REWILDING: BEAVER AND WETLANDS","SCIENCE OF THE TOTAL ENVIRONMENT","ARTICLE","DEC 15",2017,"10.1016/j.scitotenv.2017.06.173","ENVIRONMENTAL SCIENCES","WOS:000408275500105"
"6","YOU XF, 2019, SEP PURIF TECHNOL","YOU XF;HE M;ZHU XC;WEI HB;CAO XQ;WANG P;LI L","EXPERIMENTAL METHOD AND MOLECULAR DYNAMICS (MD) SIMULATIONS WERE USED TO INVESTIGATE THE FILTRATION DEWATERING PROCESS OF BROWN COAL IN THE PRESENCE OF THE SURFACTANT TRITON X-100 (TX-100). A SIGNIFICANT REDUCTION IN FILTER CAKE MOISTURE CONTENT WAS OBSERVED UPON ADDITION OF TX-100 IN THE DEWATERING EXPERIMENTS. IT WAS OBSERVED THAT A NARROW TX-100 CONCENTRATION RANGE OF BELOW THE CRITICAL MICELLE CONCENTRATION (CMC) WAS BEST FOR DEWATERING. THE ENHANCEMENT IN FILTRATION DEWATERING CHARACTERISTICS COULD BE ATTRIBUTED TO THE WETTING CHARACTERISTIC CHANGES OF THE BROWN COAL SURFACE CAUSED BY SURFACTANT ADSORPTION, AS INDICATED BY MEASUREMENT OF CONTACT ANGLES. MONOLAYER ADSORPTION OF TX-100 AT THE LIGNITE SURFACE WAS INVESTIGATED BY MD SIMULATIONS. THE TX-100 MOLECULES REPELLED WATER MOLECULES NEAR THE COAL SURFACE AND ADSORBED AT THE WATER-LIGNITE INTERFACE WITH THE ETHOXYLATE CLOSER TO THE COAL SURFACE THAN THE OCTYLPHENOL. THE MOBILITY OF WATER MOLECULES WAS ENHANCED IN PRESENCE OF TX-100 ACCORDING TO THE RESULTS OF MEAN SQUARE DISPLACEMENT (MSD) AND DIFFUSION COEFFICIENT. IT WAS INFERRED THAT ADSORPTION OF TX-100 RESULTED IN A MORE HYDROPHOBIC BROWN COAL SURFACE, IN AGREEMENT WITH THE DEWATERING AND CONTACT ANGLE EXPERIMENTS.","INFLUENCE OF SURFACTANT FOR IMPROVING DEWATERING OF BROWN COAL: A COMPARATIVE EXPERIMENTAL AND MD SIMULATION STUDY","SEPARATION AND PURIFICATION TECHNOLOGY","ARTICLE","FEB 8",2019,"10.1016/j.seppur.2018.08.020","ENGINEERING, CHEMICAL","WOS:000449132900051"
"7","HUGELIUS G, 2020, P NATL ACAD SCI USA","HUGELIUS G;LOISEL J;CHADBURN S;JACKSON RB;JONES M;MACDONALD G;MARUSHCHAK M;OLEFELDT D;PACKALEN M;SIEWERT MB;TREAT C;TURETSKY M;VOIGT C;YU ZC","NORTHERN PEATLANDS HAVE ACCUMULATED LARGE STOCKS OF ORGANIC CARBON (C) AND NITROGEN (N), BUT THEIR SPATIAL DISTRIBUTION AND VULNERABILITY TO CLIMATE WARMING REMAIN UNCERTAIN. HERE, WE USED MACHINE-LEARNING TECHNIQUES WITH EXTENSIVE PEAT CORE DATA (N > 7,000) TO CREATE OBSERVATION-BASED MAPS OF NORTHERN PEATLAND C AND N STOCKS, AND TO ASSESS THEIR RESPONSE TO WARMING AND PERMAFROST THAW. WE ESTIMATE THAT NORTHERN PEATLANDS COVER 3.7 +/- 0.5 MILLION KM(2) AND STORE 415 +/- 150 PG C AND 10 +/- 7 PG N. NEARLY HALF OF THE PEATLAND AREA AND PEAT C STOCKS ARE PERMAFROST AFFECTED. USING MODELED GLOBAL WARMING STABILIZATION SCENARIOS (FROM 1.5 TO 6 DEGREES C WARMING), WE PROJECT THAT THE CURRENT SINK OF ATMOSPHERIC C (0.10 +/- 0.02 PG C.Y(-1)) IN NORTHERN PEATLANDS WILL SHIFT TO A C SOURCE AS 0.8 TO 1.9 MILLION KM 2 OF PERMAFROST-AFFECTED PEATLANDS THAW. THE PROJECTED THAW WOULD CAUSE PEATLAND GREENHOUSE GAS EMISSIONS EQUAL TO SIMILAR TO 1% OF ANTHROPOGENIC RADIATIVE FORCING IN THIS CENTURY. THE MAIN FORCING IS FROM METHANE EMISSIONS (0.7 TO 3 PG CUMULATIVE CH4-C) WITH SMALLER CARBON DIOXIDE FORCING (1 TO 2 PG CO2-C) AND MINOR NITROUS OXIDE LOSSES. WE PROJECT THAT INITIAL CO2-C LOSSES REVERSE AFTER SIMILAR TO 200 Y, AS WARMING STRENGTHENS PEATLAND C-SINKS. WE PROJECT SUBSTANTIAL, BUT HIGHLY UNCERTAIN, ADDITIONAL LOSSES OF PEAT INTO FLUVIAL SYSTEMS OF 10 TO 30 PG C AND 0.4 TO 0.9 PG N. THE COMBINED GASEOUS AND FLUVIAL PEATLAND C LOSS ESTIMATED HERE ADDS 30 TO 50% ONTO PREVIOUS ESTIMATES OF PERMAFROST-THAW C LOSSES, WITH SOUTHERN PERMAFROST REGIONS BEING THE MOST VULNERABLE.","LARGE STOCKS OF PEATLAND CARBON AND NITROGEN ARE VULNERABLE TO PERMAFROST THAW","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","ARTICLE","AUG 25",2020,"10.1073/pnas.1916387117","MULTIDISCIPLINARY SCIENCES","WOS:000572349000021"
"8","DADA N, 2018, SCI REP-UK","DADA N;SHETH M;LIEBMAN K;PINTO J;LENHART A","IN LIGHT OF THE DECLINING GLOBAL MALARIA BURDEN ATTAINED LARGELY DUE TO INSECTICIDES, A DEEPER UNDERSTANDING OF THE FACTORS DRIVING INSECTICIDE RESISTANCE IS NEEDED TO MITIGATE ITS GROWING THREAT TO MALARIA VECTOR CONTROL PROGRAMS. FOLLOWING EVIDENCE OF MICROBIOTA-MEDIATED INSECTICIDE RESISTANCE IN AGRICULTURAL PESTS, WE UNDERTOOK A COMPARATIVE STUDY OF THE MICROBIOTA IN MOSQUITOES OF DIFFERING INSECTICIDE RESISTANCE STATUS. THE MICROBIOTA OF WILD-CAUGHT ANOPHELES ALBIMANUS, AN IMPORTANT LATIN AMERICAN MALARIA VECTOR, THAT WERE RESISTANT (FEN_RES) OR SUSCEPTIBLE (FEN_SUS) TO THE ORGANOPHOSPHATE (OP) INSECTICIDE FENITROTHION WERE CHARACTERIZED AND COMPARED USING WHOLE METAGENOME SEQUENCING. RESULTS SHOWED DIFFERING COMPOSITION OF THE MICROBIOTA AND ITS FUNCTIONS BETWEEN FEN_RES AND FEN_SUS, WITH SIGNIFICANT ENRICHMENT OF OP-DEGRADING BACTERIA AND ENZYMES IN FEN_RES COMPARED TO FEN_SUS. LOWER BACTERIAL DIVERSITY WAS OBSERVED IN FEN_RES COMPARED TO FEN_SUS, SUGGESTING THE ENRICHMENT OF BACTERIAL TAXA WITH A COMPETITIVE ADVANTAGE IN RESPONSE TO INSECTICIDE SELECTION PRESSURE. WE REPORT AND CHARACTERIZE FOR THE FIRST TIME WHOLE METAGENOMES OF AN. ALBIMANUS, REVEALING ASSOCIATIONS BETWEEN THE MICROBIOTA AND PHENOTYPIC RESISTANCE TO THE INSECTICIDE FENITROTHION. THIS STUDY LAYS THE GROUNDWORK FOR FURTHER INVESTIGATION OF THE ROLE OF THE MOSQUITO MICROBIOTA IN INSECTICIDE RESISTANCE.","WHOLE METAGENOME SEQUENCING REVEALS LINKS BETWEEN MOSQUITO MICROBIOTA AND INSECTICIDE RESISTANCE IN MALARIA VECTORS","SCIENTIFIC REPORTS","ARTICLE","FEB 1",2018,"10.1038/s41598-018-20367-4","MULTIDISCIPLINARY SCIENCES","WOS:000423787500059"
"9","JONES MC, 2017, GLOBAL CHANGE BIOL","JONES MC;HARDEN J;O'DONNELL J;MANIES K;JORGENSON T;TREAT C;EWING S","PERMAFROST PEATLANDS STORE ONE-THIRD OF THE TOTAL CARBON (C) IN THE ATMOSPHERE AND ARE INCREASINGLY VULNERABLE TO THAW AS HIGH-LATITUDE TEMPERATURES WARM. LARGE UNCERTAINTIES REMAIN ABOUT C DYNAMICS FOLLOWING PERMAFROST THAW IN BOREAL PEATLANDS. WE USED A CHRONOSEQUENCE APPROACH TO MEASURE C STOCKS IN FORESTED PERMAFROST PLATEAUS (FOREST) AND THAWED PERMAFROST BOGS, RANGING IN THAW AGE FROM YOUNG (< 10 YEARS) TO OLD (> 100 YEARS) FROM TWO INTERIOR ALASKA CHRONOSEQUENCES. PERMAFROST ORIGINALLY AGGRADED SIMULTANEOUSLY WITH PEAT ACCUMULATION (SYNGENETIC PERMAFROST) AT BOTH SITES. WE FOUND THAT UPON THAW, C LOSS OF THE FOREST PEAT C IS EQUIVALENT TO SIMILAR TO 30% OF THE INITIAL FOREST C STOCK AND IS DIRECTLY PROPORTIONAL TO THE PRETHAW C STOCKS. OUR MODEL RESULTS INDICATE THAT PERMAFROST THAW TURNED THESE PEATLANDS INTO NET C SOURCES TO THE ATMOSPHERE FOR A DECADE FOLLOWING THAW, AFTER WHICH POST-THAW BOG PEAT ACCUMULATION RETURNED SITES TO NET C SINKS. IT CAN TAKE MULTIPLE CENTURIES TO MILLENNIA FOR A SITE TO RECOVER ITS PRETHAW C STOCKS; THE AMOUNT OF TIME NEEDED FOR THEM TO REGAIN THEIR PRETHAW C STOCKS IS GOVERNED BY THE AMOUNT OF C THAT ACCUMULATED PRIOR TO THAW. CONSEQUENTLY, THESE FINDINGS SHOW THAT OLDER PEATLANDS WILL TAKE LONGER TO RECOVER PRETHAW C STOCKS, WHEREAS YOUNGER PEATLANDS WILL EXCEED PRETHAW STOCKS IN A MATTER OF CENTURIES. WE CONCLUDE THAT THE LOSS OF SPORADIC AND DISCONTINUOUS PERMAFROST BY 2100 COULD RESULT IN A LOSS OF UP TO 24 PG OF DEEP C FROM PERMAFROST PEATLANDS.","RAPID CARBON LOSS AND SLOW RECOVERY FOLLOWING PERMAFROST THAW IN BOREAL PEATLANDS","GLOBAL CHANGE BIOLOGY","ARTICLE","MAR",2017,"10.1111/gcb.13403","BIODIVERSITY CONSERVATION; ECOLOGY; ENVIRONMENTAL SCIENCES","WOS:000396829300014"
"10","HUANG XY, 2018, NAT COMMUN","HUANG XY;PANCOST RD;XUE JT;GU YS;EVERSHED RP;XIE SC","THE NATURE AND EXTENT TO WHICH HYDROLOGICAL CHANGES INDUCED BY THE ASIAN SUMMER MONSOON AFFECTED KEY BIOGEOCHEMICAL PROCESSES REMAIN POORLY DEFINED. THIS STUDY EXPLORES THE RELATIONSHIP BETWEEN PEATLAND DRYING AND CARBON CYCLING ON CENTENNIAL TIMESCALES IN CENTRAL CHINA USING LIPID BIOMARKERS. THE DIFFERENCE BETWEEN PEAT N-ALKANE DELTA H-2 AND A NEARBY STALAGMITE DELTA O-18 RECORD REVEALS THAT INTERVALS OF PROMINENT PEATLAND DRYING OCCURRED DURING THE MID-HOLOCENE. SYNCHRONOUS WITH THESE DRIER CONDITIONS, LEAF WAX DELTA C-13 VALUES SHOW LARGE NEGATIVE EXCURSIONS, WITH THE UTILIZATION OF CO2 RESPIRED FROM THE PEATLAND SUBSURFACE FOR PLANT PHOTOSYNTHESIS BEING A POSSIBLE MECHANISM. CRUCIALLY, SUCCESSIVE DRYING EVENTS APPEAR TO HAVE HAD A CUMULATIVE IMPACT ON THE SUSCEPTIBILITY OF PEAT CARBON STORES TO CLIMATE CHANGE. CONCURRENTLY, BACTERIALLY DERIVED HOPANE DELTA C-13 VALUES SUGGEST THE OCCURRENCE OF ENHANCED METHANE OXIDATION DURING THE DRIER PERIODS. COLLECTIVELY, THESE OBSERVATIONS EXPAND OUR UNDERSTANDING OF HOW RESPIRATION AND DEGRADATION OF PEAT ARE ENHANCED DURING DRYING EVENTS.","RESPONSE OF CARBON CYCLE TO DRIER CONDITIONS IN THE MID-HOLOCENE IN CENTRAL CHINA","NATURE COMMUNICATIONS","ARTICLE","APR 10",2018,"10.1038/s41467-018-03804-w","MULTIDISCIPLINARY SCIENCES","WOS:000429521300011"
