"","Short_name","Authors","Abstract","Title","Source","DocumentType","PubDate","PubYear","DoI","WoSCat","WoSID"
"1","SCHMIDT MWI, 2000, GLOBAL BIOGEOCHEM CY","SCHMIDT MWI;NOACK AG","THIS REVIEW HIGHLIGHTS THE UBIQUITY OF BLACK CARBON (BC) PRODUCED BY INCOMPLETE COMBUSTION OF PLANT MATERIAL AND FOSSIL FUELS IN PEATS, SOILS, AND LACUSTRINE AND MARINE SEDIMENTS. WE EXAMINE VARIOUS DEFINITIONS AND ANALYTICAL APPROACHES AND SEEK TO PROVIDE A COMMON LANGUAGE. BC REPRESENTS A CONTINUUM FROM PARTLY CHARRED MATERIAL TO GRAPHITE AND SOOT PARTICLES, WITH NO GENERAL AGREEMENT ON CLEAR-CUT BOUNDARIES. FORMATION OF BC CAN OCCUR IN TWO FUNDAMENTALLY DIFFERENT WAYS. VOLATILES RECONDENSE TO HIGHLY GRAPHITIZED SOOT-BC, WHEREAS THE SOLID RESIDUES FORM CHAR-BC. BOTH FORMS OF BC ARE RELATIVELY INERT AND ARE DISTRIBUTED GLOBALLY BY WATER AND WIND VIA FLUVIAL AND ATMOSPHERIC TRANSPORT. WE SUMMARIZE, CHRONOLOGICALLY, THE UBIQUITY OF BC IN SOILS AND SEDIMENTS SINCE DEVONIAN TIMES, DIFFERENTIATING BETWEEN BC FROM VEGETATION FIRES AND FROM FOSSIL FUEL COMBUSTION. BC HAS IMPORTANT IMPLICATIONS FOR VARIOUS BIOLOGICAL, GEOCHEMICAL AND ENVIRONMENTAL PROCESSES. AS EXAMPLES, BC MAY REPRESENT A SIGNIFICANT SINK IN THE GLOBAL CARBON CYCLE, AFFECT THE EARTH'S RADIATIVE HEAT BALANCE, BE A USEFUL TRACER FOR EARTH'S FIRE HISTORY, BUILD UP A SIGNIFICANT FRACTION OF CARBON BURIED IN SOILS AND SEDIMENTS, AND CARRY ORGANIC POLLUTANTS. ON LAND, BC SEEMS TO BE ABUNDANT IN DARK-COLORED SOILS, AFFECTED BY FREQUENT VEGETATION BURNING AND FOSSIL FUEL COMBUSTION, THUS PROBABLY CONTRIBUTING TO THE HIGHLY STABLE AROMATIC COMPONENTS OF SOIL ORGANIC MATTER. WE DISCUSS CHALLENGES FOR FUTURE RESEARCH. DESPITE THE GREAT IMPORTANCE OF BC, ONLY LIMITED PROGRESS HAS BEEN MADE IN CALIBRATING ANALYTICAL TECHNIQUES. PROGRESS IN THE QUANTIFICATION OF BC IS LIKELY TO COME FROM SYSTEMATIC INTERCOMPARISON USING BCS FROM DIFFERENT SOURCES AND IN DIFFERENT NATURAL MATRICES. BC IDENTIFICATION COULD BENEFIT FROM ISOTOPIC AND SPECTROSCOPIC TECHNIQUES APPLIED AT THE BULK AND MOLECULAR LEVELS. THE KEY TO ESTIMATING BC STOCKS IN SOILS AND SEDIMENTS IS AN UNDERSTANDING OF THE PROCESSES INVOLVED IN BC DEGRADATION ON A MOLECULAR LEVEL. A PROMISING APPROACH WOULD BE THE COMBINATION OF SHORT-TERM LABORATORY EXPERIMENTS AND LONG-TERM FIELD TRIALS.","BLACK CARBON IN SOILS AND SEDIMENTS: ANALYSIS, DISTRIBUTION, IMPLICATIONS, AND CURRENT CHALLENGES","GLOBAL BIOGEOCHEMICAL CYCLES","REVIEW","SEP",2000,"10.1029/1999GB001208","ENVIRONMENTAL SCIENCES; GEOSCIENCES, MULTIDISCIPLINARY; METEOROLOGY & ATMOSPHERIC SCIENCES","WOS:000089089000006"
"2","HOLDEN J, 2004, PROG PHYS GEOG","HOLDEN J;CHAPMAN PJ;LABADZ JC","PEATLANDS HAVE BEEN SUBJECT TO ARTIFICIAL DRAINAGE FOR CENTURIES. THIS DRAINAGE HAS BEEN IN RESPONSE TO AGRICULTURAL DEMAND, FORESTRY, HORTICULTURAL AND ENERGY PROPERTIES OF PEAT AND ALLEVIATION OF FLOOD RISK. HOWEVER, THERE ARE SEVERAL ENVIRONMENTAL PROBLEMS ASSOCIATED WITH DRAINAGE OF PEATLANDS. THIS PAPER DESCRIBES THE NATURE OF THESE PROBLEMS AND EXAMINES THE EVIDENCE FOR CHANGES IN HYDROLOGICAL AND HYDROCHEMICAL PROCESSES ASSOCIATED WITH THESE CHANGES. TRADITIONAL BLACK-BOX WATER BALANCE APPROACHES DEMONSTRATE LITTLE ABOUT WETLAND DYNAMICS AND THEREFORE THE SCIENCE OF CATCHMENT RESPONSE TO PEAT DRAINAGE IS POORLY UNDERSTOOD. IT IS CRUCIAL THAT A MORE PROCESS-BASED APPROACH BE ADOPTED WITHIN PEATLAND ECOSYSTEMS. THE ENVIRONMENTAL PROBLEMS ASSOCIATED WITH PEAT DRAINAGE HAVE LED, IN PART, TO A RECENT REVERSAL IN ATTITUDES TO PEATLANDS AND WE HAVE SEEN A MOVE TOWARDS WETLAND RESTORATION. HOWEVER, A DETAILED UNDERSTANDING OF HYDROLOGICAL, HYDROCHEMICAL AND ECOLOGICAL PROCESS-INTERACTIONS WILL BE FUNDAMENTAL IF WE ARE TO ADEQUATELY RESTORE DEGRADED PEATLANDS, PRESERVE THOSE THAT ARE STILL INTACT AND UNDERSTAND THE IMPACTS OF SUCH MANAGEMENT ACTIONS AT THE CATCHMENT SCALE.","ARTIFICIAL DRAINAGE OF PEATLANDS: HYDROLOGICAL AND HYDROCHEMICAL PROCESS AND WETLAND RESTORATION","PROGRESS IN PHYSICAL GEOGRAPHY-EARTH AND ENVIRONMENT","REVIEW","MAR",2004,"10.1191/0309133304pp403ra","GEOGRAPHY, PHYSICAL; GEOSCIENCES, MULTIDISCIPLINARY","WOS:000189265500004"
"3","LAI DYF, 2009, PEDOSPHERE","LAI DYF","NORTHERN PEATLANDS STORE A LARGE AMOUNT OF CARBON AND PLAY A SIGNIFICANT ROLE IN THE GLOBAL CARBON CYCLE. OWING TO THE PRESENCE OF WATERLOGGED AND ANAEROBIC CONDITIONS, PEATLANDS ARE TYPICALLY A SOURCE OF METHANE (CH4), A VERY POTENT GREENHOUSE GAS. THIS PAPER REVIEWS THE KEY MECHANISMS OF PEATLAND CH4 PRODUCTION, CONSUMPTION AND TRANSPORT AND THE MAJOR ENVIRONMENTAL AND BIOTIC CONTROLS ON PEATLAND CH4 EMISSIONS. THE ADVANTAGES AND DISADVANTAGES OF MICROMETEOROLOGICAL AND CHAMBER METHODS IN MEASURING CH4 FLUXES FROM NORTHERN PEATLANDS ARE ALSO DISCUSSED. THE MAGNITUDE OF CH4 FLUX VARIES CONSIDERABLY AMONG PEATLAND TYPES (BOGS AND FENS) AND MICROTOPOGRAPHIC LOCATIONS (HUMMOCKS AND HOLLOWS). SOME ANTHROPOGENIC ACTIVITIES INCLUDING FORESTRY, PEAT HARVESTING AND INDUSTRIAL EMISSION OF SULPHUR DIOXIDE CAN CAUSE A REDUCTION IN CH4 RELEASE FROM NORTHERN PEATLANDS. FURTHER RESEARCH SHOULD BE CONDUCTED TO INVESTIGATE THE INFLUENCE OF PLANT GROWTH FORMS ON CH4 FLUX FROM NORTHERN PEATLANDS, DETERMINE THE WATER TABLE THRESHOLD AT WHICH PLANT PRODUCTION IN PEATLANDS ENHANCES CH4 RELEASE, AND QUANTIFY PEATLAND CH4 EXCHANGE AT PLANT COMMUNITY LEVEL WITH A HIGHER TEMPORAL RESOLUTION USING AUTOMATIC CHAMBERS.","METHANE DYNAMICS IN NORTHERN PEATLANDS: A REVIEW","PEDOSPHERE","REVIEW","AUG",2009,"10.1016/S1002-0160(09)00003-4","SOIL SCIENCE","WOS:000268560000001"
"4","KALBITZ K, 2008, J PLANT NUTR SOIL SC","KALBITZ K;KAISER K","DISSOLVED ORGANIC MATTER (DOM) IS OFTEN CONSIDERED THE MOST LABILE PORTION OF ORGANIC MATTER IN SOIL AND TO BE NEGLIGIBLE WITH RESPECT TO THE ACCUMULATION OF SOIL C. IN THIS SHORT REVIEW, WE PRESENT RECENT EVIDENCE THAT THIS VIEW IS INVALID. THE STABILITY OF DOM FROM FOREST FLOOR HORIZONS, PEATS, AND TOPSOILS AGAINST MICROBIAL DEGRADATION INCREASES WITH ADVANCED DECOMPOSITION OF THE PARENT ORGANIC MATTER (OM). AROMATIC COMPOUNDS, DERIVING FROM LIGNIN, LIKELY ARE THE MOST STABLE COMPONENTS OF DOM WHILE PLANT-DERIVED CARBOHYDRATES SEEM EASILY DEGRADABLE. CARBOHYDRATES AND N-RICH COMPOUNDS OF MICROBIAL ORIGIN PRODUCED DURING THE DEGRADATION OF DOM CAN BE RELATIVELY STABLE. SUCH COMPONENTS CONTRIBUTE MUCH TO DOM IN THE MINERAL SUBSOIL. SORPTION OF DOM TO SOIL MINERALS AND (CO-)PRECIPITATION WITH AL (AND PROBABLY ALSO WITH FE), ESPECIALLY OF THE INHERENTLY STABLE AROMATIC MOIETIES, RESULT IN DISTINCT STABILIZATION. IN LABORATORY INCUBATION EXPERIMENTS, THE MEAN RESIDENCE TIME OF DOM FROM THE OA HORIZON OF A HAPLIC PODZOL INCREASED FROM <30 Y IN SOLUTION TO >90 Y AFTER SORPTION TO A SUBSOIL. WE COMBINED DOM FLUXES AND MINERALIZATION RATE CONSTANTS FOR DOM SORBED TO MINERALS AND A SUBSOIL HORIZON, AND (CO-) PRECIPITATED WITH AL TO ESTIMATE THE POTENTIAL CONTRIBUTION OF DOM TO TOTAL C IN THE MINERAL SOIL OF A HAPLIC PODZOL IN GERMANY. THE CONTRIBUTION OF ROOTS TO DOM WAS NOT CONSIDERED BECAUSE OF LACK OF DATA. THE DOM-DERIVED SOIL C RANGES FROM 20 TO 55 MG HA(-1) IN THE MINERAL SOIL, WHICH REPRESENTS 19%-50% OF THE TOTAL SOIL C. THE VARIATION OF THE ESTIMATE REFLECTS THE VARIATION IN MINERALIZATION RATE CONSTANTS OBTAINED FOR SORBED AND (CO-) PRECIPITATED DOM. NEVERTHELESS, THE ESTIMATES INDICATE THAT DOM CONTRIBUTES SIGNIFICANTLY TO THE ACCUMULATION OF STABLE OM IN SOIL. A MORE PRECISE ESTIMATION OF DOM-DERIVED C IN SOILS REQUIRES MINERALIZATION RATE CONSTANTS FOR DOM SORBED TO ALL RELEVANT MINERALS OR (CO-)PRECIPITATED WITH FE. ADDITIONALLY, WE NEED INFORMATION ON THE CONTRIBUTION OF SORPTION TO DISTINCT MINERALS AS WELL AS OF (CO-)PRECIPITATION WITH AL AND FE TO DOM RETENTION.","CONTRIBUTION OF DISSOLVED ORGANIC MATTER TO CARBON STORAGE IN FOREST MINERAL SOILS","JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE","REVIEW","FEB",2008,"10.1002/jpln.200700043","AGRONOMY; PLANT SCIENCES; SOIL SCIENCE","WOS:000253431000005"
"5","KOKELJ SV, 2013, PERMAFROST PERIGLAC","KOKELJ SV;JORGENSON MT","THE TERM THERMOKARST DESCRIBES THE PROCESSES AND LANDFORMS THAT INVOLVE COLLAPSE OF THE LAND SURFACE AS A RESULT OF THE MELTING OF GROUND ICE. WE REVIEW THE LITERATURE THAT HAS CONTRIBUTED TO OUR UNDERSTANDING OF PATTERNS, PROCESSES AND FEEDBACKS, AND THE ENVIRONMENTAL CONSEQUENCES OF THERMOKARST, FOCUSING ON HILLSLOPE, THAW LAKE AND WETLAND PROCESSES. ADVANCES IN REMOTE SENSING TECHNIQUES, AND THEIR APPLICATION IN A BROAD SUITE OF CHANGE DETECTION STUDIES, INDICATE RECENT INCREASES IN THE RATES AND MAGNITUDE OF THERMOKARST INCLUDING RETROGRESSIVE THAW SLUMPING, LAKE EXPANSION AND THE TRANSFORMATION OF FROZEN PEATLANDS TO COLLAPSED WETLANDS. FIELD-BASED STUDIES AND MODELLING HAVE ENHANCED THE KNOWLEDGE OF PROCESSES AND FEEDBACKS ASSOCIATED WITH WARMING PERMAFROST, CHANGES IN TALIK GEOMETRY AND ACCELERATED THAW SLUMP ACTIVITY, AND THAW LAKE EXPANSION. HYDROLOGICAL PROCESSES CAN STRONGLY INFLUENCE THE RATES OF THAW LAKE AND GULLY DEVELOPMENT, AND THE DEGRADATION OF FROZEN PEATLANDS. FIELD STUDIES AND CALIBRATED MODELLING EFFORTS THAT INVESTIGATE THE DRIVERS OF THERMOKARST AND TEST CONCEPTUAL IDEAS OF LANDSCAPE EVOLUTION WILL BE CRITICAL TO FURTHER ADVANCE THE PREDICTION OF LANDSCAPE AND ECOSYSTEM CHANGE. THERMOKARST RESEARCH PROVIDES AN IMPORTANT CONTEXT FOR STUDYING THE ENVIRONMENTAL IMPLICATIONS OF PERMAFROST DEGRADATION. HILLSLOPE THERMOKARST CAN ALTER THE WATER QUALITY OF LAKES AND STREAMS WITH IMPLICATIONS FOR AQUATIC ECOSYSTEMS. INVESTIGATION OF THE INTERACTIONS BETWEEN THERMOKARST AND HYDROLOGIC AND ECOLOGICAL PROCESSES HAS IMPROVED KNOWLEDGE OF THE FEEDBACKS THAT ACCELERATE CHANGE OR LEAD TO STABILISATION IN TERRESTRIAL AND THAW LAKE ENVIRONMENTS. FINALLY, THE INFLUENCE OF PERMAFROST THAW ON SOIL CARBON DYNAMICS WILL BE AN IMPORTANT FOCUS OF THERMOKARST RESEARCH BECAUSE OF FEEDBACKS WITH THE GLOBAL CLIMATE SYSTEM. COPYRIGHT (C) HER MAJESTY THE QUEEN IN RIGHT OF CANADA 2013.","ADVANCES IN THERMOKARST RESEARCH","PERMAFROST AND PERIGLACIAL PROCESSES","REVIEW","APR",2013,"10.1002/ppp.1779","GEOGRAPHY, PHYSICAL; GEOLOGY","WOS:000320330800004"
"6","BIESTER H, 2007, ENVIRON SCI TECHNOL","BIESTER H;BINDLER R;MARTINEZ-CORTIZAS A;ENGSTROM DR","HISTORICAL RECORDS OF MERCURY (HG) ACCUMULATION IN LAKE SEDIMENTS AND PEAT BOGS ARE OFTEN USED TO ESTIMATE HUMAN IMPACTS ON THE BIOGEOCHEMICAL CYCLING OF MERCURY. ON THE BASIS OF STUDIES OF LAKE SEDIMENTS, MODERN ATMOSPHERIC MERCURY DEPOSITION RATES ARE ESTIMATED TO HAVE INCREASED BY A FACTOR OF 3-5 COMPARED TO BACKGROUND VALUES: I.E., FROM ABOUT 3-3.5 MU G HG M(-2) YR(-1) TO 10-20 MU G HG M-2 YR(-1). HOWEVER, RECENT STUDIES OF THE HISTORICAL MERCURY RECORD IN PEAT BOGS SUGGEST SIGNIFICANTLY HIGHER INCREASES (9-400 FOLD, MEDIAN 40X), I.E., FROM ABOUT 0.6-1.7 MU G HG M(-2) YR(-1) TO 8-184 MU G HG M(-2) YR(-1). WE COMPARED PUBLISHED DATA OF BACKGROUND AND MODERN MERCURY ACCUMULATION RATES DERIVED FROM GLOBALLY DISTRIBUTED LAKE SEDIMENTS AND PEAT BOGS AND DISCUSS REASONS FOR THE DIFFERENCES OBSERVED IN ABSOLUTE VALUES AND IN THE RELATIVE INCREASE IN THE INDUSTRIAL AGE. DIRECT MEASUREMENTS OF MODERN WET MERCURY DEPOSITION RATES IN REMOTE AREAS ARE PRESENTLY ABOUT 1-4,MU G M(-2) YR(-1), BUT WERE POSSIBLY AS HIGH AS 20 MU G HG M(-2) YR(-1) DURING THE 1980S. THESE VALUES ARE CLOSER TO THE ESTIMATES OF PAST DEPOSITION DETERMINED FROM LAKE SEDIMENTS, WHICH SUGGESTS THAT MODERN MERCURY ACCUMULATION RATES DERIVED FROM PEAT BOGS TEND TO OVERESTIMATE DEPOSITION. WE SUGGEST THAT SMEARING OF PB-210 IN THE UPPERMOST PEAT SECTIONS CONTRIBUTES TO AN UNDERESTIMATION OF PEAT AGES, WHICH IS THE MOST IMPORTANT REASON FOR THE OVERESTIMATION OF MERCURY ACCUMULATION RATES IN MANY BOGS. THE LOWER BACKGROUND MERCURY ACCUMULATION RATES IN PEAT AS COMPARED TO LAKE SEDIMENTS WE BELIEVE IS THE RESULT OF NONQUANTITATIVE RETENTION AND LOSS OF MERCURY DURING PEAT DIAGENESIS. AS MANY PROCESSES CONTROLLING TIME-RESOLVED MERCURY ACCUMULATION IN MIRES ARE STILL POORLY UNDERSTOOD, LAKE SEDIMENTS APPEAR TO BE THE MORE RELIABLE ARCHIVE FOR ESTIMATING HISTORICAL MERCURY ACCUMULATION RATES.","MODELING THE PAST ATMOSPHERIC DEPOSITION OF MERCURY USING NATURAL ARCHIVES","ENVIRONMENTAL SCIENCE & TECHNOLOGY","REVIEW","JUL 15",2007,"10.1021/es0704232","ENGINEERING, ENVIRONMENTAL; ENVIRONMENTAL SCIENCES","WOS:000248363100009"
"7","MOORE PD, 2002, ENVIRON CONSERV","MOORE PD","THE TEMPERATE PEATLANDS ARE EXTENSIVE, COVERING AROUND 3.5 MILLION KM(2) OF LAND. THEY CONTAIN ABOUT 455 GT OF CARBON, ALMOST EQUIVALENT TO THE CARBON STORED IN ALL OF THE LIVING THINGS ON THE SURFACE OF THE PLANET, AND REPRESENTING AROUND 25% OF ALL THE SOIL CARBON ON EARTH. THESE BOGS ARE A SINK FOR ATMOSPHERIC CARBON AND THEIR CARBON UPTAKE ACCOUNTS FOR ABOUT 12% OF CURRENT HUMAN EMISSIONS. THEY VARY CONSIDERABLY IN THEIR FORM AND STRUCTURE AND ARE AN IMPORTANT RESOURCE FOR SCIENTIFIC RESEARCH, INCLUDING THE STUDY OF PAST ENVIRONMENTS AND CLIMATE CHANGE, AND THEY ARE ALSO VALUABLE IN ENVIRONMENTAL EDUCATION. THEY ARE LOW IN BIODIVERSITY, BUT THEIR FAUNA AND FLORA ARE DISTINCTIVE AND MANY GROUPS ARE CONFINED TO THIS HABITAT. FOR ALL THESE REASONS, THE FUTURE CONSERVATION OF PEATLANDS IS A MATTER FOR CONCERN. THREATS TO PEATLANDS COME FROM DIRECT HUMAN EXPLOITATION IN THE FORM OF PEAT HARVESTING FOR ENERGY AND HORTICULTURE, AND DRAINAGE FOR FORESTRY. RISING ENVIRONMENTAL AWARENESS SHOULD CONTROL BOTH OF THESE PROCESSES IN THE WESTERN WORLD, BUT CONTINUED NORTHERN PEATLAND LOSSES ARE LIKELY LOCALLY, ESPECIALLY IN ASIA. PEATLAND DRAINAGE FOR FORESTRY OR AGRICULTURE WILL RESULT IN LOSSES OF CARBON TO THE ATMOSPHERE, ADDING TO THE GREENHOUSE EFFECT. HUMAN POPULATION PRESSURES, INDUSTRIALIZATION AND URBANIZATION ARE UNLIKELY TO HAVE AN IMPORTANT DIRECT AND IMMEDIATE INFLUENCE IN THE BOREAL ZONE. FRAGMENTATION OF THE HABITAT IS NOT AN IMPORTANT CONSIDERATION BECAUSE BOGS ARE BY THEIR VERY NATURE 'ISLAND' HABITATS. ACIDIFICATION BY AERIAL POLLUTION MAY BE A LOCAL PROBLEM CLOSE TO SOURCES, BUT THE HABITAT IS NATURALLY ACID AND SHOULD NOT BE SEVERELY AFFECTED, THE INPUT OF AERIAL NUTRIENTS, HOWEVER, PARTICULARLY NITROGEN, COULD HAVE WIDESPREAD IMPACT ON BOGS, ENHANCING THEIR PRODUCTIVITY AND ALTERING THEIR VEGETATION COMPOSITION. THE PHYSICAL REHABILITATION OF BOGS DAMAGED BY HUMAN ACTIVITIES PRESENTS MANY PROBLEMS, PARTICULARLY RELATING TO THE RE-ESTABLISHMENT OF PEAT STRUCTURE AND VEGETATION, BUT THE PROCESS CAN RESULT IN THE RE-FORMATION OF A CARBON SINK SO IT IS WORTH THE EFFORT. CLIMATE CHANGE IS THE MOST IMPORTANT CONSIDERATION IN ITS IMPACT ON BOGS. HIGHER TEMPERATURE (ESPECIALLY IF ACCOMPANIED BY RAISED ATMOSPHERIC CARBON DIOXIDE LEVELS AND INCREASED NITRATE DEPOSITION) WILL ENHANCE PRODUCTIVITY, BUT WILL ALSO RESULT IN FASTER DECOMPOSITION RATES. THE OUTCOME OF THESE OPPOSING FACTORS FOR PEAT FORMATION WILL ULTIMATELY DEPEND ON THE FUTURE PATTERN OF PRECIPITATION. IF, AS SEEMS MOST LIKELY, SUMMER CONDITIONS BECOME WARMER AND DRIER IN CONTINENTAL REGIONS AND WINTERS BECOME MILDER AND WETTER, THE SUMMER DROUGHT COULD CAUSE PEAT LOSS AND BOG CONTRACTION. AN EXCESS OF DECOMPOSITION WILL LEAD TO BOGS BECOMING A CARBON SOURCE AND THUS A POSITIVE FEEDBACK IN GLOBAL WARMING. EMISSIONS OF METHANE AND NITROUS OXIDE WOULD ADD TO THE GREENHOUSE GAS PROBLEM, BUT LIKELY OXIDATION OF METHANE AND LOW N2O PRODUCTION MAY WELL MEAN THAT THIS IMPACT WILL NOT PROVE TO BE SIGNIFICANT. TREE INVASION OF BOGS AS A CONSEQUENCE OF SUMMER DROUGHT COULD LOCALLY LEAD TO INCREASED WATER LOSS THROUGH TRANSPIRATION, AND HIGHER HEAT ABSORPTION THROUGH ALBEDO CHANGE. THIS WILL ENHANCE THE DRYING EFFECT ON THE BOG SURFACE. OCEANIC MIRES WILL BE LESS SEVERELY AFFECTED IF THE EXPECTED INCREASE IN PRECIPITATION TAKES PLACE IN THESE REGIONS. THE MOST IMPORTANT OVERALL FACTOR IN DETERMINING THE FUTURE OF THE NORTHERN BOGS IS LIKELY TO BE THE QUANTITY AND PATTERN (BOTH SPATIALLY AND TEMPORALLY) OF FUTURE PRECIPITATION IN THE ZONE.","THE FUTURE OF COOL TEMPERATE BOGS","ENVIRONMENTAL CONSERVATION","REVIEW","MAR",2002,"10.1017/S0376892902000024","BIODIVERSITY CONSERVATION; ENVIRONMENTAL SCIENCES","WOS:000175924000002"
"8","JOERGENSEN RG, 2006, J PLANT NUTR SOIL SC","JOERGENSEN RG;EMMERLING C","THE PRESENT REVIEW IS FOCUSED ON MICROBIOLOGICAL METHODS USED IN AGRICULTURAL SOILS ACCUSTOMED TO HUMAN DISTURBANCE. RECENT DEVELOPMENTS IN SOIL BIOLOGY ARE ANALYZED WITH THE AIM OF HIGHLIGHTING GAPS IN KNOWLEDGE, UNSOLVED RESEARCH QUESTIONS, AND CONTROVERSIAL RESULTS. ACTIVITY RATES (BASAL RESPIRATION, N MINERALIZATION) AND BIOMASS ARE USED AS OVERALL INDICES FOR ASSESSING MICROBIAL FUNCTIONS IN SOIL AND CAN BE SUPPLEMENTED BY BIOMASS RATIOS (C : N, C : P, AND C : S) AND ECO-PHYSIOLOGICAL RATIOS (SOIL ORGANIC C : MICROBIAL-BIOMASS C, QCO(2), QN(MIN)). THE COMMUNITY STRUCTURE CAN BE CHARACTERIZED BY FUNCTIONAL GROUPS OF THE SOIL MICROBIAL BIOMASS SUCH AS FUNGI AND BACTERIA, GRAM-NEGATIVE AND GRAM-POSITIVE BACTERIA, OR BY BIOTIC DIVERSITY. METHODOLOGICAL ASPECTS OF SOIL MICROBIAL INDICES ARE ASSESSED, SUCH AS SAMPLING, PRETREATMENT OF SAMPLES, AND CONVERSION FACTORS OF DATA INTO BIOMASS VALUES. MICROBIAL-BIOMASS C (MU G (G SOIL)(-1)) CAN BE ESTIMATED BY MULTIPLYING TOTAL PLFA (NMOL (G SOIL)(-1)) BY THE F-PLFA-FACTOR OF 5.8 AND DNA (MU G (G SOIL)(-1)) BY THE FDNA-FACTOR OF 6.0. IN ADDITION, THE TURNOVER OF THE SOIL MICROBIAL BIOMASS IS APPRECIATED AS A KEY PROCESS FOR MAINTAINING NUTRIENT CYCLES IN SOIL. EXAMPLES ARE BRIEFLY PRESENTED THAT SHOW THE DIRECTION OF HUMAN IMPACT ON SOIL MICROORGANISMS BY THE METHODS EVALUATED. THESE EXAMPLES ARE TAKEN FROM RESEARCH ON ORGANIC FARMING, REDUCED TILLAGE, DE-INTENSIFICATION OF LAND-USE MANAGEMENT, DEGRADATION OF PEATLAND, SLURRY APPLICATION, SALINIZATION, HEAVY-METAL CONTAMINATION, LIGNITE DEPOSITION, PESTICIDE APPLICATION, ANTIBIOTICS, TNT, AND GENETICALLY MODIFIED PLANTS.","METHODS FOR EVALUATING HUMAN IMPACT ON SOIL MICROORGANISMS BASED ON THEIR ACTIVITY, BIOMASS, AND DIVERSITY IN AGRICULTURAL SOILS","JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE","REVIEW","APR",2006,"10.1002/jpln.200521941","AGRONOMY; PLANT SCIENCES; SOIL SCIENCE","WOS:000238588500002"
"9","CHAPMAN S, 2003, FRONT ECOL ENVIRON","CHAPMAN S;BUTTLER A;FRANCEZ A;LAGGOUN-DEFARGE F;VASANDER H;SCHLOTER M;COMBE J;GROSVERNIER P;HARMS H;EPRON D;GILBERT D;MITCHELL E","PEATLANDS ARE ECOSYSTEMS OF EXCEPTIONAL CONSERVATION VALUE BECAUSE OF THEIR BEAUTY, BIODIVERSITY, IMPORTANCE IN GLOBAL GEOCHEMICAL CYCLES, AND THE PALEOENVIRONMENTAL RECORDS THEY PRESERVE. COMMERCIAL EXTRACTION AND DRAINAGE FOR FORESTRY OR AGRICULTURE HAVE CAUSED THE DESTRUCTION OF MANY PEATLANDS, ESPECIALLY IN OR CLOSE TO URBAN AREAS OF THE NORTHERN TEMPERATE ZONE. ARE THESE COMMERCIAL AND ENVIRONMENTAL INTERESTS IRRECONCILABLE? A CLOSE ANALYSIS SUGGESTS THAT LIMITED PEAT EXTRACTION MAY ACTUALLY INCREASE BIODIVERSITY IN SOME CASES, AND MAY BE SUSTAINABLE OVER THE LONG TERM. AS WE LEARN MORE ABOUT HOW PEATLANDS SPONTANEOUSLY REGENERATE FOLLOWING DISTURBANCE, AND WHAT CONDITIONS GOVERN THE RE-ESTABLISHMENT OF A DIVERSE COMMUNITY AND THE ABILITY TO SEQUESTER CARBON, WE INCREASE OUR CHANCES OF BEING ABLE TO RESTORE DAMAGED PEATLANDS. PRESERVING THE CHRONOLOGICAL RECORDS HIDDEN IN THE PEAT PROFILE, THE NATURAL HERITAGE VALUE OF PEATLANDS, AND THE BULK OF SEQUESTERED CARBON, HOWEVER, WILL REMAIN INCOMPATIBLE WITH ANY FORM OF EXPLOITATION.","EXPLOITATION OF NORTHERN PEATLANDS AND BIODIVERSITY MAINTENANCE: A CONFLICT BETWEEN ECONOMY AND ECOLOGY","FRONTIERS IN ECOLOGY AND THE ENVIRONMENT","REVIEW","DEC",2003,"10.1890/1540-9295(2003)001[0525:EONPAB]2.0.CO;2","ECOLOGY; ENVIRONMENTAL SCIENCES","WOS:000221791700013"
"10","SHAO YY, 2012, ENERGIES","SHAO YY;WANG JS;PRETO F;ZHU J;XU CB","THIS PAPER PRESENTS A CONCISE OVERVIEW OF ASH DEPOSITION IN COMBUSTION OR CO-FIRING OF BIOMASS (WOODY BIOMASS, AGRICULTURAL RESIDUES, PEAT, ETC.) WITH OTHER FUELS FOR POWER/HEAT GENERATION. IN THIS ARTICLE, THE FOLLOWING FIVE RESEARCH ASPECTS ON BIOMASS COMBUSTION ASH DEPOSITION ARE REVIEWED AND DISCUSSED: INFLUENCE OF BIOMASS FUEL CHARACTERISTICS, DEPOSIT-RELATED CHALLENGES, ASH DEPOSITION MONITORING AND ANALYSIS OF ASH DEPOSITS, MECHANISMS AND CHEMISTRY OF FLY ASH DEPOSITION, AND KEY TECHNOLOGIES FOR REDUCING ASH DEPOSITION AND CORROSION IN BIOMASS-INVOLVED COMBUSTION.","ASH DEPOSITION IN BIOMASS COMBUSTION OR CO-FIRING FOR POWER/HEAT GENERATION","ENERGIES","REVIEW","DEC",2012,"10.3390/en5125171","ENERGY & FUELS","WOS:000312607000015"
