"","grp","label"
"1",1,"LONG-TERM AGRICULTURAL DRAINAGE STIMULATES CH4 EMISSIONS FROM DITCHES THROUGH INCREASED SUBSTRATE AVAILABILITY IN A BOREAL PEATLAND"
"2",1,"THE EFFECT OF WATER SUPPLY OF SEEDLINGS CULTIVATED IN DIFFERENT SUBSTRATES AND RASING SYSTEMS ON THE BIO-MORPHOLOGICAL AND PLANT-PHYSIOLOGICAL PARAMETERS OF LETTUCE"
"3",1,"DENITRIFICATION VARIABILITY AND CONTROL IN A RIPARIAN FEN IRRIGATED WITH AGRICULTURAL DRAINAGE WATER"
"4",1,"THE IMPACT OF MAP AND DATA RESOLUTION ON THE DETERMINATION OF THE AGRICULTURAL UTILISATION OF ORGANIC SOILS IN GERMANY"
"5",1,"PLANT COMMUNITY DEVELOPMENT AND PEAT STRATEGY IN FORESTED FENS IN RESPONSE TO GROUND-WATER FLOW SYSTEMS"
"6",1,"PEATLAND FRAGMENTS OF SOUTHERN QUEBEC: RECENT EVOLUTION OF THEIR VEGETATION STRUCTURE"
"7",1,"MULTI-SUBSTRATE INDUCED RESPIRATION (FUNCTIONAL CAPACITY) IN AGRICULTURALLY DEGRADED AND INTACT RESTIAD BOGS: IMPLICATIONS FOR CARBON AND NITROGEN CYCLING"
"8",1,"THE INFLUENCE OF ANTHROPOGENIC LAND USE ON FINNISH PEATLAND AREA AND CARBON STORES 1950-2015"
"9",1,"THE RESPONSE OF MICROBIAL COMMUNITIES TO PEATLAND DRAINAGE AND REWETTING. A REVIEW"
"10",1,"APPLICATION OF FIELD MONITORING SYSTEM AND CLIMATIC WATER BALANCE ANALYSIS OF AGRICULTURE ON PEATLANDS"
"11",1,"MULCH DECOMPOSITION IMPEDES RECOVERY OF NET CARBON SINK FUNCTION IN A RESTORED PEATLAND"
"12",1,"RESTORATION OF RAISED BOGS-LAND-USE HISTORY DETERMINES THE COMPOSITION OF DRAGONFLY ASSEMBLAGES"
"13",1,"DRAINED ORGANIC SOILS UNDER AGRICULTURE - THE MORE DEGRADED THE SOIL THE HIGHER THE SPECIFIC BASAL RESPIRATION"
"14",1,"GROWTH-KINETICS OF RHODOTORULA-RUBRA ON DIFFERENT SUBSTRATES"
"15",1,"VEGETATION RECOVERY AFTER MULTIPLE-SITE EXPERIMENTAL FEN RESTORATIONS"
"16",2,"SURFACE ENERGY EXCHANGE IN PRISTINE AND MANAGED BOREAL PEATLANDS"
"17",2,"ANIMAL AND VEGETATION PATTERNS IN NATURAL AND MAN-MADE BOG POOLS: IMPLICATIONS FOR RESTORATION"
"18",2,"PHENOTYPIC EVALUATION AND GENETIC PROFILING OF SHALLOT GENOTYPES ADAPTED TO PEATLAND OF SOUTH KALIMANTAN USING SIMPLE SEQUENCE REPEAT (SSR) MARKERS"
"19",2,"RESTORING NATURAL SEEPAGE CONDITIONS ON FORMER AGRICULTURAL GRASSLANDS DOES NOT LEAD TO REDUCTION OF ORGANIC MATTER DECOMPOSITION AND SOIL NUTRIENT DYNAMICS"
"20",2,"DEVELOPMENT OF FINNISH PEATLAND AREA AND CARBON STORAGE 1950-2000"
"21",2,"IS REWETTING ENOUGH TO RECOVER SPHAGNUM AND ASSOCIATED PEAT-ACCUMULATING SPECIES IN TRADITIONALLY EXPLOITED BOGS?"
"22",2,"INFLUENCE OF DRAINAGE ON PEAT ORGANIC MATTER: IMPLICATIONS FOR DEVELOPMENT, STABILITY, AND TRANSFORMATION"
"23",2,"TRACE ELEMENTS ADSORPTION FROM SOLUTIONS AND ACID MINE DRAINAGE USING AGRICULTURAL BY-PRODUCTS"
"24",2,"THE FUTURE OF COOL TEMPERATE BOGS"
"25",2,"MEASUREMENT AND MODELING OF SOIL-WATER DYNAMICS AND EVAPOTRANSPIRATION OF DRAINED PEATLAND SOILS"
"26",2,"TRANSFORMATION OF FEN PEAT SOILS AS THE RESULT OF DRAINAGE AND AGRICULTURAL USE IN THE SUPRASL DOLNA SITE, NE POLAND"
"27",2,"INFERRING WATER TABLE DEPTH DYNAMICS FROM ENVISAT-ASAR C-BAND BACKSCATTER OVER A RANGE OF PEATLANDS FROM DEEPLY-DRAINED TO NATURAL CONDITIONS"
"28",2,"ARTIFICIAL DRAINAGE OF PEATLANDS: HYDROLOGICAL AND HYDROCHEMICAL PROCESS AND WETLAND RESTORATION"
"29",2,"RECENT GRAY BIRCH (BETULA POPULIFOLIA) ENCROACHMENT IN TEMPERATE PEATLANDS OF EASTERN NORTH AMERICA"
"30",2,"PALUDICULTURE ON FORMER BOG GRASSLAND: PROFITABILITY OF SPHAGNUM FARMING IN NORTH WEST GERMANY"
"31",3,"FARM-LEVEL ASSESSMENT OF CO2 AND N2O EMISSIONS IN LOWER SAXONY AND COMPARISON OF IMPLEMENTATION POTENTIALS FOR MITIGATION MEASURES IN GERMANY AND ENGLAND"
