"","grp","label"
"1",1,"GLOBAL CARBON CYCLE PERTURBATION ACROSS THE EOCENE-OLIGOCENE CLIMATE TRANSITION"
"2",1,"VEGETATION PATTERN AND TERRESTRIAL CARBON VARIATION IN PAST WARM AND COLD CLIMATES"
"3",1,"FORECASTING RESPONSES OF A NORTHERN PEATLAND CARBON CYCLE TO ELEVATED CO2 AND A GRADIENT OF EXPERIMENTAL WARMING"
"4",1,"DISAPPEARING PEAT REGENERATING PEAT - THE IMPACT OF CLIMATE-CHANGE ON BRITISH PEATLANDS"
"5",1,"HURRICANE DISTURBANCE AND RECOVERY OF ENERGY BALANCE, CO2 FLUXES AND CANOPY STRUCTURE IN A MANGROVE FOREST OF THE FLORIDA EVERGLADES"
"6",1,"STUDY OF THE CORRELATION BETWEEN FENGYCIN PROMOTER EXPRESSION AND ITS PRODUCTION BY BACILLUS SUBTILIS UNDER DIFFERENT CULTURE CONDITIONS AND THE IMPACT ON SURFACTIN PRODUCTION"
"7",1,"PALADYN V1.0, A COMPREHENSIVE LAND SURFACE-VEGETATION-CARBON CYCLE MODEL OF INTERMEDIATE COMPLEXITY"
"8",1,"EFFECTS OF CARBON SOURCE AND CONCENTRATION ON DEVELOPMENT OF LINGONBERRY (VACCINIUM VITIS-IDAEA L.) SHOOTS CULTIVATED IN VITRO FROM NODAL EXPLANTS"
"9",1,"MYCELIAL GROWTH REQUIREMENTS OF LACTARIUS PYROGALUS AND LACTARIUS CONTROVERSUS"
"10",1,"RAPID EXPANSION OF NORTHERN PEATLANDS AND DOUBLED ESTIMATE OF CARBON STORAGE"
"11",1,"RAIN EVENTS DECREASE BOREAL PEATLAND NET CO2 UPTAKE THROUGH REDUCED LIGHT AVAILABILITY"
"12",1,"CLIMATE-RELATED CHANGES IN PEATLAND CARBON ACCUMULATION DURING THE LAST MILLENNIUM"
"13",1,"STUDYING THE IMPACT OF LIVING ROOTS ON THE DECOMPOSITION OF SOIL ORGANIC MATTER IN TWO DIFFERENT FORESTRY-DRAINED PEATLANDS"
"14",1,"SEQUESTER OR SUBSTITUTE-CONSEQUENCES OF INCREASED PRODUCTION OF WOOD BASED ENERGY ON THE CARBON BALANCE IN FINLAND"
