"","grp","label"
"1",1,"CLIMATE CHANGE REDUCES THE CAPACITY OF NORTHERN PEATLANDS TO ABSORB THE ATMOSPHERIC CARBON DIOXIDE: THE DIFFERENT RESPONSES OF BOGS AND FENS"
"2",1,"KEY PERIODS OF PEATLAND DEVELOPMENT AND ENVIRONMENTAL CHANGES IN THE MIDDLE TAIGA ZONE OF WESTERN SIBERIA DURING THE HOLOCENE"
"3",1,"PEATLAND MICROBIAL COMMUNITIES AND DECOMPOSITION PROCESSES IN THE JAMES BAY LOWLANDS, CANADA"
"4",1,"SIMULATING THE CARBON CYCLING OF NORTHERN PEAT LANDS USING A LAND SURFACE SCHEME COUPLED TO A WETLAND CARBON MODEL (CLASS3W-MWM)"
"5",1,"CLIMATE CHANGE EFFECTS ON CARBON AND NITROGEN MINERALIZATION IN PEATLANDS THROUGH CHANGES IN SOIL QUALITY"
"6",1,"CLIMATICALLY INDUCED TEMPERATURE INSTABILITY OF GROUNDWATER-DEPENDENT HABITATS WILL SUPPRESS COLD-ADAPTED CLITELLATA SPECIES"
"7",1,"VULNERABILITY OF MIRES UNDER CLIMATE CHANGE: IMPLICATIONS FOR NATURE CONSERVATION AND CLIMATE CHANGE ADAPTATION"
"8",1,"THE VEGETATIONAL ECOLOGY OF BLACK SPRUCE SWAMPS, FENS, AND BOGS IN SOUTHERN BOREAL MANITOBA, CANADA"
"9",1,"SCALE DEPENDENCE OF TEMPERATURE AS AN ABIOTIC DRIVER OF SPECIES' DISTRIBUTIONS"
"10",1,"CLIMATE-DRIVEN FLUSHING OF PORE-WATER IN PEATLANDS"
"11",1,"LOW IMPACT OF DRY CONDITIONS ON THE CO2 EXCHANGE OF A NORTHERN-NORWEGIAN BLANKET BOG"
"12",1,"RESPONSES OF PEATLAND VEGETATION TO 15-YEAR WATER LEVEL DRAWDOWN AS MEDIATED BY FERTILITY LEVEL"
"13",1,"IDENTIFICATION OF OMBROTROPHIC BOGS IN THE CATSKILL MOUNTAINS, NY BY GEOCHEMICAL AND ISOTOPIC METHODS"
"14",1,"DYNAMICS OF DISSOLVED ORGANIC CARBON IN THE MIRES IN THE SANJIANG PLAIN, NORTHEAST CHINA"
"15",1,"WARMING IMPACTS ON BOREAL FEN CO2 EXCHANGE UNDER WET AND DRY CONDITIONS"
"16",2,"TRADE-OFFS IN RESOURCE ALLOCATION AMONG MOSS SPECIES CONTROL DECOMPOSITION IN BOREAL PEATLANDS"
"17",2,"MODELING CO2 AND CH4 FLUX CHANGES IN PRISTINE PEATLANDS OF FINLAND UNDER CHANGING CLIMATE CONDITIONS"
"18",2,"A COMBINED POLLEN AND DELTA O-18(SPHAGNUM) RECORD OF MID-HOLOCENE CLIMATE VARIABILITY FROM DURRES MAAR (EIFEL, GERMANY)"
"19",2,"A CARBON BALANCE OF NORWAY: TERRESTRIAL AND AQUATIC CARBON FLUXES"
"20",2,"HYDROLOGIC CONTROLS ON WATER CHEMISTRY, VEGETATION AND ECOLOGICAL PATTERNS IN TWO MIRES IN THE SOUTH-EASTERN ALPS (ITALY)"
"21",2,"INTEGRATING LATERAL EXPANSION INTO MODELS OF PEATLAND DEVELOPMENT IN TEMPERATE NEW ENGLAND"
"22",2,"VEGETATION CONTROLS METHANE EMISSIONS IN A COASTAL BRACKISH FEN"
"23",2,"POTENTIAL FOR EXTREME LOSS IN HIGH-LATITUDE EARTH SURFACE PROCESSES DUE TO CLIMATE CHANGE"
"24",2,"HIGH-RESOLUTION PALYNOLOGY, CLIMATE CHANGE AND HUMAN IMPACT ON A LATE HOLOCENE PEAT BOG ON HAIDA GWAII, BRITISH COLUMBIA, CANADA"
"25",2,"SEASONAL ICE AND HYDROLOGIC CONTROLS ON DISSOLVED ORGANIC CARBON AND NITROGEN CONCENTRATIONS IN A BOREAL-RICH FEN"
