"","grp","label"
"1",1,"BUTTERFLY (LEPIDOPTERA : LYCAENIDAE, NYMPHALIDAE, AND SATYRIDAE) FAUNAS OF THREE PEATLAND HABITAT TYPES IN THE LAKE SUPERIOR DRAINAGE BASIN OF WISCONSIN"
"2",1,"THE VALUE OF OPEN POWER LINE HABITAT IN CONSERVATION OF GROUND BEETLES (COLEOPTERA : CARABIDAE) ASSOCIATED WITH MIRES"
"3",1,"NITROGEN REGIME OF DRAINED PEATY SOILS"
"4",1,"INCREASING AND DECREASING NITROGEN AND PHOSPHORUS TRENDS IN RUNOFF FROM DRAINED PEATLAND FORESTS-IS THERE A LEGACY EFFECT OF DRAINAGE OR NOT?"
"5",1,"LOCAL AND REGIONAL IMPACT OF ANTHROPOGENIC DRAINAGE ON FEN CONTIGUITY"
"6",1,"METHANE EMISSIONS FROM A PEATLAND FOLLOWING RESTORATION"
"7",1,"VEGETATIONAL RESPONSE TO HUMAN COLONISATION OF THE COASTAL AND VOLCANIC ENVIRONMENTS OF KETILSSTADIR, SOUTHERN ICELAND"
"8",1,"THE TRANSPORT DYNAMICS OF CHLORIDE AND SODIUM IN A LADDER FEN DURING A CONTINUOUS WASTEWATER POLISHING EXPERIMENT"
"9",1,"EXPERIMENTAL HYDROLOGICAL FORCING TO ILLUSTRATE WATER FLOW PROCESSES OF A SUBARCTIC LADDER FEN PEATLAND"
"10",1,"HYDROLOGICAL PROCESSES IN ABANDONED AND RESTORED PEATLANDS: AN OVERVIEW OF MANAGEMENT APPROACHES"
"11",1,"THE GEOLOGY OF THE AMSTEL RIVER IN AMSTERDAM (NETHERLANDS): MAN VERSUS NATURE"
"12",1,"SEASONAL METHANE DYNAMICS IN THREE TEMPERATE GRASSLANDS ON PEAT"
"13",1,"ANALYSIS OF AIRBORNE LIDAR SURVEYS TO QUANTIFY THE CHARACTERISTIC MORPHOLOGIES OF NORTHERN FORESTED WETLANDS"
"14",1,"SIZE DISTRIBUTION, SURFACE COVERAGE, WATER, CARBON, AND METAL STORAGE OF THERMOKARST LAKES IN THE PERMAFROST ZONE OF THE WESTERN SIBERIA LOWLAND"
"15",1,"VEGETATION HETEROGENEITY AND DITCHES CREATE SPATIAL VARIABILITY IN METHANE FLUXES FROM PEATLANDS DRAINED FOR FORESTRY"
"16",2,"BIOGEOCHEMICAL EFFECTS OF SEAWATER RESTORATION TO DIKED SALT MARSHES"
"17",2,"THE RESPONSE OF MICROBIAL COMMUNITIES TO PEATLAND DRAINAGE AND REWETTING. A REVIEW"
"18",2,"MECHANISMS OF N2O AND NO PRODUCTION IN THE SOIL PROFILE OF A DRAINED AND FORESTED PEATLAND, AS STUDIED WITH ACETYLENE, NITRAPYRIN AND DIMETHYL ETHER"
"19",2,"CONTRASTING EFFECTS OF WOOD ASH APPLICATION ON MICROBIAL COMMUNITY STRUCTURE, BIOMASS AND PROCESSES IN DRAINED FORESTED PEATLANDS"
"20",2,"THE CLIMATE WARMING EFFECT OF A FEN PEAT MEADOW WITH FLUCTUATING WATER TABLE IS REDUCED BY YOUNG ALDER TREES"
"21",2,"SPECIES-RICH GRASSLAND CAN PERSIST UNDER NITROGEN-RICH BUT PHOSPHORUS-LIMITED CONDITIONS"
"22",2,"MULTIYEAR GREENHOUSE GAS FLUX MEASUREMENTS ON A TEMPERATE FEN SOIL USED FOR CROPLAND OR GRASSLAND"
"23",2,"TROPHIC STABILITY IN AN IRISH MESOTROPHIC LAKE: LOUGH MELVIN"
"24",2,"TOWARDS UNDERSTANDING ORGANIC MATTER FLUXES AND REACTIVITY IN SURFACE WATERS: FILTERING IMPACT ON DOC AND POC DEGRADATION"
"25",2,"MEASUREMENT OF AMORPHOUS PEAT SHEAR STRENGTH IN THE DIRECT SHEAR BOX AT HIGH DISPLACEMENT RATES"
"26",2,"INFLUENCE OF WATER TABLE DEPTH ON PORE WATER CHEMISTRY AND TRIHALOMETHANE FORMATION POTENTIAL IN PEATLANDS"
"27",2,"ADVANCES IN CANADIAN FOREST HYDROLOGY, 1995-1998"
"28",2,"MOBILIZATION PATHWAYS OF ORGANIC CARBON FROM PERMAFROST TO ARCTIC RIVERS IN A CHANGING CLIMATE"
"29",2,"EFFECTS OF BIOCHAR ON CH4 EMISSION WITH STRAW APPLICATION ON PADDY SOIL"
"30",2,"ADSORPTION OF ORGANIC MACROMOLECULES BY GRANULAR ACTIVATED CARBON .2. INFLUENCE OF DISSOLVED OXYGEN"
"31",3,"MOISTURE DYNAMICS AND HYDROPHYSICAL PROPERTIES OF A TRANSPLANTED ACROTELM ON A CUTOVER PEATLAND"
"32",3,"INCUBATION SUCCESS OF BROWN TROUT (SALMO TRUTTA) EGGS IN BOREAL HUMIC RIVERS AFFECTED BY PEATLAND DRAINAGE"
"33",3,"TOWARDS A CONCEPTUAL MODEL OF HYDROLOGICAL CHANGE ON AN ABANDONED CUTOVER BOG, QUEBEC"
"34",3,"RESERVES OF SOIL NITROGEN IN DRAINED PEAT SOILS OF THE EUROPEAN NORTH AND THEIR NEED IN NITRIC FERTILIZERS"
"35",3,"ANNUAL EMISSIONS OF CO2, CH4 AND N2O FROM A TEMPERATE PEAT BOG: COMPARISON OF AN UNDRAINED AND FOUR DRAINED SITES UNDER PERMANENT GRASS AND ARABLE CROP ROTATIONS WITH CEREALS AND POTATO"
"36",3,"ENZYME ACTIVITIES IN CONSTRUCTED WETLANDS: IMPLICATION FOR WATER QUALITY AMELIORATION"
"37",3,"VOLATILE EMISSIONS FROM THAWING PERMAFROST SOILS ARE INFLUENCED BY MELTWATER DRAINAGE CONDITIONS"
"38",3,"DOWNSTREAM CHANGES IN MOLECULAR COMPOSITION OF DOM ALONG A HEADWATER STREAM IN THE HARZ MOUNTAINS (CENTRAL GERMANY) AS DETERMINED BY FTIR, PYROLYSIS-GC MS AND THM-GC MS"
"39",3,"A MODEL TO PREDICT LAKE WATER COLOR"
"40",3,"WATER RELATIONS OF BLACK SPRUCE TREES ON A PEATLAND DURING WET AND DRY YEARS"
"41",3,"MODELLING CO2 AND CH4 EMISSIONS FROM DRAINED PEATLANDS WITH GRASS CULTIVATION BY THE BASGRA-BGC MODEL"
"42",3,"EFFECTS OF SULFATE DEPOSITION ON PORE WATER DISSOLVED ORGANIC CARBON, NUTRIENTS, AND MICROBIAL ENZYME ACTIVITIES IN A NORTHERN PEATLAND"
"43",3,"LATERAL CARBON EXPORTS FROM DRAINED PEATLANDS: AN UNDERSTUDIED CARBON PATHWAY IN THE SACRAMENTO-SAN JOAQUIN DELTA, CALIFORNIA"
"44",3,"NITROGEN FERTILIZATION HAD NO EFFECT ON CH4 AND N2O EMISSIONS IN RICE PLANTED IN REWETTED PEATLANDS"
"45",3,"RECENT INCREASE IN PEATLAND CARBON ACCUMULATION IN A THERMOKARST LAKE BASIN IN SOUTHWESTERN ALASKA"
"46",4,"DIURNAL DYNAMICS OF THE MICROBIAL LOOP IN PEATLANDS: STRUCTURE, FUNCTION AND RELATIONSHIP TO ENVIRONMENTAL PARAMETERS"
"47",4,"THE BOG BARONS"
"48",4,"DECHLORINATION OF HEXACHLOROBENZENE IN TREATMENT MICROCOSM WETLANDS"
"49",4,"BIOGEOCHEMICAL IMPACTS OF CLEARFELLING AND REFORESTATION ON BLANKET-PEATLAND STREAMS - II. MAJOR IONS AND DISSOLVED ORGANIC CARBON"
"50",4,"BIOGEOCHEMICAL EFFECTS OF SIMULATED SEA LEVEL RISE ON CARBON LOSS IN AN EVERGLADES MANGROVE PEAT SOIL"
"51",4,"DIET CYCLES OF CARBON, NUTRIENT AND METAL IN HUMIC LAKES OF PERMAFROST PEATLANDS"
"52",4,"GEOMORPHIC, SEDIMENTARY, AND POTENTIAL PALAEOENVIRONMENTAL SIGNIFICANCE OF PEAT BLOCKS IN ALLUVIAL RIVER SYSTEMS"
"53",4,"RAPID NUTRIENT RELEASE FROM PERMAFROST THAW IN ARCTIC AQUATIC ECOSYSTEMS"
"54",4,"THE EFFECTS OF FLOODING ON THE SPATIAL ECOLOGY OF SPOTTED TURTLES (CLEMMYS GUTTATA) IN A PARTIALLY MINED PEATLAND"
"55",4,"DYNAMIC C AND N STOCKS - KEY FACTORS CONTROLLING THE C GAS EXCHANGE OF MAIZE IN HETEROGENOUS PEATLAND"
"56",4,"TEMPERATURE AND MICROBIAL ACTIVITY EFFECTS ON TRACE ELEMENT LEACHING FROM METALLIFEROUS PEATS"
"57",4,"THE DYNAMIC FORM OF RAINWATER LENSES IN DRAINED FENS"
"58",4,"HIGH NET CO2 AND CH4 RELEASE AT A EUTROPHIC SHALLOW LAKE ON A FORMERLY DRAINED FEN"
