"","grp","label"
"1",1,"UNDRAINED PEATLAND AREAS DISTURBED BY SURROUNDING DRAINAGE: A LARGE SCALE GIS ANALYSIS IN FINLAND WITH A SPECIAL FOCUS ON AAPA MIRES"
"2",1,"SOIL-ATMOSPHERE CO2, CH4 AND N2O FLUXES IN BOREAL FORESTRY-DRAINED PEATLANDS"
"3",1,"HOW SUSTAINABLE IS THE USE OF PEAT FOR COMMERCIAL ENERGY PRODUCTION?"
"4",1,"INCREASING AND DECREASING NITROGEN AND PHOSPHORUS TRENDS IN RUNOFF FROM DRAINED PEATLAND FORESTS-IS THERE A LEGACY EFFECT OF DRAINAGE OR NOT?"
"5",1,"STORAGE TIME AND AMENDMENTS AFFECT PINE TREE SUBSTRATE PROPERTIES AND MARIGOLD GROWTH"
"6",1,"MIXTURES OF PAPER MILL SLUDGE, WOOD CHIPS, BARK, AND PEAT IN SUBSTRATES FOR POT-IN-POT SHADE TREE PRODUCTION"
"7",1,"USE OF TURBIDITY MEASUREMENTS TO ESTIMATE SUSPENDED SOLIDS AND NUTRIENT LOADS FROM PEATLAND FORESTRY DRAINAGE"
"8",1,"IMPROVED SIMULATION OF POORLY DRAINED FORESTS USING BIOME-BGC"
"9",1,"WATER QUALITY MANAGEMENT DILEMMA: INCREASED NUTRIENT, CARBON, AND HEAVY METAL EXPORTS FROM FORESTRY-DRAINED PEATLANDS RESTORED FOR USE AS WETLAND BUFFER AREAS"
"10",1,"PERMAFROST THAW IN BOREAL PEATLANDS IS RAPIDLY ALTERING FOREST COMMUNITY COMPOSITION"
"11",1,"EROSION MECHANISMS AND SEDIMENT SOURCES IN A PEATLAND FOREST AFTER DITCH CLEANING"
"12",1,"TEMPORAL CHANGES IN METHANE OXIDIZING AND DENITRIFYING COMMUNITIES AND THEIR ACTIVITIES IN A DRAINED PEAT SOIL"
"13",1,"METHANE-CYCLING MICROBIAL COMMUNITIES AND METHANE EMISSION IN NATURAL AND RESTORED PEATLANDS"
"14",1,"WETTER IS BETTER: REWETTING OF MINEROTROPHIC PEATLANDS INCREASES PLANT PRODUCTION AND MOVES THEM TOWARDS CARBON SINKS IN A DRY YEAR"
"15",1,"THE HISTORY OF SCOTS PINE ENCROACHMENT AND RETREAT IN OMBROTROPHIC BOG RECORDED IN WOODY DEBRIS"
"16",2,"SHORT-TERM EFFECTS OF CHANGING WATER TABLE ON N2O FLUXES FROM PEAT MONOLITHS FROM NATURAL AND DRAINED BOREAL PEATLANDS"
"17",2,"A MIDDLE PENNSYLVANIAN (BOLSOVIAN) PEAT-FORMING FOREST PRESERVED IN SITU IN VOLCANIC ASH OF THE WHETSTONE HORIZON IN THE RADNICE BASIN, CZECH REPUBLIC"
"18",2,"LATERAL EXPANSION AND CARBON EXCHANGE OF A BOREAL PEATLAND IN FINLAND RESULTING IN 7000 YEARS OF POSITIVE RADIATIVE FORCING"
"19",2,"SOIL CARBON BALANCE OF AFFORESTED PEATLANDS IN THE MARITIME TEMPERATE CLIMATIC ZONE"
"20",2,"SOIL AND WATER NUTRIENTS IN STEM-ONLY AND WHOLE-TREE HARVEST TREATMENTS IN RESTORED BOREAL PEATLANDS"
"21",2,"MODELLING THE EFFECTS OF PERMAFROST LOSS ON DISCHARGE FROM A WETLAND-DOMINATED, DISCONTINUOUS PERMAFROST BASIN"
"22",2,"PLANT COMMUNITY DEVELOPMENT AND PEAT STRATEGY IN FORESTED FENS IN RESPONSE TO GROUND-WATER FLOW SYSTEMS"
"23",2,"THE SHORT-TERM EFFECTS OF MANAGEMENT CHANGES ON WATERTABLE POSITION AND NUTRIENTS IN SHALLOW GROUNDWATER IN A HARVESTED PEATLAND FOREST"
"24",2,"SUSPENDED SOLID YIELD FROM FOREST HARVESTING ON UPLAND BLANKET PEAT"
"25",2,"DISSOLVED ORGANIC CARBON EXPORT FROM HARVESTED PEATLAND FORESTS WITH DIFFERING SITE CHARACTERISTICS"
"26",2,"AFFORESTATION DOES NOT NECESSARILY REDUCE NITROUS OXIDE EMISSIONS FROM MANAGED BOREAL PEAT SOILS"
"27",2,"COULD CONTINUOUS COVER FORESTRY BE AN ECONOMICALLY AND ENVIRONMENTALLY FEASIBLE MANAGEMENT OPTION ON DRAINED BOREAL PEATLANDS?"
"28",2,"FOREST PEATLAND DRAINAGE AND SUBSIDENCE AFFECT SOIL WATER RETENTION AND TRANSPORT PROPERTIES IN AN ALBERTA PEATLAND"
"29",2,"IMPACT OF LONG-TERM DRAINAGE ON SUMMER GROUNDWATER FLOW PATTERNS IN THE MER BLEUE PEATLAND, ONTARIO, CANADA"
"30",2,"PEAT DECOMPOSABILITY IN MANAGED ORGANIC SOILS IN RELATION TO LAND USE, ORGANIC MATTER COMPOSITION AND TEMPERATURE"
"31",3,"ENVIRONMENTAL TRAITS DETERMINING PLANT SPECIES DISTRIBUTION IN SELECTED MIDFOREST BOGS"
"32",3,"WATER RELATIONS OF BLACK SPRUCE TREES ON A PEATLAND DURING WET AND DRY YEARS"
"33",3,"STABLE CARBON ISOTOPIC COMPOSITION OF PEAT COLUMNS, SUBSOIL AND VEGETATION ON NATURAL AND FORESTRY-DRAINED BOREAL PEATLANDS"
"34",3,"EFFECT OF PARTICLE SIZE DISTRIBUTION ON THE SELF-HARDENING PROPERTY OF BIOMASS-PEAT FLY ASH FROM A BUBBLING FLUIDIZED BED COMBUSTION"
