"","grp","label"
"1",1,"RADIOCARBON ANALYSIS REVEALS THAT VEGETATION FACILITATES THE RELEASE OF OLD METHANE IN A TEMPERATE RAISED BOG"
"2",1,"TEMPERATURE AND N-FERTILIZATION EFFECTS ON METHANE OXIDATION IN A DRAINED PEATLAND SOIL"
"3",1,"MOLECULAR MECHANISMS OF WATER TABLE LOWERING AND NITROGEN DEPOSITION IN AFFECTING GREENHOUSE GAS EMISSIONS FROM A TIBETAN ALPINE WETLAND"
"4",1,"METHANE OXIDATION, PRODUCTION, AND EMISSION AT CONTRASTING SITES IN A BOREAL BOG"
"5",1,"FIVE-YEAR MEASUREMENTS OF NET ECOSYSTEM CO2 EXCHANGE AT A FEN IN THE ZOIGE PEATLANDS ON THE QINGHAI-TIBETAN PLATEAU"
"6",1,"EFFECTS OF SOIL WARMING AND DRYING ON METHANE CYCLING IN A NORTHERN PEATLAND MESOCOSM STUDY"
"7",1,"ULTRA-DEEP PYROSEQUENCING OF PMOA AMPLICONS CONFIRMS THE PREVALENCE OF METHYLOMONAS AND METHYLOCYSTIS IN SPHAGNUM MOSSES FROM A DUTCH PEAT BOG"
"8",1,"DIURNAL VARIATIONS IN METHANE EMISSIONS FROM WEST SIBERIA PEATLANDS IN SUMMER"
"9",1,"TEMPERATURE-INDUCED INCREASE IN METHANE RELEASE FROM PEAT BOGS: A MESOCOSM EXPERIMENT"
"10",1,"MINLP MODEL FOR OPERATIONAL OPTIMIZATION OF LNG TERMINALS"
"11",1,"ECOSYSTEM CO2 AND CH4 EXCHANGE IN A MIXED TUNDRA AND A FEN WITHIN A HYDROLOGICALLY DIVERSE ARCTIC LANDSCAPE: 1. MODELING VERSUS MEASUREMENTS"
"12",1,"WINTER CO2, CH4 AND N2O FLUXES ON SOME NATURAL AND DRAINED BOREAL PEATLANDS"
"13",1,"CARBON DYNAMICS OF WETLAND IN THE SANJIANG PLAIN"
"14",1,"CO2 FLUXES FROM PEAT IN BOREAL MIRES UNDER VARYING TEMPERATURE AND MOISTURE CONDITIONS"
"15",1,"ASSESSING THE POTENTIAL FOR MOBILIZATION OF OLD SOIL CARBON AFTER PERMAFROST THAW: A SYNTHESIS OF C-14 MEASUREMENTS FROM THE NORTHERN PERMAFROST REGION"
"16",2,"DISTINCT ANAEROBIC BACTERIAL CONSUMERS OF CELLOBIOSE-DERIVED CARBON IN BOREAL FENS WITH DIFFERENT CO2/CH4 PRODUCTION RATIOS"
"17",2,"PROMPT REWETTING OF DRAINED PEATLANDS REDUCES CLIMATE WARMING DESPITE METHANE EMISSIONS"
"18",2,"WETLAND FLUX CONTROLS: HOW DOES INTERACTING WATER TABLE LEVELS AND TEMPERATURE INFLUENCE CARBON DIOXIDE AND METHANE FLUXES IN NORTHERN WISCONSIN?"
"19",2,"NORTHERN FENS - METHANE FLUX AND CLIMATIC-CHANGE"
