"","grp","label"
"1",1,"LATE HOLOCENE MINERAL PALSAS AND ASSOCIATED VEGETATION PATTERNS - A CASE-STUDY FROM LAC-HENDRY, NORTHERN QUEBEC, CANADA AND SIGNIFICANCE FOR EUROPEAN PLEISTOCENE THERMOKARST"
"2",1,"IMPROVED ESTIMATION OF WETLAND COVER IN THE WESTERN CANADIAN BOREAL FOREST"
"3",1,"METHANE METABOLISM IN RAISED BOGS OF NORTHERN WETLANDS"
"4",1,"SHIFTING GROUND: LANDSCAPE-SCALE MODELING OF BIOGEOCHEMICAL PROCESSES UNDER CLIMATE CHANGE IN THE FLORIDA EVERGLADES"
"5",1,"EFFECTS OF CLIMATE CHANGE ON PEATLANDS IN THE FAR NORTH OF ONTARIO, CANADA: A SYNTHESIS"
"6",1,"DIVERSE SEDIMENT PERMEABILITY AND IMPLICATIONS FOR GROUNDWATER EXCHANGE IN CLOSED LAKE-WETLAND CATCHMENTS (WEST POLESIE, EAST POLAND)"
"7",1,"CAN PHOSPHORUS FERTILIZERS SPARINGLY SOLUBLE IN WATER DECREASE PHOSPHORUS LEACHING LOSS FROM AN ACID PEAT SOIL?"
"8",1,"HYDROGEOLOGICAL CHARACTERIZATION OF AN ALTERED WETLAND"
"9",1,"MID- AND LATE-HOLOCENE ENVIRONMENTAL CHANGE IN WESTERN IRELAND: NEW EVIDENCE FROM COASTAL PEATS AND FOSSIL TIMBERS WITH PARTICULAR REFERENCE TO RELATIVE SEA-LEVEL CHANGE"
"10",1,"REGULAR SURFACE PATTERNING OF PEATLANDS: CONFRONTING THEORY WITH FIELD DATA"
"11",1,"NITROGEN REMOVAL AND GREENHOUSE GAS FLUXES FROM INTEGRATED BUFFER ZONES TREATING AGRICULTURAL DRAINAGE WATER"
"12",1,"DROUGHT-INDUCED CARBON LOSS IN PEATLANDS"
"13",1,"LEACHING AND SURFACE RUNOFF AFTER FALL APPLICATION OF FUNGICIDES ON PUTTING GREENS"
"14",1,"GROUNDWATER DYNAMICS AT THE HILLSLOPE-RIPARIAN INTERFACE IN A YEAR WITH EXTREME WINTER RAINFALL"
"15",1,"CONTROLS ON PLOT-SCALE EVAPOTRANSPIRATION FROM A CONSTRUCTED FEN IN THE ATHABASCA OIL SANDS REGION, ALBERTA"
"16",2,"RESILIENCE OF THE SORPTION CAPACITY OF SOIL ORGANIC MATTER DURING DRYING-WETTING CYCLE"
"17",2,"METHANE EMISSIONS FROM WESTERN SIBERIAN WETLANDS: HETEROGENEITY AND SENSITIVITY TO CLIMATE CHANGE"
"18",2,"ESTIMATION OF NUTRIENT LIMITATION OF BACTERIAL ACTIVITY IN TEMPERATE ALKALINE FEN SEDIMENTS FROM CEDAR BOG"
"19",2,"EFFECT OF THE WATER-SATURATED SEDIMENT LAYER ON RECORDING SEISMIC SIGNALS WITH A BOTTOM SEISMOMETER"
"20",2,"THE EFFECTS OF INFRARED LOADING AND WATER TABLE ON SOIL ENERGY FLUXES IN NORTHERN PEATLANDS"
"21",2,"APPLICATION OF A GEOMORPHIC AND TEMPORAL PERSPECTIVE TO WETLAND MANAGEMENT IN NORTH AMERICA"
"22",2,"MODELLING LONG-TERM PEATLAND DYNAMICS. I. CONCEPTS, REVIEW, AND PROPOSED DESIGN"
"23",2,"EFFECT OF ADDED ORGANIC SUBSTRATES ON REDUCTION IN A SOIL FROM THE MAPUTALAND COASTAL PLAIN"
"24",2,"A NEW CLIMATE NOWCASTING TOOL BASED ON PALEOCLIMATIC DATA"
"25",2,"MODELING HYDROLOGY AND SILICON-CARBON INTERACTIONS IN TAIGA AND TUNDRA BIOMES FROM A LANDSCAPE PERSPECTIVE: IMPLICATIONS FOR GLOBAL WARMING FEEDBACKS"
"26",2,"ARSENIC MOBILITY IN GROUNDWATER/SURFACE WATER SYSTEMS IN CARBONATE-RICH PLEISTOCENE GLACIAL DRIFT AQUIFERS (MICHIGAN)"
"27",2,"BIOGEOCHEMICAL PROCESSES IN THE SOIL-GROUNDWATER SYSTEM OF A FOREST-PEATLAND COMPLEX, NORTH COAST BRITISH COLUMBIA, CANADA"
"28",2,"SEASONAL DYNAMICS IN THE COMMUNITY STRUCTURE AND TROPHIC STRUCTURE OF TESTATE AMOEBAE INHABITING THE SANJIANG PEATLANDS, NORTHEAST CHINA"
"29",2,"A STUDY OF THE OXYGEN REGIME AND ROOTING DEPTH IN DEEP PEAT UNDER PLANTATIONS OF SITKA SPRUCE AND LODGEPOLE PINE"
"30",2,"ELEMENTAL AND ISOTOPIC CARBON AND NITROGEN RECORDS OF ORGANIC MATTER ACCUMULATION IN A HOLOCENE PERMAFROST PEAT SEQUENCE IN THE EAST EUROPEAN RUSSIAN ARCTIC"
"31",3,"HOLOCENE VEGETATION AND HYDROCLIMATIC DYNAMICS IN SE LITHUANIA -IMPLICATIONS FROM A MULTI-PROXY STUDY OF THE CEPKELIAI BOG"
"32",3,"AUTOMATED EBB-AND-FLOW SUBIRRIGATION CONSERVES WATER AND ENHANCES CITRUS LINER GROWTH COMPARED TO CAPILLARY MAT AND OVERHEAD IRRIGATION METHODS"
"33",3,"LATE HOLOCENE ECOHYDROLOGICAL AND CARBON DYNAMICS OF A UK RAISED BOG: IMPACT OF HUMAN ACTIVITY AND CLIMATE CHANGE"
"34",3,"A PALEOECOLOGICAL PERSPECTIVE OF VEGETATION SUCCESSION ON RAISED BOG MICROFORMS"
"35",4,"VEGETATION REGENERATION ON BLANKET MIRE AFTER MECHANIZED PEAT-CUTTING"
"36",4,"TOWARDS QUANTIFYING THE NEGATIVE FEEDBACK REGULATION OF PEATLAND EVAPORATION TO DROUGHT"
"37",4,"RADIOCARBON SPECIATION AND DISTRIBUTION IN AN AQUIFER PLUME AND GROUNDWATER DISCHARGE AREA, CHALK RIVER, ONTARIO"
"38",4,"SEASONAL THERMAL ECOLOGY OF BOG TURTLES (GLYPTEMYS MUHLENBERGII) IN SOUTHWESTERN VIRGINIA"
"39",4,"SWEDEN'S FIRST FOREST HYDROLOGY FIELD STUDY 1905-1926: CONTEMPORARY RELEVANCE OF INHERITED CONCLUSIONS AND DATA FROM THE ROKLIDEN HILLSLOPE"
"40",4,"PALAEOECOLOGY OF SPHAGNUM RIPARIUM (ANGSTROM) IN NORTHERN HEMISPHERE PEATLANDS: IMPLICATIONS FOR PEATLAND CONSERVATION AND PALAEOECOLOGICAL RESEARCH"
"41",4,"ENVIRONMENTAL CONDITIONS AND FEN VEGETATION IN THREE LOWLAND MIRES"
"42",4,"WATER TABLE RELATED VARIATIONS IN THE ABUNDANCE OF INTACT ARCHAEAL MEMBRANE LIPIDS IN A SWEDISH PEAT BOG"
"43",4,"TESTING THE CLIMATE SENSITIVITY OF PEAT-BASED PALEOCLIMATE RECONSTRUCTIONS IN MID-CONTINENTAL NORTH AMERICA"
"44",4,"TRANSIENT MODELLING OF WATER-TABLE VARIATION IN A FLOODPLAIN WETLAND, NARBOROUGH BOG, LEICESTERSHIRE"
"45",4,"RESPONSE SURFACES OF PLANT SPECIES ALONG WATER-TABLE DEPTH AND PH GRADIENTS IN A POOR MIRE ON THE SOUTHERN ALPS (ITALY)"
"46",4,"THEORY AND PRACTICE OF HYDROSTATIC LYSIMETERS FOR DIRECT MEASUREMENT OF NET SEEPAGE IN A PATTERNED MIRE IN NORTH SCOTLAND"
"47",4,"SMALL CHANGES IN WATER LEVELS AND GROUNDWATER NUTRIENTS ALTER NITROGEN AND CARBON PROCESSING IN DUNE SLACK SOILS"
"48",4,"PEAT MULTI-PROXY DATA FROM MANNIKJARVE BOG AS INDICATORS OF LATE HOLOCENE CLIMATE CHANGES IN ESTONIA"
"49",4,"GROUND PENETRATING RADAR AND SPRING FORMATION IN A GROUNDWATER DOMINATED PEAT WETLAND"
"50",5,"WETLANDS OF THE VOLHYNIAN POLISSIA (WESTERN UKRAINE): CLASSIFICATION, NATURAL CONDITIONS OF DISTRIBUTION AND SPATIAL DIFFERENCE"
"51",5,"LANDSCAPE CONTROL OF WATER CHEMISTRY IN NORTHERN BOREAL STREAMS OF ALBERTA"
"52",5,"DESORPTION OF METALS RETAINED SECONDARILY AFTER RELEASE BY SULPHIDE OXIDATION; THE MAIN MECHANISM FOR GROUNDWATER CONTAMINATION IN THE TAILINGS AT THE LAVER MINE, NORTHERN SWEDEN"
"53",5,"EFFECT OF MICROTOPOGRAPHY ON ISOTOPIC COMPOSITION OF METHANE IN POREWATER AND EFFLUX AT A BOREAL PEATLAND"
"54",5,"EVAPORATION FROM NATURAL AND MODIFIED RAISED PEAT BOGS IN NEW ZEALAND"
"55",5,"SPATIALLY DISTRIBUTED TRACER-AIDED RUNOFF MODELLING AND DYNAMICS OF STORAGE AND WATER AGES IN A PERMAFROST-INFLUENCED CATCHMENT"
"56",5,"RELATIONSHIP BETWEEN ELECTRICAL CONDUCTIVITY AND WATER CONTENT OF PEAT AND GYTTJA: IMPLICATIONS FOR ELECTRICAL SURVEYS OF DRAINED PEATLANDS"
"57",5,"SIMULATION OF DAILY NITROUS OXIDE EMISSIONS FROM MANAGED PEAT SOILS"
"58",5,"GROUND-PENETRATING RADAR FOR STUDIES OF PEATLANDS IN PERMAFROST"
"59",5,"THE CANADIAN MODEL FOR PEATLANDS (CAMP): A PEATLAND CARBON MODEL FOR NATIONAL GREENHOUSE GAS REPORTING"
"60",5,"PATTERNS IN VEGETATION COMPOSITION, SURFACE HEIGHT AND THAW DEPTH IN POLYGON MIRES IN THE YAKUTIAN ARCTIC (NE SIBERIA): A MICROTOPOGRAPHICAL CHARACTERISATION OF THE ACTIVE LAYER"
"61",5,"TESTATE AMOEBAE AS A PROXY FOR RECONSTRUCTING HOLOCENE WATER TABLE DYNAMICS IN SOUTHERN PATAGONIAN PEAT BOGS"
"62",5,"VEGETATION AND ENVIRONMENTAL VARIATION IN AN ATLANTIC BLANKET BOG IN SOUTH-WESTERN IRELAND"
"63",5,"CAN ABUNDANCE OF METHANOGEN BE A GOOD INDICATOR FOR CH4 FLUX IN SOIL ECOSYSTEMS?"
"64",5,"ENVIRONMENTAL FACTORS DETERMINING DISTRIBUTION AND ACTIVITY OF ANAMMOX BACTERIA IN MINEROTROPHIC FEN SOILS"
"65",6,"DISTRIBUTIONS OF TESTATE AMOEBAE AND CILIATES IN DIFFERENT TYPES OF PEATLANDS AND THEIR CONTRIBUTIONS TO THE NUTRIENT SUPPLY"
"66",6,"ENVIRONMENTAL CONTROLS ON PORE NUMBER IN HYALOSPHENIA PAPILIO: IMPLICATIONS FOR PALEOENVIRONMENTAL RECONSTRUCTION"
"67",6,"LITHALSA DISTRIBUTION, MORPHOLOGY AND LANDSCAPE ASSOCIATIONS IN THE GREAT SLAVE LOWLAND, NORTHWEST TERRITORIES, CANADA"
"68",6,"LAND MAPS FROM 19TH CENTURY AS A SOURCE OF NAMES OF PHYSIOGRAPHICAL OBJECTS (ON THE EXAMPLE OF THE SELECTED VILLAGES IN WIELKOPOLSKA, POLAND)"
"69",6,"INTERCELLULAR SPACES ENHANCE POTATO-TUBER ELASTICITY"
"70",6,"FLOW PATH OSCILLATIONS IN TRANSIENT GROUND-WATER SIMULATIONS OF LARGE PEATLAND SYSTEMS"
"71",6,"MODELING OF HYDROECOLOGICAL FEEDBACKS PREDICTS DISTINCT CLASSES OF LANDSCAPE PATTERN, PROCESS, AND RESTORATION POTENTIAL IN SHALLOW AQUATIC ECOSYSTEMS"
