"","grp","label"
"1",1,"LIFE-CYCLE CLIMATE IMPACTS OF PEAT FUEL: CALCULATION METHODS AND METHODOLOGICAL CHALLENGES"
"2",1,"SPECIES OF URANIUM OF THE KAMYSHANOVSKOE DEPOSIT (KYRGYZSTAN)"
"3",1,"DISSOLVED ORGANIC MATTER DEGRADATION BY SUNLIGHT COAGULATES ORGANO-MINERAL COLLOIDS AND PRODUCES LOW-MOLECULAR WEIGHT FRACTION OF METALS IN BOREAL HUMIC WATERS"
"4",1,"EFFECT OF PEAT INTERVENTION ON PAIN AND GAIT IN PATIENTS WITH KNEE OSTEOARTHRITIS: A PROSPECTIVE, DOUBLE-BLIND, RANDOMIZED, CONTROLLED STUDY"
"5",1,"EXPLORATORY STUDY OF SUSPENDED SEDIMENT CONCENTRATIONS DOWNSTREAM OF HARVESTED PEAT BOGS"
"6",1,"SUCCESSION OF A DEGRADED BOG IN NE DENMARK OVER 164 YEARS - MONITORING ONE OF THE EARLIEST RESTORATION EXPERIMENTS"
"7",1,"SOIL ECOLOGY AND ECOSYSTEM SERVICES OF DAIRY AND SEMI-NATURAL GRASSLANDS ON PEAT"
"8",1,"IMPACTS OF HISTORICAL DITCHING ON PEAT VOLUME AND CARBON IN NORTHERN MINNESOTA USA PEATLANDS"
"9",1,"PEATLANDS OF THE PERUVIAN PUNA ECOREGION: TYPES, CHARACTERISTICS AND DISTURBANCE"
"10",1,"PETROGRAPHY AND PALYNOLOGY OF THE BLUE GEM COAL BED (MIDDLE PENNSYLVANIAN), SOUTHEASTERN KENTUCKY, USA"
"11",1,"THE HISTORY OF THE PEAT MANUFACTURING INDUSTRY IN THE NETHERLANDS: PEAT MOSS LITTER AND ACTIVE CARBON"
"12",1,"COAL-PEAT COMPOSITIONS FOR CO-COMBUSTION IN LOCAL BOILERS"
"13",1,"A SMALL-SCALE PROTOTYPE PEAT HARVESTER, USING NIR MOISTURE CONTENT SENSING. PART 2: HARVESTER EVALUATION"
"14",1,"CHARACTERIZATION OF PRIMARY ORGANIC AEROSOL FROM DOMESTIC WOOD, PEAT, AND COAL BURNING IN IRELAND"
"15",1,"DIAMONDOID HYDROCARBONS AS A MOLECULAR PROXY FOR THERMAL MATURITY AND OIL CRACKING: GEOCHEMICAL MODELS FROM HYDROUS PYROLYSIS"
"16",2,"REDUCED BED AGGLOMERATION BY CO-COMBUSTION BIOMASS WITH PEAT FUELS IN A FLUIDIZED BED"
"17",2,"EFFECT OF DIFFERENT HYDROLOGICAL RESTORATION MEASURES IN AUKSTUMALA RAISED BOG DAMAGED BY PEAT HARVESTING ACTIVITIES"
