"","grp","label"
"1",1,"MECHANICAL RESISTANCE BY AN ECTORGANIC SOIL LAGER ON ROOT DEVELOPMENT OF SEEDLING PINUS SYLVESTRIS"
"2",1,"PLANT RHIZOSPHERE OXIDATION REDUCES METHANE PRODUCTION AND EMISSION IN REWETTED PEATLANDS"
"3",1,"COMPRESSIBILITY OF SOME TRINIDADIAN SOILS AS AFFECTED BY THE INCORPORATION OF PEAT"
"4",1,"AIR PERMEABILITY IN REPACKED POROUS MEDIA WITH VARIABLE STRUCTURE-FORMING POTENTIAL"
"5",1,"THE DETERMINATION OF THE BULK-DENSITY OF PEAT SOILS"
"6",1,"AIR PERMEABILITY OF THE PLOW LAYER OF PEAT SOILS OF DIFFERENT BULK-DENSITY"
"7",1,"INTERACTIVE EFFECTS OF VEGETATION, SOIL MOISTURE AND BULK DENSITY ON DEPTH OF BURNING OF THICK ORGANIC SOILS"
"8",1,"A MARKOV CHAIN METHOD FOR SIMULATING BULK DENSITY PROFILES IN BOREAL PEATLANDS"
"9",1,"IMPACTS OF PEAT BULK DENSITY, ASH DEPOSITION AND RAINWATER CHEMISTRY ON ESTABLISHMENT OF PEATLAND MOSSES"
"10",1,"MOTOR-DRIVEN PORTABLE SOIL CORE SAMPLER FOR VOLUMETRIC SAMPLING"
"11",1,"PHYSICAL AND THERMOCHEMICAL PROPERTIES OF UNCONTAMINATED AND DIESEL-CONTAMINATED PEAT"
"12",1,"CHARACTERIZING THE BULK DENSITY OF COMPOST"
"13",1,"VARIATION IN SOIL NUTRIENT CONCENTRATIONS AND BULK DENSITY WITHIN PEATLAND FOREST SITES"
"14",1,"EMPIRICAL MODELS FOR PREDICTING WATER AND HEAT FLOW PROPERTIES OF PERMAFROST SOILS"
"15",1,"SOIL DEFORMATION AND ITS RECOVERY IN LOGGING TRAILS OF DRAINED BOREAL PEATLANDS"
"16",2,"EXPERIMENTAL MODELING OF CYANOBACTERIAL BLOOM IN A THERMOKARST LAKE: FATE OF ORGANIC CARBON, TRACE METAL, AND CARBON SEQUESTRATION POTENTIAL"
"17",2,"MESHES IN MESOCOSMS CONTROL SOLUTE AND BIOTA EXCHANGE IN SOILS: A STEP TOWARDS DISENTANGLING (A)BIOTIC IMPACTS ON THE FATE OF THAWING PERMAFROST"
"18",2,"SUPPRESSION OF PYTHIUM ROOT ROT IN BULBOUS IRIS IN RELATION TO BIOMASS AND ACTIVITY OF THE SOIL MICROFLORA"
"19",3,"NITROGEN AND SULPHUR DEPOSITION AND THE GROWTH OF SPHAGNUM FUSCUM IN BOGS OF THE ATHABASCA OIL SANDS REGION, ALBERTA"
"20",3,"EFFECTS OF PEAT SOURCE AND LENGTH OF STORAGE TIME IN BALES ON SELECTED PROPERTIES OF SPHAGNUM PEAT"
"21",3,"INTERACTIONS OF LOCAL AND REGIONAL PROCESSES: SPECIES RICHNESS IN TUSSOCK SEDGE COMMUNITIES"
"22",3,"CARBON ACCUMULATION RATES IN TWO POOR FENS WITH DIFFERENT WATER REGIMES: INFLUENCE OF ANTHROPOGENIC IMPACT AND ENVIRONMENTAL CHANGE"
"23",3,"THERMAL ANALYSIS AND DECOMPOSITION KINETICS OF CHINESE FOREST PEAT UNDER NITROGEN AND AIR ATMOSPHERES"
"24",3,"PEATLAND SUBSIDENCE AND CARBON LOSS FROM DRAINED TEMPERATE FENS"
"25",3,"ECOLOGY OF TESTACEANS (PROTOZOA, RHIZOPODA) IN MIRES IN SOUTHERN FINLAND .2. MULTIVARIATE-ANALYSIS"
"26",3,"FACTORS CAUSING TEMPORAL AND SPATIAL VARIATION IN HETEROTROPHIC AND RHIZOSPHERIC COMPONENTS OF SOIL RESPIRATION IN AFFORESTED ORGANIC SOIL CROPLANDS IN FINLAND"
"27",3,"INTERANNUAL, SEASONAL, AND RETROSPECTIVE ANALYSIS OF THE METHANE AND CARBON DIOXIDE BUDGETS OF A TEMPERATE PEATLAND"
"28",3,"EFFECT OF MINERAL SEDIMENTS ON CARBON MINERALIZATION, ORGANIC MATTER COMPOSITION AND MICROBIAL COMMUNITY DYNAMICS IN A MOUNTAIN PEATLAND"
"29",3,"ADSORPTION BEHAVIOUR OF CR(VI) BY MUTHURAJAWELA PEAT"
"30",3,"FABRIC AND PROPERTIES OF MINERAL SOILS UNDERLYING A SHALLOW PEAT MANTLE IN ESTONIA"
"31",3,"THE PALAEOECOLOGICAL HISTORY OF THE PRAZ-RODET BOG (SWISS JURA) BASED ON POLLEN, PLANT MACROFOSSILS AND TESTATE AMOEBAE (PROTOZOA)"
"32",3,"CHEMICAL CHARACTERIZATION OF BIOCHAR AND ASSESSMENT OF THE NUTRIENT DYNAMICS BY MEANS OF PRELIMINARY PLANT GROWTH TESTS"
"33",3,"YEAR-ROUND GROWING CONDITIONS EXPLAINS LARGE CO2 SINK STRENGTH IN A NEW ZEALAND RAISED PEAT BOG"
"34",4,"ASSESSING GREENHOUSE GAS EMISSIONS FROM PEATLANDS USING VEGETATION AS A PROXY"
"35",4,"EFFECT OF WATER TABLE DRAWDOWN ON PEATLAND NUTRIENT DYNAMICS: IMPLICATIONS FOR CLIMATE CHANGE"
"36",4,"PATTERNED FEN DEVELOPMENT IN NORTHERN SCOTLAND - DEVELOPING A HYPOTHESIS FROM PALEOECOLOGICAL DATA"
"37",4,"AN INVESTIGATION OF TWO PEAT SLOPE FAILURES IN THE WICKLOW MOUNTAINS"
"38",4,"ORGANIC SOILS OF CANADA: PART 1. WETLAND ORGANIC SOILS"
"39",4,"REMOVAL OF CHROMIUM FROM WASTE-WATER BY PEAT FILTERS"
"40",4,"LAND MANAGEMENT AS A FACTOR CONTROLLING DISSOLVED ORGANIC CARBON RELEASE FROM UPLAND PEAT SOILS 1: SPATIAL VARIATION IN DOC PRODUCTIVITY"
"41",4,"EFFECT OF DECOMPOSITION ON PHYSICAL PROPERTIES OF FIBROUS PEAT"
"42",4,"EXPERIMENTAL CLIMATE CHANGE MODIFIES DEGRADATIVE SUCCESSION IN BOREAL PEATLAND FUNGAL COMMUNITIES"
"43",4,"INFLUENCE OF ENCHYTRAEIDAE (ENCHYTRAEUS ALBIDUS) AND COMPACTION ON NUTRIENT MOBILIZATION IN AN URBAN SOIL"
"44",4,"SUITABILITY OF PHRAGMITES FOR LIGHTWEIGHT CONCRETE"
