"","grp","keyword"
"1",1,"water"
"2",1,"dissolved organic-carbon"
"3",1,"soils"
"4",1,"matter"
"5",1,"organic-carbon"
"6",1,"export"
"7",1,"deposition"
"8",1,"land-use"
"9",1,"chemistry"
"10",1,"blanket peat"
"11",1,"transport"
"12",1,"humic substances"
"13",1,"release"
"14",1,"catchment"
"15",1,"lakes"
"16",1,"dissolved organic-matter"
"17",1,"drought"
"18",1,"river"
"19",1,"fresh-water"
"20",1,"runoff"
"21",1,"catchments"
"22",1,"chemical-composition"
"23",1,"trends"
"24",1,"adsorption"
"25",1,"sediment"
"26",1,"trace-elements"
"27",1,"reduction"
"28",1,"uk"
"29",1,"stream"
"30",1,"acidification"
"31",1,"iron"
"32",1,"surface waters"
"33",1,"doc"
"34",1,"removal"
"35",1,"retention"
"36",1,"erosion"
"37",1,"water-quality"
"38",1,"nitrate"
"39",1,"biogeochemistry"
"40",1,"atmospheric deposition"
"41",1,"sorption"
"42",1,"fractionation"
"43",1,"pore-water"
"44",1,"waters"
"45",1,"fresh-water wetlands"
"46",1,"terrestrial"
"47",1,"heavy-metals"
"48",1,"drain-blocking"
"49",1,"streams"
"50",1,"runoff generation"
"51",1,"ombrotrophic peat"
"52",1,"ph"
"53",1,"stream water"
"54",1,"surface-water"
"55",1,"sulfur"
"56",1,"acid"
"57",1,"constructed wetlands"
"58",1,"ammonium"
"59",1,"inorganic carbon"
"60",1,"mobilization"
"61",1,"soil-water"
"62",1,"sulfate"
"63",1,"extraction"
"64",1,"fluorescence spectroscopy"
"65",1,"drained peatlands"
"66",1,"drinking-water"
"67",1,"pollution"
"68",1,"eutrophication"
"69",1,"rivers"
"70",1,"substances"
"71",1,"moorland"
"72",1,"scotland"
"73",1,"aluminum"
"74",1,"molecular-weight"
"75",1,"phosphate"
"76",1,"polycyclic aromatic-hydrocarbons"
"77",1,"phytoplankton"
"78",1,"rainfall"
"79",1,"speciation"
"80",1,"kinetics"
"81",1,"black carbon"
"82",1,"metals"
"83",1,"fractions"
"84",1,"great-britain"
"85",1,"prediction"
"86",1,"c-14"
"87",1,"natural-waters"
"88",1,"rare-earth-elements"
"89",1,"copper"
"90",1,"bioavailability"
"91",1,"spectroscopy"
"92",1,"waste-water"
"93",1,"acids"
"94",1,"fluorescence"
"95",1,"mobility"
"96",1,"samples"
"97",1,"toxicity"
"98",1,"precambrian shield"
"99",1,"spatial-distribution"
"100",1,"cadmium"
"101",1,"discharge"
"102",1,"mass-spectrometry"
"103",1,"optical-properties"
"104",1,"isotope fractionation"
"105",1,"mid-wales"
"106",1,"nova-scotia"
"107",1,"capacity"
"108",1,"humic-acid"
"109",1,"contamination"
"110",2,"peatlands"
"111",2,"dynamics"
"112",2,"carbon"
"113",2,"soil"
"114",2,"peat"
"115",2,"decomposition"
"116",2,"growth"
"117",2,"nitrogen"
"118",2,"organic-matter"
"119",2,"accumulation"
"120",2,"forest"
"121",2,"responses"
"122",2,"phosphorus"
"123",2,"ecosystems"
"124",2,"biomass"
"125",2,"methane production"
"126",2,"photosynthesis"
"127",2,"quality"
"128",2,"carbon-cycle"
"129",2,"rates"
"130",2,"mineralization"
"131",2,"plants"
"132",2,"litter decomposition"
"133",2,"southern finland"
"134",2,"plant"
"135",2,"temperature sensitivity"
"136",2,"productivity"
"137",2,"degradation"
"138",2,"sequestration"
"139",2,"atmospheric co2"
"140",2,"nitrogen deposition"
"141",2,"microbial communities"
"142",2,"community"
"143",2,"forest soils"
"144",2,"nitrogen mineralization"
"145",2,"pine mires"
"146",2,"nutrient"
"147",2,"community structure"
"148",2,"fertilization"
"149",2,"soil carbon"
"150",2,"mosses"
"151",2,"long-term"
"152",2,"sphagnum mosses"
"153",2,"elevated co2"
"154",2,"soil organic-matter"
"155",2,"litter quality"
"156",2,"norway spruce"
"157",2,"microbial biomass"
"158",2,"forests"
"159",2,"gradient"
"160",2,"litter"
"161",2,"availability"
"162",2,"bacteria"
"163",2,"system"
"164",2,"profiles"
"165",2,"carbon sequestration"
"166",2,"competition"
"167",2,"turnover"
"168",2,"pine"
