"","grp","keyword"
"1",1,"temperature"
"2",1,"peatlands"
"3",1,"dynamics"
"4",1,"carbon"
"5",1,"responses"
"6",1,"decomposition"
"7",1,"soil"
"8",1,"peat"
"9",1,"co2"
"10",1,"bog"
"11",1,"growth"
"12",1,"forest"
"13",1,"accumulation"
"14",1,"nitrogen"
"15",1,"emissions"
"16",1,"sphagnum"
"17",1,"model"
"18",1,"wetlands"
"19",1,"sensitivity"
"20",1,"tundra"
"21",1,"exchange"
"22",1,"organic-carbon"
"23",1,"drought"
"24",1,"boreal"
"25",1,"ch4"
"26",1,"soils"
"27",1,"ecosystems"
"28",1,"patterns"
"29",1,"diversity"
"30",1,"flux"
"31",1,"methane"
"32",1,"photosynthesis"
"33",1,"carbon-cycle"
"34",1,"wetland"
"35",1,"biodiversity"
"36",1,"chemistry"
"37",1,"northern"
"38",1,"biomass"
"39",1,"degradation"
"40",1,"dioxide"
"41",1,"management"
"42",1,"cycle"
"43",1,"plant"
"44",1,"rates"
"45",1,"mineralization"
"46",1,"moisture"
"47",1,"oxidation"
"48",1,"quality"
"49",1,"storage"
"50",1,"transport"
"51",1,"atmosphere"
"52",1,"landscape"
"53",1,"soil carbon"
"54",1,"climatic-change"
"55",1,"community"
"56",1,"communities"
"57",1,"feedbacks"
"58",1,"plants"
"59",1,"dissolved organic-matter"
"60",1,"simulation"
"61",1,"mosses"
"62",1,"restoration"
"63",1,"species richness"
"64",1,"sequestration"
"65",1,"soil fauna"
"66",1,"gradients"
"67",1,"mires"
"68",1,"n2o"
"69",1,"emission"
"70",1,"manipulation"
"71",1,"populations"
"72",1,"waters"
"73",1,"fens"
"74",1,"level"
"75",1,"litter"
"76",1,"mass-loss"
"77",1,"models"
"78",1,"nitrogen dynamics"
"79",1,"succession"
"80",1,"water-level"
"81",1,"bryophytes"
"82",1,"carbon sequestration"
"83",1,"competition"
"84",1,"consumption"
"85",1,"decomposition rates"
"86",1,"desiccation"
"87",1,"elevated atmospheric co2"
"88",1,"grassland"
"89",1,"increases"
"90",1,"mechanisms"
"91",1,"removal"
"92",1,"tussock tundra"
"93",1,"canopy"
"94",1,"chlorophyll fluorescence"
"95",1,"denitrification"
"96",1,"eutrophication"
"97",1,"feedback"
"98",1,"fertilization"
"99",1,"field"
"100",1,"greenhouse gases"
"101",1,"humic acids"
"102",1,"microbial community"
"103",1,"peatland carbon"
"104",1,"performance"
"105",1,"phenol oxidase"
"106",1,"southern finland"
"107",1,"system"
"108",1,"tundra soils"
"109",1,"vegetation composition"
"110",1,"water storage"
"111",1,"archaeal community"
"112",1,"bacteria"
"113",1,"boreal mire"
"114",1,"budget"
"115",1,"c-14"
"116",1,"carbon loss"
"117",1,"food-web"
